"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","NL_NAME_1","VARNAME_1","TYPE_1","ENGTYPE_1"
1268,86,"DEU","Germany",1,"Baden-Württemberg","","","Land","State"
1269,86,"DEU","Germany",2,"Bayern","","Bavaria","Land","State"
1270,86,"DEU","Germany",3,"Berlin","","","Land","State"
1271,86,"DEU","Germany",4,"Brandenburg","","","Land","State"
1272,86,"DEU","Germany",5,"Bremen","","","Land","State"
1273,86,"DEU","Germany",6,"Hamburg","","","Land","State"
1274,86,"DEU","Germany",7,"Hessen","","Hesse","Land","State"
1275,86,"DEU","Germany",8,"Mecklenburg-Vorpommern","","Mecklenburg-West Pomerania","Land","State"
1276,86,"DEU","Germany",9,"Niedersachsen","","Lower Saxony","Land","State"
1277,86,"DEU","Germany",10,"Nordrhein-Westfalen","","North Rhine-Westphalia","Land","State"
1278,86,"DEU","Germany",11,"Rheinland-Pfalz","","Rhineland-Palatinate","Land","State"
1279,86,"DEU","Germany",12,"Saarland","","","Land","State"
1280,86,"DEU","Germany",13,"Sachsen-Anhalt","","Saxony-Anhalt","Land","State"
1281,86,"DEU","Germany",14,"Sachsen","","Saxony","Land","State"
1282,86,"DEU","Germany",15,"Schleswig-Holstein","","","Land","State"
1283,86,"DEU","Germany",16,"Thüringen","","Thuringia","Land","State"
