"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","NL_NAME_2","VARNAME_2","TYPE_2","ENGTYPE_2"
15814,86,"DEU","Germany",1,"Baden-Württemberg",1,"Freiburg","","Friburgo|Fribourg","Regierungsbezirk","Administrative Region"
15815,86,"DEU","Germany",1,"Baden-Württemberg",2,"Karlsruhe","","","Regierungsbezirk","Administrative Region"
15816,86,"DEU","Germany",1,"Baden-Württemberg",3,"Stuttgart","","Estugarda","Regierungsbezirk","Administrative Region"
15817,86,"DEU","Germany",1,"Baden-Württemberg",4,"Tübingen","","Tubinga","Regierungsbezirk","Administrative Region"
15818,86,"DEU","Germany",2,"Bayern",5,"Mittelfranken","","Franconia Central|Middle Franconia|Média Francónia| Moyenne-Franconie","Regierungsbezirk","Administrative Region"
15819,86,"DEU","Germany",2,"Bayern",6,"Niederbayern","","Lower Bavaria|Baixa Baviera|Baja Baviera|Basse-Bavière","Regierungsbezirk","Administrative Region"
15820,86,"DEU","Germany",2,"Bayern",7,"Oberbayern","","Upper Bavaria|Alta Baviera|Haute-Bavière","Regierungsbezirk","Administrative Region"
15821,86,"DEU","Germany",2,"Bayern",8,"Oberfranken","","Upper Franconia|Alta Franconia|Alta Francónia |Haute-Franconie","Regierungsbezirk","Administrative Region"
15822,86,"DEU","Germany",2,"Bayern",9,"Oberpfalz","","Upper Palatinate|Alto Palatinado|Haut-Palatinat","Regierungsbezirk","Administrative Region"
15823,86,"DEU","Germany",2,"Bayern",10,"Schwaben","","Swabia|Suabia|Suábia|Souabe","Regierungsbezirk","Administrative Region"
15824,86,"DEU","Germany",2,"Bayern",11,"Unterfranken","","Lower Franconia|Baixa Francónia|Baja Franconia|Basse-Franconie","Regierungsbezirk","Administrative Region"
15825,86,"DEU","Germany",3,"Berlin",12,"Berlin","","","Kreisfreie Städte","City"
15826,86,"DEU","Germany",4,"Brandenburg",13,"Brandenburg","","","Land|Bundesland","State|Federal State"
15827,86,"DEU","Germany",5,"Bremen",14,"Bremen","","Brema|Brême","Kreisfreie Städte","City"
15828,86,"DEU","Germany",6,"Hamburg",15,"Hamburg","","Hamburgo| Hambourg","Kreisfreie Städte","City"
15829,86,"DEU","Germany",7,"Hessen",16,"Darmstadt","","","Regierungsbezirk","Administrative Region"
15830,86,"DEU","Germany",7,"Hessen",17,"Gießen","","","Regierungsbezirk","Administrative Region"
15831,86,"DEU","Germany",7,"Hessen",18,"Kassel","","","Regierungsbezirk","Administrative Region"
15832,86,"DEU","Germany",8,"Mecklenburg-Vorpommern",19,"Mecklenburg-Vorpommern","","Mecklemburgo-Pomerania Occidental|Mecklenburg-West Pomerania|Meclemburgo-Pomerânia Ocidental|Mecklembourg-Pom*","Land|Bundesland","State|Federal State"
15833,86,"DEU","Germany",9,"Niedersachsen",20,"Braunschweig","","Brunswick","Regierungsbezirk","Administrative Region"
15834,86,"DEU","Germany",9,"Niedersachsen",21,"Hannover","","Hanover|Hanôver|Hanovre","Regierungsbezirk","Administrative Region"
15835,86,"DEU","Germany",9,"Niedersachsen",22,"Luneburg","","Lunebourg|Luneburgo","Regierungsbezirk","Administrative Region"
15836,86,"DEU","Germany",9,"Niedersachsen",23,"Weser-Ems","","","Regierungsbezirk","Administrative Region"
15837,86,"DEU","Germany",10,"Nordrhein-Westfalen",24,"Arnsberg","","","Regierungsbezirk","Administrative Region"
15838,86,"DEU","Germany",10,"Nordrhein-Westfalen",25,"Detmold","","","Regierungsbezirk","Administrative Region"
15839,86,"DEU","Germany",10,"Nordrhein-Westfalen",26,"Düsseldorf","","Dusseldórfia","Regierungsbezirk","Administrative Region"
15840,86,"DEU","Germany",10,"Nordrhein-Westfalen",27,"Köln","","Cologne|Colonia|Colónia","Regierungsbezirk","Administrative Region"
15841,86,"DEU","Germany",10,"Nordrhein-Westfalen",28,"Munster","","","Regierungsbezirk","Administrative Region"
15842,86,"DEU","Germany",11,"Rheinland-Pfalz",29,"Koblenz","","Coblença|Coblence |Coblenza","Regierungsbezirk","Administrative Region"
15843,86,"DEU","Germany",11,"Rheinland-Pfalz",30,"Rheinhessen-Pfalz","","Hesse Renano-Palatinado|Rhenish Hesse-Palatinate|Rheinhessen-Palatinado|Hesse Rhénane-Palatinat","Regierungsbezirk","Administrative Region"
15844,86,"DEU","Germany",11,"Rheinland-Pfalz",31,"Trier","","Tréveris|Trèves","Regierungsbezirk","Administrative Region"
15845,86,"DEU","Germany",12,"Saarland",32,"Saarland","","Sarre","Regierungsbezirk","Administrative Region"
15846,86,"DEU","Germany",13,"Sachsen-Anhalt",33,"Dessau","","","Regierungsbezirk","Administrative Region"
15847,86,"DEU","Germany",13,"Sachsen-Anhalt",34,"Halle","","","Regierungsbezirk","Administrative Region"
15848,86,"DEU","Germany",13,"Sachsen-Anhalt",35,"Magdeburg","","Magdeburgo|Magdebourg","Regierungsbezirk","Administrative Region"
15849,86,"DEU","Germany",14,"Sachsen",36,"Chemnitz","","","Regierungsbezirk","Administrative Region"
15850,86,"DEU","Germany",14,"Sachsen",37,"Dresden","","Dresda|Dresde","Regierungsbezirk","Administrative Region"
15851,86,"DEU","Germany",14,"Sachsen",38,"Leipzig","","","Regierungsbezirk","Administrative Region"
15852,86,"DEU","Germany",15,"Schleswig-Holstein",39,"Schleswig-Holstein","","","Land|Bundesland","State|Federal State"
15853,86,"DEU","Germany",16,"Thüringen",40,"Thüringen","","Thuringia|Turingia|Turíngia|Thuringe","Land|Bundesland","State|Federal State"
