"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","NL_NAME_3","VARNAME_3","TYPE_3","ENGTYPE_3"
26147,86,"DEU","Germany",9,"Niedersachsen",23,"Weser-Ems",244,"Oldenburg","","","Landkreise","Rural district"
26148,86,"DEU","Germany",9,"Niedersachsen",23,"Weser-Ems",245,"Osnabrück Städte","","","Kreisfreie Städte","Urban district"
26149,86,"DEU","Germany",9,"Niedersachsen",23,"Weser-Ems",246,"Osnabrück","","","Landkreise","Rural district"
26150,86,"DEU","Germany",9,"Niedersachsen",23,"Weser-Ems",247,"Vechta","","","Landkreise","Rural district"
26151,86,"DEU","Germany",9,"Niedersachsen",23,"Weser-Ems",248,"Wesermarsch","","","Landkreise","Rural district"
26152,86,"DEU","Germany",9,"Niedersachsen",23,"Weser-Ems",249,"Wilhelmshaven Städte","","","Kreisfreie Städte","Urban district"
26153,86,"DEU","Germany",9,"Niedersachsen",23,"Weser-Ems",250,"Wittmund","","Langeoog|Spiekeroog","Landkreise","Rural district"
26154,86,"DEU","Germany",10,"Nordrhein-Westfalen",24,"Arnsberg",251,"Bochum Städte","","","Kreisfreie Städte","Urban district"
26155,86,"DEU","Germany",10,"Nordrhein-Westfalen",24,"Arnsberg",252,"Dortmund Städte","","","Kreisfreie Städte","Urban district"
26156,86,"DEU","Germany",10,"Nordrhein-Westfalen",24,"Arnsberg",253,"Ennepe-Ruhr","","","Landkreise","Rural district"
26157,86,"DEU","Germany",10,"Nordrhein-Westfalen",24,"Arnsberg",254,"Hagen Städte","","","Kreisfreie Städte","Urban district"
26158,86,"DEU","Germany",10,"Nordrhein-Westfalen",24,"Arnsberg",255,"Hamm Städte","","","Kreisfreie Städte","Urban district"
26159,86,"DEU","Germany",10,"Nordrhein-Westfalen",24,"Arnsberg",256,"Herne Städte","","","Kreisfreie Städte","Urban district"
26160,86,"DEU","Germany",10,"Nordrhein-Westfalen",24,"Arnsberg",257,"Hochsauerlandkreis","","","Landkreise","Rural district"
26161,86,"DEU","Germany",10,"Nordrhein-Westfalen",24,"Arnsberg",258,"Märkischer Kreis","","","Landkreise","Rural district"
26162,86,"DEU","Germany",10,"Nordrhein-Westfalen",24,"Arnsberg",259,"Olpe","","","Landkreise","Rural district"
26163,86,"DEU","Germany",10,"Nordrhein-Westfalen",24,"Arnsberg",260,"Siegen-Wittgenstein","","","Landkreise","Rural district"
27235,86,"DEU","Germany",1,"Baden-Württemberg",3,"Stuttgart",32,"Ostalbkreis","","","Landkreise","Rural district"
