"County","Election District","Election Precinct","Candidate Name","Party","Office Name","Office District","Winner","Write-In?","Election Night Votes","Election Night Votes Against"
"01","001","000","Barack Obama","DEM","President - Vice Pres","","Y","","66",""
"01","001","000","Mitt Romney","REP","President - Vice Pres","","","","351",""
"01","001","000","Gary Johnson","LIB","President - Vice Pres","","","","2",""
"01","001","000","Jill Stein","GRN","President - Vice Pres","","","","3",""
"01","001","000","Tiffany Renee Briscoe","DEM","President - Vice Pres","","","Y","0",""
"01","001","000","Dennis Knill","DEM","President - Vice Pres","","","Y","0",""
"01","001","000","Matthew Lydick","REP","President - Vice Pres","","","Y","0",""
"01","001","000","Barbara A. Prokopich","REP","President - Vice Pres","","","Y","0",""
"01","001","000","Santa Claus","IND","President - Vice Pres","","","Y","0",""
"01","001","000","Richard Duncan","IND","President - Vice Pres","","","Y","0",""
"01","001","000","Bruce Mlynski","IND","President - Vice Pres","","","Y","0",""
"01","001","000","Kevin M. Thorne","IND","President - Vice Pres","","","Y","0",""
"01","001","000","James Clymer","CON","President - Vice Pres","","","Y","0",""
"01","001","000","Virgil Goode","CON","President - Vice Pres","","","Y","0",""
"01","001","000","Ross C. Rocky Anderson","OTH","President - Vice Pres","","","Y","0",""
"01","001","000","Andre Barnett","OTH","President - Vice Pres","","","Y","0",""
"01","001","000","Roseanne Barr","OTH","President - Vice Pres","","","Y","0",""
"01","001","000","Will Christensen","OTH","President - Vice Pres","","","Y","0",""
"01","001","000","Stephen Durham","OTH","President - Vice Pres","","","Y","0",""
"01","001","000","Merlin Miller","OTH","President - Vice Pres","","","Y","0",""
"01","001","000","Leon Leo Ray","OTH","President - Vice Pres","","","Y","0",""
"01","001","000","Michael David Boyles","UNF","President - Vice Pres","","","Y","0",""
"01","001","000","Theodis (Ted) Brown, Sr.","UNF","President - Vice Pres","","","Y","0",""
"01","001","000","Paul Chehade","UNF","President - Vice Pres","","","Y","0",""
"01","001","000","David M. Crosby","UNF","President - Vice Pres","","","Y","0",""
"01","001","000","Fred Donald Dickson, Jr.","UNF","President - Vice Pres","","","Y","0",""
"01","001","000","Robert William Dietz","UNF","President - Vice Pres","","","Y","0",""
"01","001","000","Dwight Kenneth French","UNF","President - Vice Pres","","","Y","0",""
"01","001","000","Darrell Hykes","UNF","President - Vice Pres","","","Y","0",""
"01","001","000","Nelson Keyton","UNF","President - Vice Pres","","","Y","0",""
"01","001","000","Dean Morstad","UNF","President - Vice Pres","","","Y","0",""
"01","001","000","Deonia Neveu","UNF","President - Vice Pres","","","Y","0",""
"01","001","000","Terrance James O'Hara","UNF","President - Vice Pres","","","Y","0",""
"01","001","000","Jill Reed","UNF","President - Vice Pres","","","Y","0",""
"01","001","000","Cecil James Roth","UNF","President - Vice Pres","","","Y","0",""
"01","001","000","Sheila Tittle","UNF","President - Vice Pres","","","Y","0",""
"01","001","000","Other Write-Ins","BOT","President - Vice Pres","","","Y","1",""
"01","001","000","Ben Cardin","DEM","U.S. Senator           ","","Y","","63",""
"01","001","000","Daniel John Bongino","REP","U.S. Senator           ","","","","258",""
"01","001","000","Dean Ahmad","LIB","U.S. Senator           ","","","","2",""
"01","001","000","S. Rob Sobhani","UNF","U.S. Senator           ","","","","74",""
"01","001","000","Lih Young","DEM","U.S. Senator           ","","","Y","0",""
"01","001","000","Mary Podlesak","REP","U.S. Senator           ","","","Y","0",""
"01","001","000","Brandy Baker","UNF","U.S. Senator           ","","","Y","0",""
"01","001","000","Ed Tinus","UNF","U.S. Senator           ","","","Y","0",""
"01","001","000","Other Write-Ins","BOT","U.S. Senator           ","","","Y","2",""
"01","001","000","John Delaney","DEM","U.S. Congress","06","Y","","114",""
"01","001","000","Roscoe G. Bartlett","REP","U.S. Congress","06","","","260",""
"01","001","000","Nickolaus Mueller","LIB","U.S. Congress","06","","","23",""
"01","001","000","Other Write-Ins","BOT","U.S. Congress","06","","Y","2",""
"01","001","000","Lynne A. Battaglia","BOT","Appellate Judge","03","Y","","242","64"
"01","001","000","Stuart R. Berger","BOT","Judge Spec Appeal at Lg","","Y","","236","64"
"01","001","000","Nicholas Todd Hadley","NON","Board of Education     ","","Y","","240",""
"01","001","000","Edward L. Root","NON","Board of Education     ","","Y","","192",""
"01","001","000","Other Write-Ins","NON","Board of Education     ","","","Y","5",""
"01","002","000","Barack Obama","DEM","President - Vice Pres","","Y","","117",""
"01","002","000","Mitt Romney","REP","President - Vice Pres","","","","318",""
"01","002","000","Gary Johnson","LIB","President - Vice Pres","","","","2",""
"01","002","000","Jill Stein","GRN","President - Vice Pres","","","","2",""
"01","002","000","Tiffany Renee Briscoe","DEM","President - Vice Pres","","","Y","0",""
"01","002","000","Dennis Knill","DEM","President - Vice Pres","","","Y","0",""
"01","002","000","Matthew Lydick","REP","President - Vice Pres","","","Y","0",""
"01","002","000","Barbara A. Prokopich","REP","President - Vice Pres","","","Y","0",""
"01","002","000","Santa Claus","IND","President - Vice Pres","","","Y","0",""
"01","002","000","Richard Duncan","IND","President - Vice Pres","","","Y","0",""
"01","002","000","Bruce Mlynski","IND","President - Vice Pres","","","Y","0",""
"01","002","000","Kevin M. Thorne","IND","President - Vice Pres","","","Y","0",""
"01","002","000","James Clymer","CON","President - Vice Pres","","","Y","0",""
"01","002","000","Virgil Goode","CON","President - Vice Pres","","","Y","0",""
"01","002","000","Ross C. Rocky Anderson","OTH","President - Vice Pres","","","Y","0",""
"01","002","000","Andre Barnett","OTH","President - Vice Pres","","","Y","0",""
"01","002","000","Roseanne Barr","OTH","President - Vice Pres","","","Y","0",""
"01","002","000","Will Christensen","OTH","President - Vice Pres","","","Y","0",""
"01","002","000","Stephen Durham","OTH","President - Vice Pres","","","Y","0",""
"01","002","000","Merlin Miller","OTH","President - Vice Pres","","","Y","0",""
"01","002","000","Leon Leo Ray","OTH","President - Vice Pres","","","Y","0",""
"01","002","000","Michael David Boyles","UNF","President - Vice Pres","","","Y","0",""
"01","002","000","Theodis (Ted) Brown, Sr.","UNF","President - Vice Pres","","","Y","0",""
"01","002","000","Paul Chehade","UNF","President - Vice Pres","","","Y","0",""
"01","002","000","David M. Crosby","UNF","President - Vice Pres","","","Y","0",""
"01","002","000","Fred Donald Dickson, Jr.","UNF","President - Vice Pres","","","Y","0",""
"01","002","000","Robert William Dietz","UNF","President - Vice Pres","","","Y","0",""
"01","002","000","Dwight Kenneth French","UNF","President - Vice Pres","","","Y","0",""
"01","002","000","Darrell Hykes","UNF","President - Vice Pres","","","Y","0",""
"01","002","000","Nelson Keyton","UNF","President - Vice Pres","","","Y","0",""
"01","002","000","Dean Morstad","UNF","President - Vice Pres","","","Y","0",""
"01","002","000","Deonia Neveu","UNF","President - Vice Pres","","","Y","0",""
"01","002","000","Terrance James O'Hara","UNF","President - Vice Pres","","","Y","0",""
"01","002","000","Jill Reed","UNF","President - Vice Pres","","","Y","0",""
"01","002","000","Cecil James Roth","UNF","President - Vice Pres","","","Y","0",""
"01","002","000","Sheila Tittle","UNF","President - Vice Pres","","","Y","0",""
"01","002","000","Other Write-Ins","BOT","President - Vice Pres","","","Y","0",""
"01","002","000","Ben Cardin","DEM","U.S. Senator           ","","Y","","108",""
"01","002","000","Daniel John Bongino","REP","U.S. Senator           ","","","","242",""
"01","002","000","Dean Ahmad","LIB","U.S. Senator           ","","","","5",""
"01","002","000","S. Rob Sobhani","UNF","U.S. Senator           ","","","","64",""
"01","002","000","Lih Young","DEM","U.S. Senator           ","","","Y","0",""
"01","002","000","Mary Podlesak","REP","U.S. Senator           ","","","Y","0",""
"01","002","000","Brandy Baker","UNF","U.S. Senator           ","","","Y","0",""
"01","002","000","Ed Tinus","UNF","U.S. Senator           ","","","Y","0",""
"01","002","000","Other Write-Ins","BOT","U.S. Senator           ","","","Y","0",""
"01","002","000","John Delaney","DEM","U.S. Congress","06","Y","","152",""
"01","002","000","Roscoe G. Bartlett","REP","U.S. Congress","06","","","251",""
"01","002","000","Nickolaus Mueller","LIB","U.S. Congress","06","","","24",""
"01","002","000","Other Write-Ins","BOT","U.S. Congress","06","","Y","0",""
"01","002","000","Lynne A. Battaglia","BOT","Appellate Judge","03","Y","","298","66"
"01","002","000","Stuart R. Berger","BOT","Judge Spec Appeal at Lg","","Y","","283","73"
"01","002","000","Nicholas Todd Hadley","NON","Board of Education     ","","Y","","278",""
"01","002","000","Edward L. Root","NON","Board of Education     ","","Y","","282",""
"01","002","000","Other Write-Ins","NON","Board of Education     ","","","Y","0",""
"01","003","000","Barack Obama","DEM","President - Vice Pres","","Y","","86",""
"01","003","000","Mitt Romney","REP","President - Vice Pres","","","","314",""
"01","003","000","Gary Johnson","LIB","President - Vice Pres","","","","3",""
"01","003","000","Jill Stein","GRN","President - Vice Pres","","","","2",""
"01","003","000","Tiffany Renee Briscoe","DEM","President - Vice Pres","","","Y","0",""
"01","003","000","Dennis Knill","DEM","President - Vice Pres","","","Y","0",""
"01","003","000","Matthew Lydick","REP","President - Vice Pres","","","Y","0",""
"01","003","000","Barbara A. Prokopich","REP","President - Vice Pres","","","Y","0",""
"01","003","000","Santa Claus","IND","President - Vice Pres","","","Y","0",""
"01","003","000","Richard Duncan","IND","President - Vice Pres","","","Y","0",""
"01","003","000","Bruce Mlynski","IND","President - Vice Pres","","","Y","0",""
"01","003","000","Kevin M. Thorne","IND","President - Vice Pres","","","Y","0",""
"01","003","000","James Clymer","CON","President - Vice Pres","","","Y","0",""
"01","003","000","Virgil Goode","CON","President - Vice Pres","","","Y","0",""
"01","003","000","Ross C. Rocky Anderson","OTH","President - Vice Pres","","","Y","0",""
"01","003","000","Andre Barnett","OTH","President - Vice Pres","","","Y","0",""
"01","003","000","Roseanne Barr","OTH","President - Vice Pres","","","Y","0",""
"01","003","000","Will Christensen","OTH","President - Vice Pres","","","Y","0",""
