"Candidate Name","Party","Office Name","Office District","Winner","Write-In?","Election Night Votes","Election Night Votes Against","Absentees Votes","Absentees Votes Against","Provisional Votes","Provisional Votes Against","2nd Absentees Votes","2nd Absentees Votes Against","Total Votes","Total Votes Against"
"Barack Obama","DEM","President - Vice Pres","","Y","","7945","","500","","264","","40","","9805",""
"Mitt Romney","REP","President - Vice Pres","","","","16601","","783","","246","","43","","19230",""
"Gary Johnson","LIB","President - Vice Pres","","","","375","","14","","18","","0","","448",""
"Jill Stein","GRN","President - Vice Pres","","","","222","","9","","4","","1","","256",""
"Tiffany Renee Briscoe","DEM","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Dennis Knill","DEM","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Matthew Lydick","REP","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Barbara A. Prokopich","REP","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Santa Claus","IND","President - Vice Pres","","","Y","10","0","0","","0","","0","","10",""
"Richard Duncan","IND","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Bruce Mlynski","IND","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Kevin M. Thorne","IND","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"James Clymer","CON","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Virgil Goode","CON","President - Vice Pres","","","Y","5","0","0","","0","","0","","5",""
"Ross C. Rocky Anderson","OTH","President - Vice Pres","","","Y","2","0","0","","0","","0","","2",""
"Andre Barnett","OTH","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Roseanne Barr","OTH","President - Vice Pres","","","Y","4","0","0","","0","","0","","4",""
"Will Christensen","OTH","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Stephen Durham","OTH","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Merlin Miller","OTH","President - Vice Pres","","","Y","2","0","0","","0","","0","","2",""
"Leon Leo Ray","OTH","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Michael David Boyles","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Theodis (Ted) Brown, Sr.","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Paul Chehade","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"David M. Crosby","UNF","President - Vice Pres","","","Y","1","0","0","","0","","0","","1",""
"Fred Donald Dickson, Jr.","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Robert William Dietz","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Dwight Kenneth French","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Darrell Hykes","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Nelson Keyton","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Dean Morstad","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Deonia Neveu","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Terrance James O'Hara","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0",""
"Jill Reed","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Cecil James Roth","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Sheila Tittle","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Other Write-Ins","BOT","President - Vice Pres","","","Y","78","0","3","","1","","1","","87",""
"Ben Cardin","DEM","U.S. Senator           ","","Y","","7635","","512","","246","","39","","9507",""
"Daniel John Bongino","REP","U.S. Senator           ","","","","12595","","626","","200","","31","","14667",""
"Dean Ahmad","LIB","U.S. Senator           ","","","","312","","19","","8","","0","","367",""
"S. Rob Sobhani","UNF","U.S. Senator           ","","","","3484","","89","","45","","8","","3920",""
"Lih Young","DEM","U.S. Senator           ","","","Y","0","0","0","","0","","0","","0",""
"Mary Podlesak","REP","U.S. Senator           ","","","Y","0","0","0","","0","","0","","0",""
"Brandy Baker","UNF","U.S. Senator           ","","","Y","4","0","0","","0","","0","","4",""
"Ed Tinus","UNF","U.S. Senator           ","","","Y","0","0","0","","0","","0","","0",""
"Other Write-Ins","BOT","U.S. Senator           ","","","Y","11","0","0","","1","","0","","14",""
"John Delaney","DEM","U.S. Congress","06","Y","","10065","","502","","193","","33","","11966",""
"Roscoe G. Bartlett","REP","U.S. Congress","06","","","13417","","733","","174","","42","","15730",""
"Nickolaus Mueller","LIB","U.S. Congress","06","","","908","","38","","19","","4","","1046",""
"Other Write-Ins","BOT","U.S. Congress","06","","Y","16","","0","","1","","1","","19",""
"Lynne A. Battaglia","BOT","Appellate Judge","03","Y","","16694","2896","795","160","293","47","55","5","19483","3473"
"Stuart R. Berger","BOT","Judge Spec Appeal at Lg","","Y","","16241","3019","798","146","355","71","56","3","19039","3628"
"Nicholas Todd Hadley","NON","Board of Education     ","","Y","","15381","","654","","218","","44","","17807",""
"Edward L. Root","NON","Board of Education     ","","Y","","16247","","782","","174","","41","","19068",""
"Other Write-Ins","NON","Board of Education     ","","","Y","177","","16","","6","","2","","218",""
"David Caporale","NON","Cumberland Council","CU","Y","","4815","","300","","74","","20","","5919",""
"John Cline","NON","Cumberland Council","CU","","","1372","","90","","26","","8","","1761",""
"Nicole Wagoner","NON","Cumberland Council","CU","Y","","3862","","188","","77","","18","","4736",""
