"Candidate Name","Party","Office Name","Office District","Winner","Write-In?","Election Night Votes","Election Night Votes Against","Absentees Votes","Absentees Votes Against","Provisional Votes","Provisional Votes Against","2nd Absentees Votes","2nd Absentees Votes Against","Total Votes","Total Votes Against"
"Barack Obama","DEM","President - Vice Pres","","Y","","93934","","5205","","4003","","1301","","126635",""
"Mitt Romney","REP","President - Vice Pres","","","","103049","","5047","","2548","","875","","126832",""
"Gary Johnson","LIB","President - Vice Pres","","","","3188","","132","","114","","41","","3765",""
"Jill Stein","GRN","President - Vice Pres","","","","1447","","77","","35","","24","","1727",""
"Tiffany Renee Briscoe","DEM","President - Vice Pres","","","Y","1","","0","","0","","0","","1",""
"Dennis Knill","DEM","President - Vice Pres","","","Y","0","","0","","0","","0","","0",""
"Matthew Lydick","REP","President - Vice Pres","","","Y","2","","0","","0","","0","","2",""
"Barbara A. Prokopich","REP","President - Vice Pres","","","Y","2","","0","","0","","0","","2",""
"Santa Claus","IND","President - Vice Pres","","","Y","83","","0","","2","","0","","96",""
"Richard Duncan","IND","President - Vice Pres","","","Y","2","","0","","0","","0","","2",""
"Bruce Mlynski","IND","President - Vice Pres","","","Y","0","","0","","0","","0","","0",""
"Kevin M. Thorne","IND","President - Vice Pres","","","Y","0","","0","","0","","0","","0",""
"James Clymer","CON","President - Vice Pres","","","Y","2","","0","","0","","0","","3",""
"Virgil Goode","CON","President - Vice Pres","","","Y","47","","2","","2","","0","","58",""
"Ross C. Rocky Anderson","OTH","President - Vice Pres","","","Y","16","","1","","1","","0","","22",""
"Andre Barnett","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0",""
"Roseanne Barr","OTH","President - Vice Pres","","","Y","10","","0","","1","","0","","11",""
"Will Christensen","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0",""
"Stephen Durham","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0",""
"Merlin Miller","OTH","President - Vice Pres","","","Y","2","","0","","0","","0","","2",""
"Leon Leo Ray","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0",""
"Michael David Boyles","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0",""
"Theodis (Ted) Brown, Sr.","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0",""
"Paul Chehade","UNF","President - Vice Pres","","","Y","2","","0","","0","","0","","2",""
"David M. Crosby","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0",""
