"Vote Type (FOR=1,AGAINST=2)","Candidate Name","Party","Office Name","Office District","Winner","Write-In?", CONC 005,CONC 004,CONC 006,CONC 002,CONC 007,CONC 001,CONC 003
1,"Barack Obama",DEM,President - Vice Pres,,Y,,13791,16033,14354,13007,13499,12515,10735
1,"Mitt Romney",REP,President - Vice Pres,,,,19187,11476,11935,12340,18110,11004,18997
1,"Gary Johnson",LIB,President - Vice Pres,,,,538,440,374,468,442,416,510
1,"Jill Stein",GRN,President - Vice Pres,,,,231,177,160,220,216,202,241
1,"Tiffany Renee Briscoe",DEM,President - Vice Pres,,,Y,0,0,0,0,1,0,0
1,"Dennis Knill",DEM,President - Vice Pres,,,Y,0,0,0,0,0,0,0
1,"Matthew Lydick",REP,President - Vice Pres,,,Y,0,0,0,0,1,0,1
1,"Barbara A. Prokopich",REP,President - Vice Pres,,,Y,0,0,0,1,0,1,0
1,"Santa Claus",IND,President - Vice Pres,,,Y,11,10,10,11,15,10,16
1,"Richard Duncan",IND,President - Vice Pres,,,Y,0,0,0,0,1,1,0
1,"Bruce Mlynski",IND,President - Vice Pres,,,Y,0,0,0,0,0,0,0
1,"Kevin M. Thorne",IND,President - Vice Pres,,,Y,0,0,0,0,0,0,0
1,"James Clymer",CON,President - Vice Pres,,,Y,0,0,0,0,2,0,0
1,"Virgil Goode",CON,President - Vice Pres,,,Y,11,8,7,3,6,8,4
1,"Ross C. Rocky Anderson",OTH,President - Vice Pres,,,Y,3,2,1,1,3,4,2
1,"Andre Barnett",OTH,President - Vice Pres,,,Y,0,0,0,0,0,0,0
1,"Roseanne Barr",OTH,President - Vice Pres,,,Y,0,1,2,2,2,2,1
1,"Will Christensen",OTH,President - Vice Pres,,,Y,0,0,0,0,0,0,0
1,"Stephen Durham",OTH,President - Vice Pres,,,Y,0,0,0,0,0,0,0
1,"Merlin Miller",OTH,President - Vice Pres,,,Y,1,0,0,0,0,1,0
1,"Leon Leo Ray",OTH,President - Vice Pres,,,Y,0,0,0,0,0,0,0
1,"Michael David Boyles",UNF,President - Vice Pres,,,Y,0,0,0,0,0,0,0
1,"Theodis (Ted) Brown, Sr.",UNF,President - Vice Pres,,,Y,0,0,0,0,0,0,0
1,"Paul Chehade",UNF,President - Vice Pres,,,Y,0,1,0,0,0,1,0
1,"David M. Crosby",UNF,President - Vice Pres,,,Y,0,0,0,0,0,0,0
1,"Fred Donald Dickson, Jr.",UNF,President - Vice Pres,,,Y,0,0,0,0,0,0,0
1,"Robert William Dietz",UNF,President - Vice Pres,,,Y,0,0,0,0,0,0,0
1,"Dwight Kenneth French",UNF,President - Vice Pres,,,Y,0,0,0,0,0,0,0
