"County","Election District","Election Precinct","Candidate Name","Party","Office Name","Office District","Winner","Write-In?","Election Night Votes","Election Night Votes Against"
"04","001","001","Barack Obama","DEM","President - Vice Pres","","Y","","1846",""
"04","001","001","Mitt Romney","REP","President - Vice Pres","","","","149",""
"04","001","001","Gary Johnson","LIB","President - Vice Pres","","","","12",""
"04","001","001","Jill Stein","GRN","President - Vice Pres","","","","8",""
"04","001","001","Tiffany Renee Briscoe","DEM","President - Vice Pres","","","Y","0",""
"04","001","001","Dennis Knill","DEM","President - Vice Pres","","","Y","0",""
"04","001","001","Matthew Lydick","REP","President - Vice Pres","","","Y","0",""
"04","001","001","Barbara A. Prokopich","REP","President - Vice Pres","","","Y","0",""
"04","001","001","Santa Claus","IND","President - Vice Pres","","","Y","0",""
"04","001","001","Richard Duncan","IND","President - Vice Pres","","","Y","0",""
"04","001","001","Bruce Mlynski","IND","President - Vice Pres","","","Y","0",""
"04","001","001","Kevin M. Thorne","IND","President - Vice Pres","","","Y","0",""
"04","001","001","James Clymer","CON","President - Vice Pres","","","Y","0",""
"04","001","001","Virgil Goode","CON","President - Vice Pres","","","Y","0",""
"04","001","001","Ross C. Rocky Anderson","OTH","President - Vice Pres","","","Y","0",""
"04","001","001","Andre Barnett","OTH","President - Vice Pres","","","Y","0",""
"04","001","001","Roseanne Barr","OTH","President - Vice Pres","","","Y","0",""
"04","001","001","Will Christensen","OTH","President - Vice Pres","","","Y","0",""
"04","001","001","Stephen Durham","OTH","President - Vice Pres","","","Y","0",""
"04","001","001","Merlin Miller","OTH","President - Vice Pres","","","Y","0",""
"04","001","001","Leon Leo Ray","OTH","President - Vice Pres","","","Y","0",""
"04","001","001","Michael David Boyles","UNF","President - Vice Pres","","","Y","0",""
"04","001","001","Theodis (Ted) Brown, Sr.","UNF","President - Vice Pres","","","Y","0",""
"04","001","001","Paul Chehade","UNF","President - Vice Pres","","","Y","0",""
"04","001","001","David M. Crosby","UNF","President - Vice Pres","","","Y","0",""
"04","001","001","Fred Donald Dickson, Jr.","UNF","President - Vice Pres","","","Y","0",""
"04","001","001","Robert William Dietz","UNF","President - Vice Pres","","","Y","0",""
"04","001","001","Dwight Kenneth French","UNF","President - Vice Pres","","","Y","0",""
"04","001","001","Darrell Hykes","UNF","President - Vice Pres","","","Y","0",""
"04","001","001","Nelson Keyton","UNF","President - Vice Pres","","","Y","0",""
"04","001","001","Dean Morstad","UNF","President - Vice Pres","","","Y","0",""
"04","001","001","Deonia Neveu","UNF","President - Vice Pres","","","Y","0",""
"04","001","001","Terrance James O'Hara","UNF","President - Vice Pres","","","Y","0",""
"04","001","001","Jill Reed","UNF","President - Vice Pres","","","Y","0",""
"04","001","001","Cecil James Roth","UNF","President - Vice Pres","","","Y","0",""
"04","001","001","Sheila Tittle","UNF","President - Vice Pres","","","Y","0",""
"04","001","001","Other Write-Ins","BOT","President - Vice Pres","","","Y","10",""
"04","001","001","Ben Cardin","DEM","U.S. Senator           ","","Y","","1537",""
"04","001","001","Daniel John Bongino","REP","U.S. Senator           ","","","","104",""
"04","001","001","Dean Ahmad","LIB","U.S. Senator           ","","","","25",""
"04","001","001","S. Rob Sobhani","UNF","U.S. Senator           ","","","","308",""
"04","001","001","Lih Young","DEM","U.S. Senator           ","","","Y","0",""
"04","001","001","Mary Podlesak","REP","U.S. Senator           ","","","Y","0",""
"04","001","001","Brandy Baker","UNF","U.S. Senator           ","","","Y","0",""
"04","001","001","Ed Tinus","UNF","U.S. Senator           ","","","Y","0",""
"04","001","001","Other Write-Ins","BOT","U.S. Senator           ","","","Y","2",""
"04","001","001","Elijah Cummings","DEM","U.S. Congress","07","Y","","1798",""
"04","001","001","Frank C. Mirabile","REP","U.S. Congress","07","","","119",""
"04","001","001","Ronald M. Owens-Bey","LIB","U.S. Congress","07","","","52",""
"04","001","001","Ty Glen Busch","DEM","U.S. Congress","07","","Y","0",""
"04","001","001","Charles U. Smith","DEM","U.S. Congress","07","","Y","0",""
"04","001","001","Other Write-Ins","BOT","U.S. Congress","07","","Y","5",""
"04","001","001","Nancy M. Purpura","BOT","Judge Circuit Court","03","Y","","1603",""
"04","001","001","Other Write-Ins","BOT","Judge Circuit Court","03","","Y","14",""
"04","001","001","Robert N. McDonald","BOT","Appellate Judge","02","Y","","1500","226"
"04","001","001","Stuart R. Berger","BOT","Judge Spec Appeal at Lg","","Y","","1467","249"
"04","001","002","Barack Obama","DEM","President - Vice Pres","","Y","","793",""
"04","001","002","Mitt Romney","REP","President - Vice Pres","","","","118",""
"04","001","002","Gary Johnson","LIB","President - Vice Pres","","","","5",""
"04","001","002","Jill Stein","GRN","President - Vice Pres","","","","1",""
"04","001","002","Tiffany Renee Briscoe","DEM","President - Vice Pres","","","Y","0",""
"04","001","002","Dennis Knill","DEM","President - Vice Pres","","","Y","0",""
"04","001","002","Matthew Lydick","REP","President - Vice Pres","","","Y","0",""
"04","001","002","Barbara A. Prokopich","REP","President - Vice Pres","","","Y","0",""
"04","001","002","Santa Claus","IND","President - Vice Pres","","","Y","0",""
"04","001","002","Richard Duncan","IND","President - Vice Pres","","","Y","0",""
"04","001","002","Bruce Mlynski","IND","President - Vice Pres","","","Y","0",""
"04","001","002","Kevin M. Thorne","IND","President - Vice Pres","","","Y","0",""
"04","001","002","James Clymer","CON","President - Vice Pres","","","Y","0",""
"04","001","002","Virgil Goode","CON","President - Vice Pres","","","Y","1",""
"04","001","002","Ross C. Rocky Anderson","OTH","President - Vice Pres","","","Y","0",""
"04","001","002","Andre Barnett","OTH","President - Vice Pres","","","Y","0",""
"04","001","002","Roseanne Barr","OTH","President - Vice Pres","","","Y","0",""
"04","001","002","Will Christensen","OTH","President - Vice Pres","","","Y","0",""
"04","001","002","Stephen Durham","OTH","President - Vice Pres","","","Y","0",""
"04","001","002","Merlin Miller","OTH","President - Vice Pres","","","Y","0",""
"04","001","002","Leon Leo Ray","OTH","President - Vice Pres","","","Y","0",""
"04","001","002","Michael David Boyles","UNF","President - Vice Pres","","","Y","0",""
"04","001","002","Theodis (Ted) Brown, Sr.","UNF","President - Vice Pres","","","Y","0",""
"04","001","002","Paul Chehade","UNF","President - Vice Pres","","","Y","0",""
"04","001","002","David M. Crosby","UNF","President - Vice Pres","","","Y","0",""
"04","001","002","Fred Donald Dickson, Jr.","UNF","President - Vice Pres","","","Y","0",""
"04","001","002","Robert William Dietz","UNF","President - Vice Pres","","","Y","0",""
"04","001","002","Dwight Kenneth French","UNF","President - Vice Pres","","","Y","0",""
"04","001","002","Darrell Hykes","UNF","President - Vice Pres","","","Y","0",""
"04","001","002","Nelson Keyton","UNF","President - Vice Pres","","","Y","0",""
"04","001","002","Dean Morstad","UNF","President - Vice Pres","","","Y","0",""
"04","001","002","Deonia Neveu","UNF","President - Vice Pres","","","Y","0",""
"04","001","002","Terrance James O'Hara","UNF","President - Vice Pres","","","Y","0",""
"04","001","002","Jill Reed","UNF","President - Vice Pres","","","Y","0",""
"04","001","002","Cecil James Roth","UNF","President - Vice Pres","","","Y","0",""
"04","001","002","Sheila Tittle","UNF","President - Vice Pres","","","Y","0",""
"04","001","002","Other Write-Ins","BOT","President - Vice Pres","","","Y","0",""
"04","001","002","Ben Cardin","DEM","U.S. Senator           ","","Y","","696",""
"04","001","002","Daniel John Bongino","REP","U.S. Senator           ","","","","67",""
"04","001","002","Dean Ahmad","LIB","U.S. Senator           ","","","","15",""
"04","001","002","S. Rob Sobhani","UNF","U.S. Senator           ","","","","126",""
"04","001","002","Lih Young","DEM","U.S. Senator           ","","","Y","0",""
"04","001","002","Mary Podlesak","REP","U.S. Senator           ","","","Y","0",""
"04","001","002","Brandy Baker","UNF","U.S. Senator           ","","","Y","0",""
"04","001","002","Ed Tinus","UNF","U.S. Senator           ","","","Y","0",""
"04","001","002","Other Write-Ins","BOT","U.S. Senator           ","","","Y","0",""
"04","001","002","Elijah Cummings","DEM","U.S. Congress","07","Y","","795",""
"04","001","002","Frank C. Mirabile","REP","U.S. Congress","07","","","85",""
"04","001","002","Ronald M. Owens-Bey","LIB","U.S. Congress","07","","","18",""
"04","001","002","Ty Glen Busch","DEM","U.S. Congress","07","","Y","0",""
"04","001","002","Charles U. Smith","DEM","U.S. Congress","07","","Y","0",""
"04","001","002","Other Write-Ins","BOT","U.S. Congress","07","","Y","0",""
"04","001","002","Nancy M. Purpura","BOT","Judge Circuit Court","03","Y","","737",""
"04","001","002","Other Write-Ins","BOT","Judge Circuit Court","03","","Y","3",""
"04","001","002","Robert N. McDonald","BOT","Appellate Judge","02","Y","","660","133"
"04","001","002","Stuart R. Berger","BOT","Judge Spec Appeal at Lg","","Y","","660","133"
"04","001","003","Barack Obama","DEM","President - Vice Pres","","Y","","1154",""
"04","001","003","Mitt Romney","REP","President - Vice Pres","","","","413",""
"04","001","003","Gary Johnson","LIB","President - Vice Pres","","","","24",""
"04","001","003","Jill Stein","GRN","President - Vice Pres","","","","4",""
"04","001","003","Tiffany Renee Briscoe","DEM","President - Vice Pres","","","Y","0",""
"04","001","003","Dennis Knill","DEM","President - Vice Pres","","","Y","0",""
"04","001","003","Matthew Lydick","REP","President - Vice Pres","","","Y","0",""
"04","001","003","Barbara A. Prokopich","REP","President - Vice Pres","","","Y","0",""
"04","001","003","Santa Claus","IND","President - Vice Pres","","","Y","1",""
"04","001","003","Richard Duncan","IND","President - Vice Pres","","","Y","0",""
"04","001","003","Bruce Mlynski","IND","President - Vice Pres","","","Y","0",""
"04","001","003","Kevin M. Thorne","IND","President - Vice Pres","","","Y","0",""
"04","001","003","James Clymer","CON","President - Vice Pres","","","Y","1",""
"04","001","003","Virgil Goode","CON","President - Vice Pres","","","Y","1",""
"04","001","003","Ross C. Rocky Anderson","OTH","President - Vice Pres","","","Y","0",""
"04","001","003","Andre Barnett","OTH","President - Vice Pres","","","Y","0",""
"04","001","003","Roseanne Barr","OTH","President - Vice Pres","","","Y","0",""
"04","001","003","Will Christensen","OTH","President - Vice Pres","","","Y","0",""
"04","001","003","Stephen Durham","OTH","President - Vice Pres","","","Y","0",""
"04","001","003","Merlin Miller","OTH","President - Vice Pres","","","Y","0",""
"04","001","003","Leon Leo Ray","OTH","President - Vice Pres","","","Y","0",""
"04","001","003","Michael David Boyles","UNF","President - Vice Pres","","","Y","0",""
"04","001","003","Theodis (Ted) Brown, Sr.","UNF","President - Vice Pres","","","Y","0",""
"04","001","003","Paul Chehade","UNF","President - Vice Pres","","","Y","0",""
"04","001","003","David M. Crosby","UNF","President - Vice Pres","","","Y","0",""
"04","001","003","Fred Donald Dickson, Jr.","UNF","President - Vice Pres","","","Y","0",""
"04","001","003","Robert William Dietz","UNF","President - Vice Pres","","","Y","0",""
"04","001","003","Dwight Kenneth French","UNF","President - Vice Pres","","","Y","0",""
"04","001","003","Darrell Hykes","UNF","President - Vice Pres","","","Y","0",""
"04","001","003","Nelson Keyton","UNF","President - Vice Pres","","","Y","0",""
"04","001","003","Dean Morstad","UNF","President - Vice Pres","","","Y","0",""
"04","001","003","Deonia Neveu","UNF","President - Vice Pres","","","Y","0",""
"04","001","003","Terrance James O'Hara","UNF","President - Vice Pres","","","Y","0",""
"04","001","003","Jill Reed","UNF","President - Vice Pres","","","Y","0",""
"04","001","003","Cecil James Roth","UNF","President - Vice Pres","","","Y","0",""
"04","001","003","Sheila Tittle","UNF","President - Vice Pres","","","Y","0",""
"04","001","003","Other Write-Ins","BOT","President - Vice Pres","","","Y","7",""
"04","001","003","Ben Cardin","DEM","U.S. Senator           ","","Y","","950",""
"04","001","003","Daniel John Bongino","REP","U.S. Senator           ","","","","319",""
"04","001","003","Dean Ahmad","LIB","U.S. Senator           ","","","","54",""
"04","001","003","S. Rob Sobhani","UNF","U.S. Senator           ","","","","261",""
"04","001","003","Lih Young","DEM","U.S. Senator           ","","","Y","0",""
"04","001","003","Mary Podlesak","REP","U.S. Senator           ","","","Y","0",""
"04","001","003","Brandy Baker","UNF","U.S. Senator           ","","","Y","0",""
"04","001","003","Ed Tinus","UNF","U.S. Senator           ","","","Y","0",""
"04","001","003","Other Write-Ins","BOT","U.S. Senator           ","","","Y","3",""
"04","001","003","Elijah Cummings","DEM","U.S. Congress","07","Y","","1136",""
"04","001","003","Frank C. Mirabile","REP","U.S. Congress","07","","","366",""
"04","001","003","Ronald M. Owens-Bey","LIB","U.S. Congress","07","","","54",""
"04","001","003","Ty Glen Busch","DEM","U.S. Congress","07","","Y","0",""
"04","001","003","Charles U. Smith","DEM","U.S. Congress","07","","Y","0",""
"04","001","003","Other Write-Ins","BOT","U.S. Congress","07","","Y","5",""
"04","001","003","Nancy M. Purpura","BOT","Judge Circuit Court","03","Y","","1256",""
"04","001","003","Other Write-Ins","BOT","Judge Circuit Court","03","","Y","15",""
"04","001","003","Robert N. McDonald","BOT","Appellate Judge","02","Y","","1186","168"
"04","001","003","Stuart R. Berger","BOT","Judge Spec Appeal at Lg","","Y","","1173","173"
"04","001","004","Barack Obama","DEM","President - Vice Pres","","Y","","1031",""
"04","001","004","Mitt Romney","REP","President - Vice Pres","","","","376",""
"04","001","004","Gary Johnson","LIB","President - Vice Pres","","","","11",""
"04","001","004","Jill Stein","GRN","President - Vice Pres","","","","10",""
"04","001","004","Tiffany Renee Briscoe","DEM","President - Vice Pres","","","Y","0",""
"04","001","004","Dennis Knill","DEM","President - Vice Pres","","","Y","0",""
"04","001","004","Matthew Lydick","REP","President - Vice Pres","","","Y","0",""
"04","001","004","Barbara A. Prokopich","REP","President - Vice Pres","","","Y","0",""
"04","001","004","Santa Claus","IND","President - Vice Pres","","","Y","1",""
"04","001","004","Richard Duncan","IND","President - Vice Pres","","","Y","0",""
"04","001","004","Bruce Mlynski","IND","President - Vice Pres","","","Y","0",""
"04","001","004","Kevin M. Thorne","IND","President - Vice Pres","","","Y","0",""
"04","001","004","James Clymer","CON","President - Vice Pres","","","Y","0",""
"04","001","004","Virgil Goode","CON","President - Vice Pres","","","Y","1",""
"04","001","004","Ross C. Rocky Anderson","OTH","President - Vice Pres","","","Y","0",""
"04","001","004","Andre Barnett","OTH","President - Vice Pres","","","Y","0",""
"04","001","004","Roseanne Barr","OTH","President - Vice Pres","","","Y","0",""
