"County","Election District","Election Precinct","Candidate Name","Party","Office Name","Office District","Winner","Write-In?","Election Night Votes","Election Night Votes Against"
"03","001","001","Barack Obama","DEM","President - Vice Pres","","Y","","330",""
"03","001","001","Mitt Romney","REP","President - Vice Pres","","","","133",""
"03","001","001","Gary Johnson","LIB","President - Vice Pres","","","","12",""
"03","001","001","Jill Stein","GRN","President - Vice Pres","","","","7",""
"03","001","001","Tiffany Renee Briscoe","DEM","President - Vice Pres","","","Y","0",""
"03","001","001","Dennis Knill","DEM","President - Vice Pres","","","Y","0",""
"03","001","001","Matthew Lydick","REP","President - Vice Pres","","","Y","0",""
"03","001","001","Barbara A. Prokopich","REP","President - Vice Pres","","","Y","0",""
"03","001","001","Santa Claus","IND","President - Vice Pres","","","Y","0",""
"03","001","001","Richard Duncan","IND","President - Vice Pres","","","Y","0",""
"03","001","001","Bruce Mlynski","IND","President - Vice Pres","","","Y","0",""
"03","001","001","Kevin M. Thorne","IND","President - Vice Pres","","","Y","0",""
"03","001","001","James Clymer","CON","President - Vice Pres","","","Y","0",""
"03","001","001","Virgil Goode","CON","President - Vice Pres","","","Y","0",""
"03","001","001","Ross C. Rocky Anderson","OTH","President - Vice Pres","","","Y","1",""
"03","001","001","Andre Barnett","OTH","President - Vice Pres","","","Y","0",""
"03","001","001","Roseanne Barr","OTH","President - Vice Pres","","","Y","0",""
"03","001","001","Will Christensen","OTH","President - Vice Pres","","","Y","0",""
"03","001","001","Stephen Durham","OTH","President - Vice Pres","","","Y","0",""
"03","001","001","Merlin Miller","OTH","President - Vice Pres","","","Y","0",""
"03","001","001","Leon Leo Ray","OTH","President - Vice Pres","","","Y","0",""
"03","001","001","Michael David Boyles","UNF","President - Vice Pres","","","Y","0",""
"03","001","001","Theodis (Ted) Brown, Sr.","UNF","President - Vice Pres","","","Y","0",""
"03","001","001","Paul Chehade","UNF","President - Vice Pres","","","Y","0",""
"03","001","001","David M. Crosby","UNF","President - Vice Pres","","","Y","0",""
"03","001","001","Fred Donald Dickson, Jr.","UNF","President - Vice Pres","","","Y","0",""
"03","001","001","Robert William Dietz","UNF","President - Vice Pres","","","Y","0",""
"03","001","001","Dwight Kenneth French","UNF","President - Vice Pres","","","Y","0",""
"03","001","001","Darrell Hykes","UNF","President - Vice Pres","","","Y","0",""
"03","001","001","Nelson Keyton","UNF","President - Vice Pres","","","Y","0",""
"03","001","001","Dean Morstad","UNF","President - Vice Pres","","","Y","0",""
"03","001","001","Deonia Neveu","UNF","President - Vice Pres","","","Y","0",""
"03","001","001","Terrance James O'Hara","UNF","President - Vice Pres","","","Y","0",""
"03","001","001","Jill Reed","UNF","President - Vice Pres","","","Y","0",""
"03","001","001","Cecil James Roth","UNF","President - Vice Pres","","","Y","0",""
"03","001","001","Sheila Tittle","UNF","President - Vice Pres","","","Y","0",""
"03","001","001","Other Write-Ins","BOT","President - Vice Pres","","","Y","3",""
"03","001","001","Ben Cardin","DEM","U.S. Senator           ","","Y","","274",""
"03","001","001","Daniel John Bongino","REP","U.S. Senator           ","","","","64",""
"03","001","001","Dean Ahmad","LIB","U.S. Senator           ","","","","9",""
"03","001","001","S. Rob Sobhani","UNF","U.S. Senator           ","","","","125",""
"03","001","001","Lih Young","DEM","U.S. Senator           ","","","Y","0",""
"03","001","001","Mary Podlesak","REP","U.S. Senator           ","","","Y","0",""
"03","001","001","Brandy Baker","UNF","U.S. Senator           ","","","Y","0",""
"03","001","001","Ed Tinus","UNF","U.S. Senator           ","","","Y","0",""
"03","001","001","Other Write-Ins","BOT","U.S. Senator           ","","","Y","0",""
"03","001","001","John Sarbanes","DEM","U.S. Congress","03","Y","","348",""
"03","001","001","Eric Delano Knowles","REP","U.S. Congress","03","","","90",""
"03","001","001","Paul W. Drgos, Jr.","LIB","U.S. Congress","03","","","25",""
"03","001","001","Other Write-Ins","BOT","U.S. Congress","03","","Y","0",""
"03","001","001","Kendra Y. Ausby","BOT","Judge Circuit Court","08","Y","","250",""
"03","001","001","Jeannie J. Hong","BOT","Judge Circuit Court","08","Y","","250",""
"03","001","001","Charles J. Peters","BOT","Judge Circuit Court","08","Y","","238",""
"03","001","001","Michael W. Reed","BOT","Judge Circuit Court","08","Y","","242",""
"03","001","001","Yolanda A. Tanner","BOT","Judge Circuit Court","08","Y","","240",""
"03","001","001","David W. Young","BOT","Judge Circuit Court","08","Y","","249",""
"03","001","001","Other Write-Ins","BOT","Judge Circuit Court","08","","Y","14",""
"03","001","001","Robert M. Bell","BOT","Appellate Judge","06","Y","","280","68"
"03","001","001","Stuart R. Berger","BOT","Judge Spec Appeal at Lg","","Y","","276","65"
"03","001","001","Shirley M. Watts","BOT","Judge Spec Appeals","06","Y","","289","55"
"03","001","002","Barack Obama","DEM","President - Vice Pres","","Y","","609",""
"03","001","002","Mitt Romney","REP","President - Vice Pres","","","","223",""
"03","001","002","Gary Johnson","LIB","President - Vice Pres","","","","27",""
"03","001","002","Jill Stein","GRN","President - Vice Pres","","","","25",""
"03","001","002","Tiffany Renee Briscoe","DEM","President - Vice Pres","","","Y","0",""
"03","001","002","Dennis Knill","DEM","President - Vice Pres","","","Y","0",""
"03","001","002","Matthew Lydick","REP","President - Vice Pres","","","Y","0",""
"03","001","002","Barbara A. Prokopich","REP","President - Vice Pres","","","Y","0",""
"03","001","002","Santa Claus","IND","President - Vice Pres","","","Y","1",""
"03","001","002","Richard Duncan","IND","President - Vice Pres","","","Y","0",""
"03","001","002","Bruce Mlynski","IND","President - Vice Pres","","","Y","0",""
"03","001","002","Kevin M. Thorne","IND","President - Vice Pres","","","Y","0",""
"03","001","002","James Clymer","CON","President - Vice Pres","","","Y","0",""
"03","001","002","Virgil Goode","CON","President - Vice Pres","","","Y","0",""
"03","001","002","Ross C. Rocky Anderson","OTH","President - Vice Pres","","","Y","1",""
"03","001","002","Andre Barnett","OTH","President - Vice Pres","","","Y","0",""
"03","001","002","Roseanne Barr","OTH","President - Vice Pres","","","Y","0",""
"03","001","002","Will Christensen","OTH","President - Vice Pres","","","Y","0",""
"03","001","002","Stephen Durham","OTH","President - Vice Pres","","","Y","0",""
"03","001","002","Merlin Miller","OTH","President - Vice Pres","","","Y","0",""
"03","001","002","Leon Leo Ray","OTH","President - Vice Pres","","","Y","0",""
"03","001","002","Michael David Boyles","UNF","President - Vice Pres","","","Y","0",""
"03","001","002","Theodis (Ted) Brown, Sr.","UNF","President - Vice Pres","","","Y","0",""
"03","001","002","Paul Chehade","UNF","President - Vice Pres","","","Y","0",""
"03","001","002","David M. Crosby","UNF","President - Vice Pres","","","Y","0",""
"03","001","002","Fred Donald Dickson, Jr.","UNF","President - Vice Pres","","","Y","0",""
"03","001","002","Robert William Dietz","UNF","President - Vice Pres","","","Y","0",""
"03","001","002","Dwight Kenneth French","UNF","President - Vice Pres","","","Y","0",""
"03","001","002","Darrell Hykes","UNF","President - Vice Pres","","","Y","0",""
"03","001","002","Nelson Keyton","UNF","President - Vice Pres","","","Y","0",""
"03","001","002","Dean Morstad","UNF","President - Vice Pres","","","Y","0",""
"03","001","002","Deonia Neveu","UNF","President - Vice Pres","","","Y","0",""
"03","001","002","Terrance James O'Hara","UNF","President - Vice Pres","","","Y","0",""
"03","001","002","Jill Reed","UNF","President - Vice Pres","","","Y","0",""
"03","001","002","Cecil James Roth","UNF","President - Vice Pres","","","Y","0",""
"03","001","002","Sheila Tittle","UNF","President - Vice Pres","","","Y","0",""
"03","001","002","Other Write-Ins","BOT","President - Vice Pres","","","Y","6",""
"03","001","002","Ben Cardin","DEM","U.S. Senator           ","","Y","","536",""
"03","001","002","Daniel John Bongino","REP","U.S. Senator           ","","","","116",""
"03","001","002","Dean Ahmad","LIB","U.S. Senator           ","","","","22",""
"03","001","002","S. Rob Sobhani","UNF","U.S. Senator           ","","","","181",""
"03","001","002","Lih Young","DEM","U.S. Senator           ","","","Y","0",""
"03","001","002","Mary Podlesak","REP","U.S. Senator           ","","","Y","0",""
"03","001","002","Brandy Baker","UNF","U.S. Senator           ","","","Y","1",""
"03","001","002","Ed Tinus","UNF","U.S. Senator           ","","","Y","0",""
"03","001","002","Other Write-Ins","BOT","U.S. Senator           ","","","Y","4",""
"03","001","002","John Sarbanes","DEM","U.S. Congress","03","Y","","636",""
"03","001","002","Eric Delano Knowles","REP","U.S. Congress","03","","","155",""
"03","001","002","Paul W. Drgos, Jr.","LIB","U.S. Congress","03","","","47",""
"03","001","002","Other Write-Ins","BOT","U.S. Congress","03","","Y","6",""
"03","001","002","Kendra Y. Ausby","BOT","Judge Circuit Court","08","Y","","426",""
"03","001","002","Jeannie J. Hong","BOT","Judge Circuit Court","08","Y","","432",""
"03","001","002","Charles J. Peters","BOT","Judge Circuit Court","08","Y","","407",""
"03","001","002","Michael W. Reed","BOT","Judge Circuit Court","08","Y","","416",""
"03","001","002","Yolanda A. Tanner","BOT","Judge Circuit Court","08","Y","","417",""
"03","001","002","David W. Young","BOT","Judge Circuit Court","08","Y","","413",""
"03","001","002","Other Write-Ins","BOT","Judge Circuit Court","08","","Y","31",""
"03","001","002","Robert M. Bell","BOT","Appellate Judge","06","Y","","526","99"
"03","001","002","Stuart R. Berger","BOT","Judge Spec Appeal at Lg","","Y","","528","91"
"03","001","002","Shirley M. Watts","BOT","Judge Spec Appeals","06","Y","","517","102"
"03","001","003","Barack Obama","DEM","President - Vice Pres","","Y","","409",""
"03","001","003","Mitt Romney","REP","President - Vice Pres","","","","286",""
"03","001","003","Gary Johnson","LIB","President - Vice Pres","","","","15",""
"03","001","003","Jill Stein","GRN","President - Vice Pres","","","","5",""
"03","001","003","Tiffany Renee Briscoe","DEM","President - Vice Pres","","","Y","0",""
"03","001","003","Dennis Knill","DEM","President - Vice Pres","","","Y","0",""
"03","001","003","Matthew Lydick","REP","President - Vice Pres","","","Y","0",""
"03","001","003","Barbara A. Prokopich","REP","President - Vice Pres","","","Y","0",""
"03","001","003","Santa Claus","IND","President - Vice Pres","","","Y","1",""
"03","001","003","Richard Duncan","IND","President - Vice Pres","","","Y","0",""
"03","001","003","Bruce Mlynski","IND","President - Vice Pres","","","Y","0",""
"03","001","003","Kevin M. Thorne","IND","President - Vice Pres","","","Y","0",""
"03","001","003","James Clymer","CON","President - Vice Pres","","","Y","0",""
"03","001","003","Virgil Goode","CON","President - Vice Pres","","","Y","0",""
"03","001","003","Ross C. Rocky Anderson","OTH","President - Vice Pres","","","Y","0",""
"03","001","003","Andre Barnett","OTH","President - Vice Pres","","","Y","0",""
"03","001","003","Roseanne Barr","OTH","President - Vice Pres","","","Y","0",""
"03","001","003","Will Christensen","OTH","President - Vice Pres","","","Y","0",""
"03","001","003","Stephen Durham","OTH","President - Vice Pres","","","Y","0",""
"03","001","003","Merlin Miller","OTH","President - Vice Pres","","","Y","0",""
"03","001","003","Leon Leo Ray","OTH","President - Vice Pres","","","Y","0",""
"03","001","003","Michael David Boyles","UNF","President - Vice Pres","","","Y","0",""
"03","001","003","Theodis (Ted) Brown, Sr.","UNF","President - Vice Pres","","","Y","0",""
"03","001","003","Paul Chehade","UNF","President - Vice Pres","","","Y","0",""
"03","001","003","David M. Crosby","UNF","President - Vice Pres","","","Y","0",""
"03","001","003","Fred Donald Dickson, Jr.","UNF","President - Vice Pres","","","Y","0",""
"03","001","003","Robert William Dietz","UNF","President - Vice Pres","","","Y","0",""
"03","001","003","Dwight Kenneth French","UNF","President - Vice Pres","","","Y","0",""
"03","001","003","Darrell Hykes","UNF","President - Vice Pres","","","Y","0",""
"03","001","003","Nelson Keyton","UNF","President - Vice Pres","","","Y","0",""
"03","001","003","Dean Morstad","UNF","President - Vice Pres","","","Y","0",""
"03","001","003","Deonia Neveu","UNF","President - Vice Pres","","","Y","0",""
"03","001","003","Terrance James O'Hara","UNF","President - Vice Pres","","","Y","0",""
"03","001","003","Jill Reed","UNF","President - Vice Pres","","","Y","0",""
"03","001","003","Cecil James Roth","UNF","President - Vice Pres","","","Y","0",""
"03","001","003","Sheila Tittle","UNF","President - Vice Pres","","","Y","0",""
"03","001","003","Other Write-Ins","BOT","President - Vice Pres","","","Y","3",""
"03","001","003","Ben Cardin","DEM","U.S. Senator           ","","Y","","338",""
"03","001","003","Daniel John Bongino","REP","U.S. Senator           ","","","","176",""
"03","001","003","Dean Ahmad","LIB","U.S. Senator           ","","","","17",""
"03","001","003","S. Rob Sobhani","UNF","U.S. Senator           ","","","","172",""
"03","001","003","Lih Young","DEM","U.S. Senator           ","","","Y","0",""
"03","001","003","Mary Podlesak","REP","U.S. Senator           ","","","Y","0",""
"03","001","003","Brandy Baker","UNF","U.S. Senator           ","","","Y","0",""
"03","001","003","Ed Tinus","UNF","U.S. Senator           ","","","Y","0",""
"03","001","003","Other Write-Ins","BOT","U.S. Senator           ","","","Y","1",""
"03","001","003","John Sarbanes","DEM","U.S. Congress","03","Y","","421",""
"03","001","003","Eric Delano Knowles","REP","U.S. Congress","03","","","223",""
"03","001","003","Paul W. Drgos, Jr.","LIB","U.S. Congress","03","","","41",""
"03","001","003","Other Write-Ins","BOT","U.S. Congress","03","","Y","0",""
"03","001","003","Kendra Y. Ausby","BOT","Judge Circuit Court","08","Y","","357",""
"03","001","003","Jeannie J. Hong","BOT","Judge Circuit Court","08","Y","","368",""
"03","001","003","Charles J. Peters","BOT","Judge Circuit Court","08","Y","","359",""
"03","001","003","Michael W. Reed","BOT","Judge Circuit Court","08","Y","","367",""
"03","001","003","Yolanda A. Tanner","BOT","Judge Circuit Court","08","Y","","349",""
"03","001","003","David W. Young","BOT","Judge Circuit Court","08","Y","","352",""
"03","001","003","Other Write-Ins","BOT","Judge Circuit Court","08","","Y","17",""
"03","001","003","Robert M. Bell","BOT","Appellate Judge","06","Y","","418","105"
"03","001","003","Stuart R. Berger","BOT","Judge Spec Appeal at Lg","","Y","","418","88"
"03","001","003","Shirley M. Watts","BOT","Judge Spec Appeals","06","Y","","419","89"
"03","001","004","Barack Obama","DEM","President - Vice Pres","","Y","","516",""
"03","001","004","Mitt Romney","REP","President - Vice Pres","","","","339",""
"03","001","004","Gary Johnson","LIB","President - Vice Pres","","","","24",""
"03","001","004","Jill Stein","GRN","President - Vice Pres","","","","4",""
"03","001","004","Tiffany Renee Briscoe","DEM","President - Vice Pres","","","Y","0",""
"03","001","004","Dennis Knill","DEM","President - Vice Pres","","","Y","0",""
"03","001","004","Matthew Lydick","REP","President - Vice Pres","","","Y","0",""
"03","001","004","Barbara A. Prokopich","REP","President - Vice Pres","","","Y","0",""
"03","001","004","Santa Claus","IND","President - Vice Pres","","","Y","0",""
"03","001","004","Richard Duncan","IND","President - Vice Pres","","","Y","0",""
"03","001","004","Bruce Mlynski","IND","President - Vice Pres","","","Y","0",""
"03","001","004","Kevin M. Thorne","IND","President - Vice Pres","","","Y","0",""
"03","001","004","James Clymer","CON","President - Vice Pres","","","Y","0",""
"03","001","004","Virgil Goode","CON","President - Vice Pres","","","Y","0",""
"03","001","004","Ross C. Rocky Anderson","OTH","President - Vice Pres","","","Y","0",""
"03","001","004","Andre Barnett","OTH","President - Vice Pres","","","Y","0",""
"03","001","004","Roseanne Barr","OTH","President - Vice Pres","","","Y","0",""
"03","001","004","Will Christensen","OTH","President - Vice Pres","","","Y","0",""
"03","001","004","Stephen Durham","OTH","President - Vice Pres","","","Y","0",""
"03","001","004","Merlin Miller","OTH","President - Vice Pres","","","Y","0",""
"03","001","004","Leon Leo Ray","OTH","President - Vice Pres","","","Y","0",""
"03","001","004","Michael David Boyles","UNF","President - Vice Pres","","","Y","0",""
"03","001","004","Theodis (Ted) Brown, Sr.","UNF","President - Vice Pres","","","Y","0",""
