"Candidate Name","Party","Office Name","Office District","Winner","Write-In?","Election Night Votes","Election Night Votes Against","Absentees Votes","Absentees Votes Against","Provisional Votes","Provisional Votes Against","2nd Absentees Votes","2nd Absentees Votes Against","Total Votes","Total Votes Against"
"Barack Obama","DEM","President - Vice Pres","","Y","","160263","","7818","","10422","","911","","221478",""
"Mitt Romney","REP","President - Vice Pres","","","","22848","","1584","","685","","241","","28171",""
"Gary Johnson","LIB","President - Vice Pres","","","","1620","","73","","68","","14","","1924",""
"Jill Stein","GRN","President - Vice Pres","","","","1403","","79","","38","","25","","1737",""
"Tiffany Renee Briscoe","DEM","President - Vice Pres","","","Y","2","0","0","","0","","0","","3",""
"Dennis Knill","DEM","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Matthew Lydick","REP","President - Vice Pres","","","Y","2","0","0","","0","","0","","2",""
"Barbara A. Prokopich","REP","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Santa Claus","IND","President - Vice Pres","","","Y","35","0","0","","0","","0","","38",""
"Richard Duncan","IND","President - Vice Pres","","","Y","1","0","0","","0","","0","","2",""
"Bruce Mlynski","IND","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Kevin M. Thorne","IND","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"James Clymer","CON","President - Vice Pres","","","Y","3","0","0","","0","","0","","3",""
"Virgil Goode","CON","President - Vice Pres","","","Y","17","0","1","","3","","0","","21",""
"Ross C. Rocky Anderson","OTH","President - Vice Pres","","","Y","24","0","0","","0","","0","","27",""
"Andre Barnett","OTH","President - Vice Pres","","","Y","5","0","0","","0","","0","","5",""
"Roseanne Barr","OTH","President - Vice Pres","","","Y","4","0","0","","1","","0","","8",""
"Will Christensen","OTH","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Stephen Durham","OTH","President - Vice Pres","","","Y","2","0","0","","1","","0","","5",""
"Merlin Miller","OTH","President - Vice Pres","","","Y","3","0","0","","0","","0","","3",""
"Leon Leo Ray","OTH","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Michael David Boyles","UNF","President - Vice Pres","","","Y","1","0","0","","0","","0","","1",""
"Theodis (Ted) Brown, Sr.","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Paul Chehade","UNF","President - Vice Pres","","","Y","1","0","0","","0","","0","","2",""
"David M. Crosby","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Fred Donald Dickson, Jr.","UNF","President - Vice Pres","","","Y","1","0","0","","0","","0","","2",""
"Robert William Dietz","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Dwight Kenneth French","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Darrell Hykes","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Nelson Keyton","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Dean Morstad","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Deonia Neveu","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Terrance James O'Hara","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0",""
"Jill Reed","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Cecil James Roth","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Sheila Tittle","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Other Write-Ins","BOT","President - Vice Pres","","","Y","460","0","16","","21","","7","","573",""
"Ben Cardin","DEM","U.S. Senator           ","","Y","","135683","","7607","","8777","","884","","189128",""
"Daniel John Bongino","REP","U.S. Senator           ","","","","13396","","932","","486","","121","","16931",""
"Dean Ahmad","LIB","U.S. Senator           ","","","","2334","","90","","122","","26","","2930",""
"S. Rob Sobhani","UNF","U.S. Senator           ","","","","28019","","655","","1329","","73","","35724",""
"Lih Young","DEM","U.S. Senator           ","","","Y","14","0","0","","0","","0","","26",""
"Mary Podlesak","REP","U.S. Senator           ","","","Y","0","0","0","","0","","0","","0",""
"Brandy Baker","UNF","U.S. Senator           ","","","Y","24","0","0","","0","","2","","31",""
"Ed Tinus","UNF","U.S. Senator           ","","","Y","1","0","0","","0","","0","","1",""
"Other Write-Ins","BOT","U.S. Senator           ","","","Y","170","0","4","","15","","4","","232",""
"C. A. Dutch Ruppersberger","DEM","U.S. Congress","02","Y","","17081","","570","","862","","65","","23433",""
"Nancy C. Jacobs","REP","U.S. Congress","02","","","2198","","103","","64","","7","","2685",""
"Leo Wayne Dymowski","LIB","U.S. Congress","02","","","462","","18","","24","","0","","594",""
"Ray Bly","REP","U.S. Congress","02","","Y","0","0","0","","0","","0","","0",""
"Other Write-Ins","BOT","U.S. Congress","02","","Y","20","0","1","","1","","0","","27",""
"John Sarbanes","DEM","U.S. Congress","03","Y","","38568","","2682","","1151","","335","","51098",""
