"Vote Type (FOR=1,AGAINST=2)","Candidate Name","Party","Office Name","Office District","Winner","Write-In?", CONC 012,CONC 005,CONC 004,CONC 008,CONC 013,CONC 010,CONC 006,CONC 002,CONC 011,CONC 007,CONC 009,CONC 001,CONC 003,CONC 014
1,"Barack Obama",DEM,President - Vice Pres,,Y,,12469,9233,12569,12403,11932,8720,12524,9839,12588,13582,12726,8370,11196,12112
1,"Mitt Romney",REP,President - Vice Pres,,,,451,3867,1343,525,560,1738,622,1380,3567,766,280,4000,2269,1480
1,"Gary Johnson",LIB,President - Vice Pres,,,,86,95,89,44,54,101,53,69,316,92,27,308,133,153
1,"Jill Stein",GRN,President - Vice Pres,,,,170,82,89,45,40,75,46,32,166,102,42,153,132,229
1,"Tiffany Renee Briscoe",DEM,President - Vice Pres,,,Y,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1,"Dennis Knill",DEM,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Matthew Lydick",REP,President - Vice Pres,,,Y,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,"Barbara A. Prokopich",REP,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Santa Claus",IND,President - Vice Pres,,,Y,1,0,4,1,0,1,1,2,4,5,1,4,6,5
1,"Richard Duncan",IND,President - Vice Pres,,,Y,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,"Bruce Mlynski",IND,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Kevin M. Thorne",IND,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"James Clymer",CON,President - Vice Pres,,,Y,0,0,0,0,0,1,0,0,1,0,0,0,1,0
1,"Virgil Goode",CON,President - Vice Pres,,,Y,3,5,2,2,0,1,0,0,1,0,0,1,1,1
1,"Ross C. Rocky Anderson",OTH,President - Vice Pres,,,Y,3,0,0,0,1,1,0,0,3,2,1,4,1,8
1,"Andre Barnett",OTH,President - Vice Pres,,,Y,1,0,1,0,0,0,0,0,0,0,0,0,0,3
1,"Roseanne Barr",OTH,President - Vice Pres,,,Y,1,0,0,0,1,0,0,1,0,0,0,1,0,0
1,"Will Christensen",OTH,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Stephen Durham",OTH,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,"Merlin Miller",OTH,President - Vice Pres,,,Y,1,0,0,0,1,0,1,0,0,0,0,0,0,0
1,"Leon Leo Ray",OTH,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Michael David Boyles",UNF,President - Vice Pres,,,Y,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,"Theodis (Ted) Brown, Sr.",UNF,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Paul Chehade",UNF,President - Vice Pres,,,Y,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,"David M. Crosby",UNF,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Fred Donald Dickson, Jr.",UNF,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,"Robert William Dietz",UNF,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Dwight Kenneth French",UNF,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Darrell Hykes",UNF,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0
