"Candidate Name","Party","Office Name","Office District","Winner","Write-In?","Election Night Votes","Election Night Votes Against","Absentees Votes","Absentees Votes Against","Provisional Votes","Provisional Votes Against","2nd Absentees Votes","2nd Absentees Votes Against","Total Votes","Total Votes Against"
"Barack Obama","DEM","President - Vice Pres","","Y","","162795","","10168","","6263","","856","","220322",""
"Mitt Romney","REP","President - Vice Pres","","","","129843","","7366","","2238","","372","","154908",""
"Gary Johnson","LIB","President - Vice Pres","","","","4364","","204","","122","","27","","5051",""
"Jill Stein","GRN","President - Vice Pres","","","","2310","","119","","66","","18","","2750",""
"Tiffany Renee Briscoe","DEM","President - Vice Pres","","","Y","1","","0","","0","","0","","2",""
"Dennis Knill","DEM","President - Vice Pres","","","Y","0","","0","","0","","0","","0",""
"Matthew Lydick","REP","President - Vice Pres","","","Y","2","","0","","0","","0","","3",""
"Barbara A. Prokopich","REP","President - Vice Pres","","","Y","0","","0","","0","","0","","0",""
"Santa Claus","IND","President - Vice Pres","","","Y","129","","6","","0","","0","","151",""
"Richard Duncan","IND","President - Vice Pres","","","Y","5","","0","","0","","0","","5",""
"Bruce Mlynski","IND","President - Vice Pres","","","Y","0","","0","","0","","0","","0",""
"Kevin M. Thorne","IND","President - Vice Pres","","","Y","0","","0","","0","","0","","0",""
"James Clymer","CON","President - Vice Pres","","","Y","8","","1","","0","","0","","10",""
"Virgil Goode","CON","President - Vice Pres","","","Y","46","","2","","1","","0","","59",""
"Ross C. Rocky Anderson","OTH","President - Vice Pres","","","Y","21","","1","","1","","0","","25",""
"Andre Barnett","OTH","President - Vice Pres","","","Y","1","","0","","0","","0","","1",""
"Roseanne Barr","OTH","President - Vice Pres","","","Y","9","","0","","0","","0","","9",""
"Will Christensen","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0",""
"Stephen Durham","OTH","President - Vice Pres","","","Y","3","","0","","0","","0","","4",""
"Merlin Miller","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0",""
"Leon Leo Ray","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0",""
"Michael David Boyles","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0",""
"Theodis (Ted) Brown, Sr.","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0",""
"Paul Chehade","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","1",""
"David M. Crosby","UNF","President - Vice Pres","","","Y","2","","0","","0","","0","","2",""
"Fred Donald Dickson, Jr.","UNF","President - Vice Pres","","","Y","1","","1","","0","","0","","2",""
"Robert William Dietz","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0",""
"Dwight Kenneth French","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0",""
"Darrell Hykes","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0",""
"Nelson Keyton","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0",""
"Dean Morstad","UNF","President - Vice Pres","","","Y","1","","0","","0","","0","","1",""
"Deonia Neveu","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0",""
"Terrance James O'Hara","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0",""
"Jill Reed","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0",""
"Cecil James Roth","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0",""
"Sheila Tittle","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0",""
"Other Write-Ins","BOT","President - Vice Pres","","","Y","1266","","49","","46","","9","","1476",""
"Ben Cardin","DEM","U.S. Senator           ","","Y","","144755","","10424","","5459","","804","","198290",""
"Daniel John Bongino","REP","U.S. Senator           ","","","","78301","","4965","","1398","","263","","95297",""
"Dean Ahmad","LIB","U.S. Senator           ","","","","3661","","216","","146","","30","","4434",""
"S. Rob Sobhani","UNF","U.S. Senator           ","","","","67710","","1918","","1472","","138","","78887",""
"Lih Young","DEM","U.S. Senator           ","","","Y","25","","0","","0","","0","","38",""
"Mary Podlesak","REP","U.S. Senator           ","","","Y","6","","0","","0","","0","","6",""
"Brandy Baker","UNF","U.S. Senator           ","","","Y","16","","0","","0","","0","","24",""
"Ed Tinus","UNF","U.S. Senator           ","","","Y","8","","0","","0","","0","","9",""
"Other Write-Ins","BOT","U.S. Senator           ","","","Y","293","","17","","11","","2","","362",""
"Wendy Rosen","DEM","U.S. Congress","01","","","6075","","357","","89","","15","","7917",""
"Andy Harris","REP","U.S. Congress","01","Y","","16070","","687","","171","","13","","19601",""
"Muir Wayne Boda","LIB","U.S. Congress","01","","","809","","48","","12","","1","","998",""
"John LaFerla","DEM","U.S. Congress","01","","Y","445","","28","","1","","1","","635",""
"Michael Calpino","UNF","U.S. Congress","01","","Y","1","","0","","0","","0","","2",""
"Douglas Dryden Rae","UNF","U.S. Congress","01","","Y","0","","0","","0","","0","","0",""
"Other Write-Ins","BOT","U.S. Congress","01","","Y","80","","44","","4","","0","","147",""
"C. A. Dutch Ruppersberger","DEM","U.S. Congress","02","Y","","90769","","4767","","2733","","399","","118867",""
"Nancy C. Jacobs","REP","U.S. Congress","02","","","49128","","2333","","815","","122","","58390",""
"Leo Wayne Dymowski","LIB","U.S. Congress","02","","","4986","","180","","155","","22","","5865",""
"Ray Bly","REP","U.S. Congress","02","","Y","9","","0","","0","","0","","11",""
"Other Write-Ins","BOT","U.S. Congress","02","","Y","224","","5","","5","","1","","269",""
"John Sarbanes","DEM","U.S. Congress","03","Y","","31409","","2646","","687","","90","","39826",""
"Eric Delano Knowles","REP","U.S. Congress","03","","","16783","","1195","","215","","25","","19992",""
"Paul W. Drgos, Jr.","LIB","U.S. Congress","03","","","1885","","87","","40","","4","","2168",""
"Other Write-Ins","BOT","U.S. Congress","03","","Y","86","","7","","0","","1","","102",""
"Elijah Cummings","DEM","U.S. Congress","07","Y","","43877","","3094","","1318","","372","","62091",""
"Frank C. Mirabile","REP","U.S. Congress","07","","","24477","","1704","","309","","140","","29488",""
"Ronald M. Owens-Bey","LIB","U.S. Congress","07","","","2355","","108","","56","","13","","2804",""
"Ty Glen Busch","DEM","U.S. Congress","07","","Y","2","","0","","0","","0","","4",""
"Charles U. Smith","DEM","U.S. Congress","07","","Y","5","","0","","0","","0","","6",""
"Other Write-Ins","BOT","U.S. Congress","07","","Y","105","","3","","1","","0","","122",""
"Nancy M. Purpura","BOT","Judge Circuit Court","03","Y","","223727","","12325","","5829","","923","","285930",""
"Other Write-Ins","BOT","Judge Circuit Court","03","","Y","2192","","157","","67","","19","","2688",""
"Robert N. McDonald","BOT","Appellate Judge","02","Y","","204654","38707","11685","1653","5414","1055","836","127","262923","47763"
"Stuart R. Berger","BOT","Judge Spec Appeal at Lg","","Y","","202690","41245","11506","1756","5633","1169","822","138","260636","50955"
