"Candidate Name","Party","Office Name","Office District","Winner","Write-In?","Election Night Votes","Election Night Votes Against","Absentees Votes","Absentees Votes Against","Provisional Votes","Provisional Votes Against","2nd Absentees Votes","2nd Absentees Votes Against","Total Votes","Total Votes Against"
"Barack Obama","DEM","President - Vice Pres","","Y","","3640","","140","","141","","68","","4970",""
"Mitt Romney","REP","President - Vice Pres","","","","6330","","203","","119","","102","","8098",""
"Gary Johnson","LIB","President - Vice Pres","","","","147","","3","","5","","5","","182",""
"Jill Stein","GRN","President - Vice Pres","","","","57","","0","","1","","1","","64",""
"Tiffany Renee Briscoe","DEM","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Dennis Knill","DEM","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Matthew Lydick","REP","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Barbara A. Prokopich","REP","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Santa Claus","IND","President - Vice Pres","","","Y","1","0","0","","0","","0","","3",""
"Richard Duncan","IND","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Bruce Mlynski","IND","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Kevin M. Thorne","IND","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"James Clymer","CON","President - Vice Pres","","","Y","1","0","0","","0","","0","","1",""
"Virgil Goode","CON","President - Vice Pres","","","Y","1","0","0","","0","","0","","1",""
"Ross C. Rocky Anderson","OTH","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Andre Barnett","OTH","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Roseanne Barr","OTH","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Will Christensen","OTH","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Stephen Durham","OTH","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Merlin Miller","OTH","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Leon Leo Ray","OTH","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Michael David Boyles","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Theodis (Ted) Brown, Sr.","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Paul Chehade","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"David M. Crosby","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Fred Donald Dickson, Jr.","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Robert William Dietz","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Dwight Kenneth French","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Darrell Hykes","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Nelson Keyton","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Dean Morstad","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Deonia Neveu","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Terrance James O'Hara","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0",""
"Jill Reed","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Cecil James Roth","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Sheila Tittle","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Other Write-Ins","BOT","President - Vice Pres","","","Y","34","0","1","","0","","0","","38",""
"Ben Cardin","DEM","U.S. Senator           ","","Y","","3183","","147","","115","","65","","4423",""
"Daniel John Bongino","REP","U.S. Senator           ","","","","4564","","157","","94","","75","","5898",""
"Dean Ahmad","LIB","U.S. Senator           ","","","","92","","4","","4","","3","","122",""
"S. Rob Sobhani","UNF","U.S. Senator           ","","","","2111","","26","","41","","23","","2575",""
"Lih Young","DEM","U.S. Senator           ","","","Y","1","0","0","","0","","0","","1",""
"Mary Podlesak","REP","U.S. Senator           ","","","Y","1","0","0","","0","","0","","1",""
"Brandy Baker","UNF","U.S. Senator           ","","","Y","0","0","0","","0","","0","","0",""
"Ed Tinus","UNF","U.S. Senator           ","","","Y","0","0","0","","0","","0","","0",""
"Other Write-Ins","BOT","U.S. Senator           ","","","Y","12","0","0","","0","","0","","16",""
"Wendy Rosen","DEM","U.S. Congress","01","","","2606","","75","","110","","46","","3404",""
"Andy Harris","REP","U.S. Congress","01","Y","","6319","","205","","124","","98","","8076",""
"Muir Wayne Boda","LIB","U.S. Congress","01","","","419","","18","","7","","6","","549",""
"John LaFerla","DEM","U.S. Congress","01","","Y","376","0","19","","2","","9","","636",""
"Michael Calpino","UNF","U.S. Congress","01","","Y","6","0","0","","0","","0","","8",""
"Douglas Dryden Rae","UNF","U.S. Congress","01","","Y","0","0","0","","0","","0","","0",""
"Other Write-Ins","BOT","U.S. Congress","01","","Y","28","0","2","","0","","0","","42",""
"Stuart R. Berger","BOT","Judge Spec Appeal at Lg","","Y","","7180","1467","218","35","183","40","113","21","9311","1911"
"Louise M. Cheek","NON","Board of Education     ","001","Y","","1980","","36","","39","","22","","2417",""
"Marty J. Gangemi","NON","Board of Education     ","001","","","896","","25","","18","","19","","1114",""
"Other Write-Ins","NON","Board of Education     ","001","","Y","26","","0","","0","","0","","29",""
"Jack Cole","NON","Board of Education     ","002","","","988","","38","","36","","16","","1439",""
"C. Tolbert Rowe","NON","Board of Education     ","002","Y","","1748","","87","","45","","40","","2713",""
"Other Write-Ins","NON","Board of Education     ","002","","Y","22","","0","","0","","0","","30",""
"George Abner","NON","Board of Education     ","003","","","1469","","34","","25","","22","","1727",""
"Jim Newcomb, Jr.","NON","Board of Education     ","003","Y","","1809","","59","","36","","22","","2169",""
"Other Write-Ins","NON","Board of Education     ","003","","Y","9","","1","","0","","0","","17",""
