"County","Election District","Election Precinct","Candidate Name","Party","Office Name","Office District","Winner","Write-In?","Election Night Votes","Election Night Votes Against"
"07","001","001","Barack Obama","DEM","President - Vice Pres","","Y","","1018",""
"07","001","001","Mitt Romney","REP","President - Vice Pres","","","","2272",""
"07","001","001","Gary Johnson","LIB","President - Vice Pres","","","","67",""
"07","001","001","Jill Stein","GRN","President - Vice Pres","","","","31",""
"07","001","001","Tiffany Renee Briscoe","DEM","President - Vice Pres","","","Y","0",""
"07","001","001","Dennis Knill","DEM","President - Vice Pres","","","Y","2",""
"07","001","001","Matthew Lydick","REP","President - Vice Pres","","","Y","0",""
"07","001","001","Barbara A. Prokopich","REP","President - Vice Pres","","","Y","0",""
"07","001","001","Santa Claus","IND","President - Vice Pres","","","Y","1",""
"07","001","001","Richard Duncan","IND","President - Vice Pres","","","Y","0",""
"07","001","001","Bruce Mlynski","IND","President - Vice Pres","","","Y","0",""
"07","001","001","Kevin M. Thorne","IND","President - Vice Pres","","","Y","0",""
"07","001","001","James Clymer","CON","President - Vice Pres","","","Y","0",""
"07","001","001","Virgil Goode","CON","President - Vice Pres","","","Y","0",""
"07","001","001","Ross C. Rocky Anderson","OTH","President - Vice Pres","","","Y","0",""
"07","001","001","Andre Barnett","OTH","President - Vice Pres","","","Y","0",""
"07","001","001","Roseanne Barr","OTH","President - Vice Pres","","","Y","0",""
"07","001","001","Will Christensen","OTH","President - Vice Pres","","","Y","0",""
"07","001","001","Stephen Durham","OTH","President - Vice Pres","","","Y","0",""
"07","001","001","Merlin Miller","OTH","President - Vice Pres","","","Y","0",""
"07","001","001","Leon Leo Ray","OTH","President - Vice Pres","","","Y","0",""
"07","001","001","Michael David Boyles","UNF","President - Vice Pres","","","Y","0",""
"07","001","001","Theodis (Ted) Brown, Sr.","UNF","President - Vice Pres","","","Y","0",""
"07","001","001","Paul Chehade","UNF","President - Vice Pres","","","Y","0",""
"07","001","001","David M. Crosby","UNF","President - Vice Pres","","","Y","0",""
"07","001","001","Fred Donald Dickson, Jr.","UNF","President - Vice Pres","","","Y","0",""
"07","001","001","Robert William Dietz","UNF","President - Vice Pres","","","Y","0",""
"07","001","001","Dwight Kenneth French","UNF","President - Vice Pres","","","Y","0",""
"07","001","001","Darrell Hykes","UNF","President - Vice Pres","","","Y","0",""
"07","001","001","Nelson Keyton","UNF","President - Vice Pres","","","Y","0",""
"07","001","001","Dean Morstad","UNF","President - Vice Pres","","","Y","0",""
"07","001","001","Deonia Neveu","UNF","President - Vice Pres","","","Y","0",""
"07","001","001","Terrance James O'Hara","UNF","President - Vice Pres","","","Y","0",""
"07","001","001","Jill Reed","UNF","President - Vice Pres","","","Y","0",""
"07","001","001","Cecil James Roth","UNF","President - Vice Pres","","","Y","0",""
"07","001","001","Sheila Tittle","UNF","President - Vice Pres","","","Y","0",""
"07","001","001","Other Write-Ins","BOT","President - Vice Pres","","","Y","25",""
"07","001","001","Ben Cardin","DEM","U.S. Senator           ","","Y","","793",""
"07","001","001","Daniel John Bongino","REP","U.S. Senator           ","","","","1674",""
"07","001","001","Dean Ahmad","LIB","U.S. Senator           ","","","","38",""
"07","001","001","S. Rob Sobhani","UNF","U.S. Senator           ","","","","826",""
"07","001","001","Lih Young","DEM","U.S. Senator           ","","","Y","1",""
"07","001","001","Mary Podlesak","REP","U.S. Senator           ","","","Y","0",""
"07","001","001","Brandy Baker","UNF","U.S. Senator           ","","","Y","0",""
"07","001","001","Ed Tinus","UNF","U.S. Senator           ","","","Y","0",""
"07","001","001","Other Write-Ins","BOT","U.S. Senator           ","","","Y","1",""
"07","001","001","Wendy Rosen","DEM","U.S. Congress","01","","","755",""
"07","001","001","Andy Harris","REP","U.S. Congress","01","Y","","2302",""
"07","001","001","Muir Wayne Boda","LIB","U.S. Congress","01","","","106",""
"07","001","001","John LaFerla","DEM","U.S. Congress","01","","Y","2",""
"07","001","001","Michael Calpino","UNF","U.S. Congress","01","","Y","0",""
"07","001","001","Douglas Dryden Rae","UNF","U.S. Congress","01","","Y","0",""
"07","001","001","Other Write-Ins","BOT","U.S. Congress","01","","Y","60",""
"07","001","001","Lynne A. Battaglia","BOT","Appellate Judge","03","Y","","2317","522"
"07","001","001","Stuart R. Berger","BOT","Judge Spec Appeal at Lg","","Y","","2266","548"
"07","001","001","Ginger DiMaggio","NON","Board of Education     ","","","","1200",""
"07","001","001","Jim Doolan","NON","Board of Education     ","","Y","","1358",""
"07","001","001","Cynthia L. Foley","NON","Board of Education     ","","","","1042",""
"07","001","001","Jennifer A. Seidel","NON","Board of Education     ","","Y","","1398",""
"07","001","001","Other Write-Ins","NON","Board of Education     ","","","Y","13",""
"07","002","001","Barack Obama","DEM","President - Vice Pres","","Y","","257",""
"07","002","001","Mitt Romney","REP","President - Vice Pres","","","","650",""
"07","002","001","Gary Johnson","LIB","President - Vice Pres","","","","14",""
"07","002","001","Jill Stein","GRN","President - Vice Pres","","","","8",""
"07","002","001","Tiffany Renee Briscoe","DEM","President - Vice Pres","","","Y","0",""
"07","002","001","Dennis Knill","DEM","President - Vice Pres","","","Y","0",""
"07","002","001","Matthew Lydick","REP","President - Vice Pres","","","Y","0",""
