"Candidate Name","Party","Office Name","Office District","Winner","Write-In?","Election Night Votes","Election Night Votes Against","Absentees Votes","Absentees Votes Against","Provisional Votes","Provisional Votes Against","2nd Absentees Votes","2nd Absentees Votes Against","Total Votes","Total Votes Against"
"Barack Obama","DEM","President - Vice Pres","","Y","","22089","","1270","","379","","223","","27939",""
"Mitt Romney","REP","President - Vice Pres","","","","47784","","1979","","588","","234","","56761",""
"Gary Johnson","LIB","President - Vice Pres","","","","1393","","64","","28","","6","","1614",""
"Jill Stein","GRN","President - Vice Pres","","","","577","","28","","12","","6","","674",""
"Tiffany Renee Briscoe","DEM","President - Vice Pres","","","Y","1","0","0","","0","","0","","1",""
"Dennis Knill","DEM","President - Vice Pres","","","Y","2","0","0","","0","","0","","2",""
"Matthew Lydick","REP","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Barbara A. Prokopich","REP","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Santa Claus","IND","President - Vice Pres","","","Y","29","0","0","","0","","0","","30",""
"Richard Duncan","IND","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Bruce Mlynski","IND","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Kevin M. Thorne","IND","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"James Clymer","CON","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Virgil Goode","CON","President - Vice Pres","","","Y","15","0","0","","0","","0","","17",""
"Ross C. Rocky Anderson","OTH","President - Vice Pres","","","Y","1","0","0","","0","","0","","1",""
"Andre Barnett","OTH","President - Vice Pres","","","Y","1","0","0","","0","","0","","1",""
"Roseanne Barr","OTH","President - Vice Pres","","","Y","1","0","0","","0","","0","","1",""
"Will Christensen","OTH","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Stephen Durham","OTH","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Merlin Miller","OTH","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Leon Leo Ray","OTH","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Michael David Boyles","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Theodis (Ted) Brown, Sr.","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Paul Chehade","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"David M. Crosby","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Fred Donald Dickson, Jr.","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Robert William Dietz","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Dwight Kenneth French","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Darrell Hykes","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Nelson Keyton","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Dean Morstad","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Deonia Neveu","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Terrance James O'Hara","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0",""
"Jill Reed","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Cecil James Roth","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Sheila Tittle","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Other Write-Ins","BOT","President - Vice Pres","","","Y","420","0","15","","12","","5","","495",""
"Ben Cardin","DEM","U.S. Senator           ","","Y","","17567","","1199","","311","","219","","22837",""
"Daniel John Bongino","REP","U.S. Senator           ","","","","34623","","1617","","454","","177","","41795",""
"Dean Ahmad","LIB","U.S. Senator           ","","","","944","","52","","19","","9","","1118",""
"S. Rob Sobhani","UNF","U.S. Senator           ","","","","17451","","391","","188","","42","","19733",""
"Lih Young","DEM","U.S. Senator           ","","","Y","1","0","0","","0","","0","","1",""
"Mary Podlesak","REP","U.S. Senator           ","","","Y","0","0","0","","0","","0","","0",""
"Brandy Baker","UNF","U.S. Senator           ","","","Y","2","0","3","","0","","0","","6",""
"Ed Tinus","UNF","U.S. Senator           ","","","Y","0","0","0","","0","","0","","0",""
"Other Write-Ins","BOT","U.S. Senator           ","","","Y","52","0","2","","0","","1","","59",""
"Wendy Rosen","DEM","U.S. Congress","01","","","5659","","286","","73","","40","","7171",""
"Andy Harris","REP","U.S. Congress","01","Y","","19460","","692","","168","","55","","23111",""
"Muir Wayne Boda","LIB","U.S. Congress","01","","","887","","36","","13","","6","","1038",""
