"County","Election District","Election Precinct","Candidate Name","Party","Office Name","Office District","Winner","Write-In?","Election Night Votes","Election Night Votes Against"
"08","001","001","Barack Obama","DEM","President - Vice Pres","","Y","","778",""
"08","001","001","Mitt Romney","REP","President - Vice Pres","","","","1067",""
"08","001","001","Gary Johnson","LIB","President - Vice Pres","","","","32",""
"08","001","001","Jill Stein","GRN","President - Vice Pres","","","","21",""
"08","001","001","Tiffany Renee Briscoe","DEM","President - Vice Pres","","","Y","0",""
"08","001","001","Dennis Knill","DEM","President - Vice Pres","","","Y","0",""
"08","001","001","Matthew Lydick","REP","President - Vice Pres","","","Y","0",""
"08","001","001","Barbara A. Prokopich","REP","President - Vice Pres","","","Y","0",""
"08","001","001","Santa Claus","IND","President - Vice Pres","","","Y","0",""
"08","001","001","Richard Duncan","IND","President - Vice Pres","","","Y","0",""
"08","001","001","Bruce Mlynski","IND","President - Vice Pres","","","Y","0",""
"08","001","001","Kevin M. Thorne","IND","President - Vice Pres","","","Y","0",""
"08","001","001","James Clymer","CON","President - Vice Pres","","","Y","0",""
"08","001","001","Virgil Goode","CON","President - Vice Pres","","","Y","1",""
"08","001","001","Ross C. Rocky Anderson","OTH","President - Vice Pres","","","Y","0",""
"08","001","001","Andre Barnett","OTH","President - Vice Pres","","","Y","0",""
"08","001","001","Roseanne Barr","OTH","President - Vice Pres","","","Y","0",""
"08","001","001","Will Christensen","OTH","President - Vice Pres","","","Y","0",""
"08","001","001","Stephen Durham","OTH","President - Vice Pres","","","Y","0",""
"08","001","001","Merlin Miller","OTH","President - Vice Pres","","","Y","0",""
"08","001","001","Leon Leo Ray","OTH","President - Vice Pres","","","Y","0",""
"08","001","001","Michael David Boyles","UNF","President - Vice Pres","","","Y","0",""
"08","001","001","Theodis (Ted) Brown, Sr.","UNF","President - Vice Pres","","","Y","0",""
"08","001","001","Paul Chehade","UNF","President - Vice Pres","","","Y","0",""
"08","001","001","David M. Crosby","UNF","President - Vice Pres","","","Y","0",""
"08","001","001","Fred Donald Dickson, Jr.","UNF","President - Vice Pres","","","Y","0",""
"08","001","001","Robert William Dietz","UNF","President - Vice Pres","","","Y","0",""
"08","001","001","Dwight Kenneth French","UNF","President - Vice Pres","","","Y","0",""
"08","001","001","Darrell Hykes","UNF","President - Vice Pres","","","Y","0",""
"08","001","001","Nelson Keyton","UNF","President - Vice Pres","","","Y","0",""
"08","001","001","Dean Morstad","UNF","President - Vice Pres","","","Y","0",""
"08","001","001","Deonia Neveu","UNF","President - Vice Pres","","","Y","0",""
"08","001","001","Terrance James O'Hara","UNF","President - Vice Pres","","","Y","0",""
"08","001","001","Jill Reed","UNF","President - Vice Pres","","","Y","0",""
"08","001","001","Cecil James Roth","UNF","President - Vice Pres","","","Y","0",""
"08","001","001","Sheila Tittle","UNF","President - Vice Pres","","","Y","0",""
"08","001","001","Other Write-Ins","BOT","President - Vice Pres","","","Y","7",""
"08","001","001","Ben Cardin","DEM","U.S. Senator           ","","Y","","642",""
"08","001","001","Daniel John Bongino","REP","U.S. Senator           ","","","","834",""
"08","001","001","Dean Ahmad","LIB","U.S. Senator           ","","","","26",""
