"Vote Type (FOR=1,AGAINST=2)","Candidate Name","Party","Office Name","Office District","Winner","Write-In?", CONC 005,CONC 004,CONC 002,CONC 001,CONC 003
1,"Barack Obama",DEM,President - Vice Pres,,Y,,3997,4015,3930,3805,4360
1,"Mitt Romney",REP,President - Vice Pres,,,,6325,8069,4352,4755,8575
1,"Gary Johnson",LIB,President - Vice Pres,,,,173,214,111,134,220
1,"Jill Stein",GRN,President - Vice Pres,,,,75,96,50,56,87
1,"Tiffany Renee Briscoe",DEM,President - Vice Pres,,,Y,0,0,0,1,0
1,"Dennis Knill",DEM,President - Vice Pres,,,Y,0,0,0,0,0
1,"Matthew Lydick",REP,President - Vice Pres,,,Y,0,0,0,0,0
1,"Barbara A. Prokopich",REP,President - Vice Pres,,,Y,0,0,0,0,0
1,"Santa Claus",IND,President - Vice Pres,,,Y,2,6,2,2,6
1,"Richard Duncan",IND,President - Vice Pres,,,Y,0,0,0,0,0
1,"Bruce Mlynski",IND,President - Vice Pres,,,Y,0,0,0,0,0
1,"Kevin M. Thorne",IND,President - Vice Pres,,,Y,0,0,0,0,0
1,"James Clymer",CON,President - Vice Pres,,,Y,0,0,0,0,0
1,"Virgil Goode",CON,President - Vice Pres,,,Y,6,1,4,2,6
1,"Ross C. Rocky Anderson",OTH,President - Vice Pres,,,Y,2,0,0,2,2
1,"Andre Barnett",OTH,President - Vice Pres,,,Y,0,0,0,0,0
1,"Roseanne Barr",OTH,President - Vice Pres,,,Y,1,0,0,0,0
1,"Will Christensen",OTH,President - Vice Pres,,,Y,0,0,0,0,0
1,"Stephen Durham",OTH,President - Vice Pres,,,Y,0,0,0,0,0
1,"Merlin Miller",OTH,President - Vice Pres,,,Y,0,0,0,0,0
1,"Leon Leo Ray",OTH,President - Vice Pres,,,Y,0,0,0,0,0
1,"Michael David Boyles",UNF,President - Vice Pres,,,Y,0,0,0,0,0
1,"Theodis (Ted) Brown, Sr.",UNF,President - Vice Pres,,,Y,0,0,0,0,0
1,"Paul Chehade",UNF,President - Vice Pres,,,Y,0,0,0,0,0
1,"David M. Crosby",UNF,President - Vice Pres,,,Y,0,0,0,0,0
1,"Fred Donald Dickson, Jr.",UNF,President - Vice Pres,,,Y,0,0,0,0,0
1,"Robert William Dietz",UNF,President - Vice Pres,,,Y,0,0,0,0,0
1,"Dwight Kenneth French",UNF,President - Vice Pres,,,Y,0,0,0,0,0
1,"Darrell Hykes",UNF,President - Vice Pres,,,Y,0,0,0,0,0
1,"Nelson Keyton",UNF,President - Vice Pres,,,Y,0,0,0,0,0
1,"Dean Morstad",UNF,President - Vice Pres,,,Y,0,0,0,0,0
1,"Deonia Neveu",UNF,President - Vice Pres,,,Y,0,0,0,0,0
1,"Terrance James O'Hara",UNF,President - Vice Pres,,,Y,0,0,0,0,0
1,"Jill Reed",UNF,President - Vice Pres,,,Y,0,0,0,0,0
1,"Cecil James Roth",UNF,President - Vice Pres,,,Y,0,0,0,0,0
1,"Sheila Tittle",UNF,President - Vice Pres,,,Y,0,0,0,0,0
1,"Other Write-Ins",BOT,President - Vice Pres,,,Y,30,51,40,29,53
1,"Ben Cardin",DEM,U.S. Senator           ,,Y,,3589,3636,3510,3337,4036
1,"Daniel John Bongino",REP,U.S. Senator           ,,,,4452,5621,3278,3515,6354
1,"Dean Ahmad",LIB,U.S. Senator           ,,,,138,132,123,127,152
1,"S. Rob Sobhani",UNF,U.S. Senator           ,,,,2055,2718,1218,1441,2360
1,"Lih Young",DEM,U.S. Senator           ,,,Y,1,1,0,1,1
1,"Mary Podlesak",REP,U.S. Senator           ,,,Y,0,1,3,0,1
