"County","Election District","Election Precinct","Candidate Name","Party","Office Name","Office District","Winner","Write-In?","Election Night Votes","Election Night Votes Against"
"09","001","001","Barack Obama","DEM","President - Vice Pres","","Y","","1098",""
"09","001","001","Mitt Romney","REP","President - Vice Pres","","","","1056",""
"09","001","001","Gary Johnson","LIB","President - Vice Pres","","","","18",""
"09","001","001","Jill Stein","GRN","President - Vice Pres","","","","8",""
"09","001","001","Tiffany Renee Briscoe","DEM","President - Vice Pres","","","Y","0",""
"09","001","001","Dennis Knill","DEM","President - Vice Pres","","","Y","0",""
"09","001","001","Matthew Lydick","REP","President - Vice Pres","","","Y","0",""
"09","001","001","Barbara A. Prokopich","REP","President - Vice Pres","","","Y","0",""
"09","001","001","Santa Claus","IND","President - Vice Pres","","","Y","0",""
"09","001","001","Richard Duncan","IND","President - Vice Pres","","","Y","0",""
"09","001","001","Bruce Mlynski","IND","President - Vice Pres","","","Y","0",""
"09","001","001","Kevin M. Thorne","IND","President - Vice Pres","","","Y","0",""
"09","001","001","James Clymer","CON","President - Vice Pres","","","Y","0",""
"09","001","001","Virgil Goode","CON","President - Vice Pres","","","Y","0",""
"09","001","001","Ross C. Rocky Anderson","OTH","President - Vice Pres","","","Y","0",""
"09","001","001","Andre Barnett","OTH","President - Vice Pres","","","Y","0",""
"09","001","001","Roseanne Barr","OTH","President - Vice Pres","","","Y","0",""
"09","001","001","Will Christensen","OTH","President - Vice Pres","","","Y","0",""
"09","001","001","Stephen Durham","OTH","President - Vice Pres","","","Y","0",""
"09","001","001","Merlin Miller","OTH","President - Vice Pres","","","Y","1",""
"09","001","001","Leon Leo Ray","OTH","President - Vice Pres","","","Y","0",""
"09","001","001","Michael David Boyles","UNF","President - Vice Pres","","","Y","0",""
"09","001","001","Theodis (Ted) Brown, Sr.","UNF","President - Vice Pres","","","Y","0",""
"09","001","001","Paul Chehade","UNF","President - Vice Pres","","","Y","0",""
"09","001","001","David M. Crosby","UNF","President - Vice Pres","","","Y","0",""
"09","001","001","Fred Donald Dickson, Jr.","UNF","President - Vice Pres","","","Y","0",""
"09","001","001","Robert William Dietz","UNF","President - Vice Pres","","","Y","0",""
"09","001","001","Dwight Kenneth French","UNF","President - Vice Pres","","","Y","0",""
"09","001","001","Darrell Hykes","UNF","President - Vice Pres","","","Y","0",""
"09","001","001","Nelson Keyton","UNF","President - Vice Pres","","","Y","0",""
"09","001","001","Dean Morstad","UNF","President - Vice Pres","","","Y","0",""
"09","001","001","Deonia Neveu","UNF","President - Vice Pres","","","Y","0",""
"09","001","001","Terrance James O'Hara","UNF","President - Vice Pres","","","Y","0",""
"09","001","001","Jill Reed","UNF","President - Vice Pres","","","Y","0",""
"09","001","001","Cecil James Roth","UNF","President - Vice Pres","","","Y","0",""
"09","001","001","Sheila Tittle","UNF","President - Vice Pres","","","Y","0",""
"09","001","001","Other Write-Ins","BOT","President - Vice Pres","","","Y","6",""
"09","001","001","Ben Cardin","DEM","U.S. Senator           ","","Y","","939",""
"09","001","001","Daniel John Bongino","REP","U.S. Senator           ","","","","712",""
"09","001","001","Dean Ahmad","LIB","U.S. Senator           ","","","","23",""
"09","001","001","S. Rob Sobhani","UNF","U.S. Senator           ","","","","448",""
"09","001","001","Lih Young","DEM","U.S. Senator           ","","","Y","0",""
"09","001","001","Mary Podlesak","REP","U.S. Senator           ","","","Y","0",""
"09","001","001","Brandy Baker","UNF","U.S. Senator           ","","","Y","0",""
"09","001","001","Ed Tinus","UNF","U.S. Senator           ","","","Y","0",""
"09","001","001","Other Write-Ins","BOT","U.S. Senator           ","","","Y","1",""
"09","001","001","Steny H. Hoyer","DEM","U.S. Congress","05","Y","","1230",""
"09","001","001","Tony O'Donnell","REP","U.S. Congress","05","","","852",""
"09","001","001","Arvin Vohra","LIB","U.S. Congress","05","","","21",""
"09","001","001","Bob Auerbach","GRN","U.S. Congress","05","","","30",""
"09","001","001","Other Write-Ins","BOT","U.S. Congress","05","","Y","2",""
"09","001","001","Stuart R. Berger","BOT","Judge Spec Appeal at Lg","","Y","","1650","223"
"09","001","002","Barack Obama","DEM","President - Vice Pres","","Y","","551",""
"09","001","002","Mitt Romney","REP","President - Vice Pres","","","","944",""
"09","001","002","Gary Johnson","LIB","President - Vice Pres","","","","25",""
"09","001","002","Jill Stein","GRN","President - Vice Pres","","","","7",""
"09","001","002","Tiffany Renee Briscoe","DEM","President - Vice Pres","","","Y","0",""
"09","001","002","Dennis Knill","DEM","President - Vice Pres","","","Y","0",""
"09","001","002","Matthew Lydick","REP","President - Vice Pres","","","Y","0",""
"09","001","002","Barbara A. Prokopich","REP","President - Vice Pres","","","Y","0",""
"09","001","002","Santa Claus","IND","President - Vice Pres","","","Y","0",""
"09","001","002","Richard Duncan","IND","President - Vice Pres","","","Y","0",""
"09","001","002","Bruce Mlynski","IND","President - Vice Pres","","","Y","0",""
"09","001","002","Kevin M. Thorne","IND","President - Vice Pres","","","Y","0",""
"09","001","002","James Clymer","CON","President - Vice Pres","","","Y","0",""
"09","001","002","Virgil Goode","CON","President - Vice Pres","","","Y","2",""
"09","001","002","Ross C. Rocky Anderson","OTH","President - Vice Pres","","","Y","0",""
"09","001","002","Andre Barnett","OTH","President - Vice Pres","","","Y","0",""
"09","001","002","Roseanne Barr","OTH","President - Vice Pres","","","Y","0",""
"09","001","002","Will Christensen","OTH","President - Vice Pres","","","Y","0",""
"09","001","002","Stephen Durham","OTH","President - Vice Pres","","","Y","0",""
"09","001","002","Merlin Miller","OTH","President - Vice Pres","","","Y","0",""
"09","001","002","Leon Leo Ray","OTH","President - Vice Pres","","","Y","0",""
"09","001","002","Michael David Boyles","UNF","President - Vice Pres","","","Y","0",""
"09","001","002","Theodis (Ted) Brown, Sr.","UNF","President - Vice Pres","","","Y","0",""
"09","001","002","Paul Chehade","UNF","President - Vice Pres","","","Y","0",""
"09","001","002","David M. Crosby","UNF","President - Vice Pres","","","Y","0",""
"09","001","002","Fred Donald Dickson, Jr.","UNF","President - Vice Pres","","","Y","0",""
"09","001","002","Robert William Dietz","UNF","President - Vice Pres","","","Y","0",""
"09","001","002","Dwight Kenneth French","UNF","President - Vice Pres","","","Y","0",""
"09","001","002","Darrell Hykes","UNF","President - Vice Pres","","","Y","0",""
"09","001","002","Nelson Keyton","UNF","President - Vice Pres","","","Y","0",""
"09","001","002","Dean Morstad","UNF","President - Vice Pres","","","Y","0",""
"09","001","002","Deonia Neveu","UNF","President - Vice Pres","","","Y","0",""
"09","001","002","Terrance James O'Hara","UNF","President - Vice Pres","","","Y","0",""
"09","001","002","Jill Reed","UNF","President - Vice Pres","","","Y","0",""
"09","001","002","Cecil James Roth","UNF","President - Vice Pres","","","Y","0",""
"09","001","002","Sheila Tittle","UNF","President - Vice Pres","","","Y","0",""
"09","001","002","Other Write-Ins","BOT","President - Vice Pres","","","Y","1",""
"09","001","002","Ben Cardin","DEM","U.S. Senator           ","","Y","","493",""
"09","001","002","Daniel John Bongino","REP","U.S. Senator           ","","","","638",""
"09","001","002","Dean Ahmad","LIB","U.S. Senator           ","","","","17",""
"09","001","002","S. Rob Sobhani","UNF","U.S. Senator           ","","","","348",""
"09","001","002","Lih Young","DEM","U.S. Senator           ","","","Y","0",""
"09","001","002","Mary Podlesak","REP","U.S. Senator           ","","","Y","0",""
"09","001","002","Brandy Baker","UNF","U.S. Senator           ","","","Y","0",""
"09","001","002","Ed Tinus","UNF","U.S. Senator           ","","","Y","0",""
"09","001","002","Other Write-Ins","BOT","U.S. Senator           ","","","Y","2",""
"09","001","002","Steny H. Hoyer","DEM","U.S. Congress","05","Y","","689",""
"09","001","002","Tony O'Donnell","REP","U.S. Congress","05","","","767",""
"09","001","002","Arvin Vohra","LIB","U.S. Congress","05","","","21",""
"09","001","002","Bob Auerbach","GRN","U.S. Congress","05","","","23",""
"09","001","002","Other Write-Ins","BOT","U.S. Congress","05","","Y","1",""
"09","001","002","Stuart R. Berger","BOT","Judge Spec Appeal at Lg","","Y","","1067","230"
"09","001","003","Barack Obama","DEM","President - Vice Pres","","Y","","518",""
"09","001","003","Mitt Romney","REP","President - Vice Pres","","","","554",""
"09","001","003","Gary Johnson","LIB","President - Vice Pres","","","","18",""
"09","001","003","Jill Stein","GRN","President - Vice Pres","","","","8",""
"09","001","003","Tiffany Renee Briscoe","DEM","President - Vice Pres","","","Y","0",""
"09","001","003","Dennis Knill","DEM","President - Vice Pres","","","Y","0",""
"09","001","003","Matthew Lydick","REP","President - Vice Pres","","","Y","0",""
"09","001","003","Barbara A. Prokopich","REP","President - Vice Pres","","","Y","0",""
"09","001","003","Santa Claus","IND","President - Vice Pres","","","Y","0",""
"09","001","003","Richard Duncan","IND","President - Vice Pres","","","Y","0",""
"09","001","003","Bruce Mlynski","IND","President - Vice Pres","","","Y","0",""
"09","001","003","Kevin M. Thorne","IND","President - Vice Pres","","","Y","0",""
"09","001","003","James Clymer","CON","President - Vice Pres","","","Y","0",""
"09","001","003","Virgil Goode","CON","President - Vice Pres","","","Y","0",""
"09","001","003","Ross C. Rocky Anderson","OTH","President - Vice Pres","","","Y","0",""
"09","001","003","Andre Barnett","OTH","President - Vice Pres","","","Y","0",""
"09","001","003","Roseanne Barr","OTH","President - Vice Pres","","","Y","0",""
"09","001","003","Will Christensen","OTH","President - Vice Pres","","","Y","0",""
"09","001","003","Stephen Durham","OTH","President - Vice Pres","","","Y","0",""
"09","001","003","Merlin Miller","OTH","President - Vice Pres","","","Y","0",""
"09","001","003","Leon Leo Ray","OTH","President - Vice Pres","","","Y","0",""
"09","001","003","Michael David Boyles","UNF","President - Vice Pres","","","Y","0",""
"09","001","003","Theodis (Ted) Brown, Sr.","UNF","President - Vice Pres","","","Y","0",""
"09","001","003","Paul Chehade","UNF","President - Vice Pres","","","Y","0",""
"09","001","003","David M. Crosby","UNF","President - Vice Pres","","","Y","0",""
"09","001","003","Fred Donald Dickson, Jr.","UNF","President - Vice Pres","","","Y","0",""
"09","001","003","Robert William Dietz","UNF","President - Vice Pres","","","Y","0",""
"09","001","003","Dwight Kenneth French","UNF","President - Vice Pres","","","Y","0",""
"09","001","003","Darrell Hykes","UNF","President - Vice Pres","","","Y","0",""
"09","001","003","Nelson Keyton","UNF","President - Vice Pres","","","Y","0",""
"09","001","003","Dean Morstad","UNF","President - Vice Pres","","","Y","0",""
"09","001","003","Deonia Neveu","UNF","President - Vice Pres","","","Y","0",""
"09","001","003","Terrance James O'Hara","UNF","President - Vice Pres","","","Y","0",""
"09","001","003","Jill Reed","UNF","President - Vice Pres","","","Y","0",""
"09","001","003","Cecil James Roth","UNF","President - Vice Pres","","","Y","0",""
"09","001","003","Sheila Tittle","UNF","President - Vice Pres","","","Y","0",""
"09","001","003","Other Write-Ins","BOT","President - Vice Pres","","","Y","2",""
"09","001","003","Ben Cardin","DEM","U.S. Senator           ","","Y","","428",""
"09","001","003","Daniel John Bongino","REP","U.S. Senator           ","","","","372",""
"09","001","003","Dean Ahmad","LIB","U.S. Senator           ","","","","10",""
"09","001","003","S. Rob Sobhani","UNF","U.S. Senator           ","","","","248",""
"09","001","003","Lih Young","DEM","U.S. Senator           ","","","Y","0",""
"09","001","003","Mary Podlesak","REP","U.S. Senator           ","","","Y","0",""
"09","001","003","Brandy Baker","UNF","U.S. Senator           ","","","Y","0",""
"09","001","003","Ed Tinus","UNF","U.S. Senator           ","","","Y","0",""
"09","001","003","Other Write-Ins","BOT","U.S. Senator           ","","","Y","0",""
"09","001","003","Steny H. Hoyer","DEM","U.S. Congress","05","Y","","594",""
"09","001","003","Tony O'Donnell","REP","U.S. Congress","05","","","442",""
"09","001","003","Arvin Vohra","LIB","U.S. Congress","05","","","15",""
"09","001","003","Bob Auerbach","GRN","U.S. Congress","05","","","15",""
"09","001","003","Other Write-Ins","BOT","U.S. Congress","05","","Y","0",""
"09","001","003","Stuart R. Berger","BOT","Judge Spec Appeal at Lg","","Y","","788","137"
"09","001","004","Barack Obama","DEM","President - Vice Pres","","Y","","511",""
"09","001","004","Mitt Romney","REP","President - Vice Pres","","","","747",""
"09","001","004","Gary Johnson","LIB","President - Vice Pres","","","","14",""
"09","001","004","Jill Stein","GRN","President - Vice Pres","","","","8",""
"09","001","004","Tiffany Renee Briscoe","DEM","President - Vice Pres","","","Y","0",""
"09","001","004","Dennis Knill","DEM","President - Vice Pres","","","Y","0",""
"09","001","004","Matthew Lydick","REP","President - Vice Pres","","","Y","0",""
"09","001","004","Barbara A. Prokopich","REP","President - Vice Pres","","","Y","0",""
