"Candidate Name","Party","Office Name","Office District","Winner","Write-In?","Election Night Votes","Election Night Votes Against","Absentees Votes","Absentees Votes Against","Provisional Votes","Provisional Votes Against","2nd Absentees Votes","2nd Absentees Votes Against","Total Votes","Total Votes Against"
"Barack Obama","DEM","President - Vice Pres","","Y","","36330","","1407","","1185","","561","","48774",""
"Mitt Romney","REP","President - Vice Pres","","","","21061","","932","","330","","279","","25178",""
"Gary Johnson","LIB","President - Vice Pres","","","","563","","23","","15","","14","","657",""
"Jill Stein","GRN","President - Vice Pres","","","","277","","14","","8","","6","","332",""
"Tiffany Renee Briscoe","DEM","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Dennis Knill","DEM","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Matthew Lydick","REP","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Barbara A. Prokopich","REP","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Santa Claus","IND","President - Vice Pres","","","Y","9","0","0","","0","","0","","10",""
"Richard Duncan","IND","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Bruce Mlynski","IND","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Kevin M. Thorne","IND","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"James Clymer","CON","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Virgil Goode","CON","President - Vice Pres","","","Y","12","0","0","","0","","1","","15",""
"Ross C. Rocky Anderson","OTH","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Andre Barnett","OTH","President - Vice Pres","","","Y","0","0","0","","0","","0","","1",""
"Roseanne Barr","OTH","President - Vice Pres","","","Y","2","0","0","","0","","0","","2",""
"Will Christensen","OTH","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Stephen Durham","OTH","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Merlin Miller","OTH","President - Vice Pres","","","Y","2","0","0","","0","","0","","2",""
"Leon Leo Ray","OTH","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Michael David Boyles","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Theodis (Ted) Brown, Sr.","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Paul Chehade","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"David M. Crosby","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Fred Donald Dickson, Jr.","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Robert William Dietz","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Dwight Kenneth French","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Darrell Hykes","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Nelson Keyton","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Dean Morstad","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Deonia Neveu","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Terrance James O'Hara","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0",""
"Jill Reed","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Cecil James Roth","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Sheila Tittle","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Other Write-Ins","BOT","President - Vice Pres","","","Y","215","0","5","","5","","6","","251",""
"Ben Cardin","DEM","U.S. Senator           ","","Y","","31282","","1321","","1017","","495","","42638",""
"Daniel John Bongino","REP","U.S. Senator           ","","","","13673","","727","","237","","230","","16752",""
"Dean Ahmad","LIB","U.S. Senator           ","","","","592","","24","","18","","23","","721",""
"S. Rob Sobhani","UNF","U.S. Senator           ","","","","11204","","238","","217","","88","","13036",""
"Lih Young","DEM","U.S. Senator           ","","","Y","1","0","0","","0","","0","","1",""
"Mary Podlesak","REP","U.S. Senator           ","","","Y","0","0","0","","0","","0","","0",""
"Brandy Baker","UNF","U.S. Senator           ","","","Y","0","0","0","","0","","0","","0",""
"Ed Tinus","UNF","U.S. Senator           ","","","Y","0","0","0","","0","","0","","0",""
"Other Write-Ins","BOT","U.S. Senator           ","","","Y","44","0","1","","2","","0","","57",""
"Steny H. Hoyer","DEM","U.S. Congress","05","Y","","38313","","1486","","1099","","561","","50845",""
"Tony O'Donnell","REP","U.S. Congress","05","","","17121","","780","","283","","246","","20660",""
"Arvin Vohra","LIB","U.S. Congress","05","","","719","","26","","22","","19","","850",""
"Bob Auerbach","GRN","U.S. Congress","05","","","710","","35","","19","","12","","854",""
"Other Write-Ins","BOT","U.S. Congress","05","","Y","56","","5","","1","","2","","73",""
"Stuart R. Berger","BOT","Judge Spec Appeal at Lg","","Y","","44148","6938","1685","264","1153","196","607","101","56993","8750"
