"County","Election District","Election Precinct","Candidate Name","Party","Office Name","Office District","Winner","Write-In?","Election Night Votes","Election Night Votes Against"
"11","001","001","Barack Obama","DEM","President - Vice Pres","","Y","","1304",""
"11","001","001","Mitt Romney","REP","President - Vice Pres","","","","1485",""
"11","001","001","Gary Johnson","LIB","President - Vice Pres","","","","40",""
"11","001","001","Jill Stein","GRN","President - Vice Pres","","","","10",""
"11","001","001","Tiffany Renee Briscoe","DEM","President - Vice Pres","","","Y","0",""
"11","001","001","Dennis Knill","DEM","President - Vice Pres","","","Y","0",""
"11","001","001","Matthew Lydick","REP","President - Vice Pres","","","Y","0",""
"11","001","001","Barbara A. Prokopich","REP","President - Vice Pres","","","Y","0",""
"11","001","001","Santa Claus","IND","President - Vice Pres","","","Y","2",""
"11","001","001","Richard Duncan","IND","President - Vice Pres","","","Y","0",""
"11","001","001","Bruce Mlynski","IND","President - Vice Pres","","","Y","0",""
"11","001","001","Kevin M. Thorne","IND","President - Vice Pres","","","Y","0",""
"11","001","001","James Clymer","CON","President - Vice Pres","","","Y","0",""
"11","001","001","Virgil Goode","CON","President - Vice Pres","","","Y","1",""
"11","001","001","Ross C. Rocky Anderson","OTH","President - Vice Pres","","","Y","0",""
"11","001","001","Andre Barnett","OTH","President - Vice Pres","","","Y","0",""
"11","001","001","Roseanne Barr","OTH","President - Vice Pres","","","Y","0",""
"11","001","001","Will Christensen","OTH","President - Vice Pres","","","Y","0",""
"11","001","001","Stephen Durham","OTH","President - Vice Pres","","","Y","0",""
"11","001","001","Merlin Miller","OTH","President - Vice Pres","","","Y","0",""
"11","001","001","Leon Leo Ray","OTH","President - Vice Pres","","","Y","0",""
"11","001","001","Michael David Boyles","UNF","President - Vice Pres","","","Y","0",""
"11","001","001","Theodis (Ted) Brown, Sr.","UNF","President - Vice Pres","","","Y","0",""
"11","001","001","Paul Chehade","UNF","President - Vice Pres","","","Y","0",""
"11","001","001","David M. Crosby","UNF","President - Vice Pres","","","Y","0",""
"11","001","001","Fred Donald Dickson, Jr.","UNF","President - Vice Pres","","","Y","0",""
"11","001","001","Robert William Dietz","UNF","President - Vice Pres","","","Y","0",""
"11","001","001","Dwight Kenneth French","UNF","President - Vice Pres","","","Y","0",""
"11","001","001","Darrell Hykes","UNF","President - Vice Pres","","","Y","0",""
"11","001","001","Nelson Keyton","UNF","President - Vice Pres","","","Y","0",""
"11","001","001","Dean Morstad","UNF","President - Vice Pres","","","Y","0",""
"11","001","001","Deonia Neveu","UNF","President - Vice Pres","","","Y","0",""
"11","001","001","Terrance James O'Hara","UNF","President - Vice Pres","","","Y","0",""
"11","001","001","Jill Reed","UNF","President - Vice Pres","","","Y","0",""
"11","001","001","Cecil James Roth","UNF","President - Vice Pres","","","Y","0",""
"11","001","001","Sheila Tittle","UNF","President - Vice Pres","","","Y","0",""
"11","001","001","Other Write-Ins","BOT","President - Vice Pres","","","Y","8",""
"11","001","001","Ben Cardin","DEM","U.S. Senator           ","","Y","","1044",""
"11","001","001","Daniel John Bongino","REP","U.S. Senator           ","","","","1220",""
"11","001","001","Dean Ahmad","LIB","U.S. Senator           ","","","","27",""
"11","001","001","S. Rob Sobhani","UNF","U.S. Senator           ","","","","479",""
"11","001","001","Lih Young","DEM","U.S. Senator           ","","","Y","0",""
"11","001","001","Mary Podlesak","REP","U.S. Senator           ","","","Y","0",""
"11","001","001","Brandy Baker","UNF","U.S. Senator           ","","","Y","1",""
"11","001","001","Ed Tinus","UNF","U.S. Senator           ","","","Y","0",""
"11","001","001","Other Write-Ins","BOT","U.S. Senator           ","","","Y","4",""
"11","001","001","John Delaney","DEM","U.S. Congress","06","Y","","1391",""
"11","001","001","Roscoe G. Bartlett","REP","U.S. Congress","06","","","1297",""
"11","001","001","Nickolaus Mueller","LIB","U.S. Congress","06","","","89",""
"11","001","001","Other Write-Ins","BOT","U.S. Congress","06","","Y","2",""
"11","001","001","William Rogers Nicklas, Jr.","BOT","Judge Circuit Court","06","Y","","2146",""
"11","001","001","Other Write-Ins","BOT","Judge Circuit Court","06","","Y","20",""
"11","001","001","Lynne A. Battaglia","BOT","Appellate Judge","03","Y","","2018","228"
"11","001","001","Stuart R. Berger","BOT","Judge Spec Appeal at Lg","","Y","","1979","243"
"11","001","001","Zakir Bengali","NON","Board of Education     ","","Y","","1214",""
"11","001","001","Tony Chmelik","NON","Board of Education     ","","","","813",""
"11","001","001","Colleen Cusimano","NON","Board of Education     ","","","","1006",""
"11","001","001","Kathryn B. Katie Groth","NON","Board of Education     ","","Y","","1372",""
"11","001","001","Joy Schaefer","NON","Board of Education     ","","Y","","1285",""
"11","001","001","Tom Shade","NON","Board of Education     ","","","","464",""
"11","001","001","Other Write-Ins","NON","Board of Education     ","","","Y","9",""
"11","001","002","Barack Obama","DEM","President - Vice Pres","","Y","","879",""
"11","001","002","Mitt Romney","REP","President - Vice Pres","","","","663",""
"11","001","002","Gary Johnson","LIB","President - Vice Pres","","","","27",""
"11","001","002","Jill Stein","GRN","President - Vice Pres","","","","12",""
"11","001","002","Tiffany Renee Briscoe","DEM","President - Vice Pres","","","Y","0",""
"11","001","002","Dennis Knill","DEM","President - Vice Pres","","","Y","0",""
"11","001","002","Matthew Lydick","REP","President - Vice Pres","","","Y","0",""
"11","001","002","Barbara A. Prokopich","REP","President - Vice Pres","","","Y","0",""
"11","001","002","Santa Claus","IND","President - Vice Pres","","","Y","1",""
"11","001","002","Richard Duncan","IND","President - Vice Pres","","","Y","0",""
"11","001","002","Bruce Mlynski","IND","President - Vice Pres","","","Y","0",""
"11","001","002","Kevin M. Thorne","IND","President - Vice Pres","","","Y","0",""
"11","001","002","James Clymer","CON","President - Vice Pres","","","Y","0",""
"11","001","002","Virgil Goode","CON","President - Vice Pres","","","Y","0",""
"11","001","002","Ross C. Rocky Anderson","OTH","President - Vice Pres","","","Y","0",""
"11","001","002","Andre Barnett","OTH","President - Vice Pres","","","Y","0",""
"11","001","002","Roseanne Barr","OTH","President - Vice Pres","","","Y","0",""
"11","001","002","Will Christensen","OTH","President - Vice Pres","","","Y","0",""
"11","001","002","Stephen Durham","OTH","President - Vice Pres","","","Y","0",""
"11","001","002","Merlin Miller","OTH","President - Vice Pres","","","Y","0",""
"11","001","002","Leon Leo Ray","OTH","President - Vice Pres","","","Y","0",""
"11","001","002","Michael David Boyles","UNF","President - Vice Pres","","","Y","0",""
"11","001","002","Theodis (Ted) Brown, Sr.","UNF","President - Vice Pres","","","Y","0",""
