"Candidate Name","Party","Office Name","Office District","Winner","Write-In?","Election Night Votes","Election Night Votes Against","Absentees Votes","Absentees Votes Against","Provisional Votes","Provisional Votes Against","2nd Absentees Votes","2nd Absentees Votes Against","Total Votes","Total Votes Against"
"Barack Obama","DEM","President - Vice Pres","","Y","","2293","","208","","49","","75","","3124",""
"Mitt Romney","REP","President - Vice Pres","","","","8074","","451","","91","","99","","9743",""
"Gary Johnson","LIB","President - Vice Pres","","","","124","","7","","4","","2","","146",""
"Jill Stein","GRN","President - Vice Pres","","","","79","","5","","1","","2","","94",""
"Tiffany Renee Briscoe","DEM","President - Vice Pres","","","Y","0","","0","","0","","0","","0",""
"Dennis Knill","DEM","President - Vice Pres","","","Y","0","","0","","0","","0","","0",""
"Matthew Lydick","REP","President - Vice Pres","","","Y","0","","0","","0","","0","","0",""
"Barbara A. Prokopich","REP","President - Vice Pres","","","Y","0","","0","","0","","0","","0",""
"Santa Claus","IND","President - Vice Pres","","","Y","4","","0","","0","","0","","5",""
"Richard Duncan","IND","President - Vice Pres","","","Y","0","","0","","0","","0","","0",""
"Bruce Mlynski","IND","President - Vice Pres","","","Y","0","","0","","0","","0","","0",""
"Kevin M. Thorne","IND","President - Vice Pres","","","Y","0","","0","","0","","0","","0",""
"James Clymer","CON","President - Vice Pres","","","Y","0","","0","","0","","0","","0",""
"Virgil Goode","CON","President - Vice Pres","","","Y","2","","0","","0","","0","","2",""
"Ross C. Rocky Anderson","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0",""
"Andre Barnett","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0",""
"Roseanne Barr","OTH","President - Vice Pres","","","Y","2","","0","","0","","0","","2",""
"Will Christensen","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0",""
"Stephen Durham","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0",""
"Merlin Miller","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0",""
"Leon Leo Ray","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0",""
"Michael David Boyles","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0",""
"Theodis (Ted) Brown, Sr.","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0",""
"Paul Chehade","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0",""
"David M. Crosby","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0",""
"Fred Donald Dickson, Jr.","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0",""
"Robert William Dietz","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0",""
"Dwight Kenneth French","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0",""
"Darrell Hykes","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0",""
"Nelson Keyton","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0",""
"Dean Morstad","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0",""
"Deonia Neveu","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0",""
"Terrance James O'Hara","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0",""
"Jill Reed","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0",""
"Cecil James Roth","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0",""
"Sheila Tittle","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0",""
"Other Write-Ins","BOT","President - Vice Pres","","","Y","33","","6","","0","","0","","41",""
"Ben Cardin","DEM","U.S. Senator           ","","Y","","2609","","207","","50","","72","","3448",""
"Daniel John Bongino","REP","U.S. Senator           ","","","","6793","","393","","77","","82","","8263",""
"Dean Ahmad","LIB","U.S. Senator           ","","","","139","","8","","2","","1","","163",""
"S. Rob Sobhani","UNF","U.S. Senator           ","","","","419","","26","","8","","6","","492",""
"Lih Young","DEM","U.S. Senator           ","","","Y","0","","0","","0","","0","","0",""
"Mary Podlesak","REP","U.S. Senator           ","","","Y","0","","0","","0","","0","","1",""
"Brandy Baker","UNF","U.S. Senator           ","","","Y","0","","0","","0","","0","","0",""
"Ed Tinus","UNF","U.S. Senator           ","","","Y","0","","0","","0","","0","","0",""
"Other Write-Ins","BOT","U.S. Senator           ","","","Y","5","","0","","0","","0","","5",""
"John Delaney","DEM","U.S. Congress","06","Y","","3040","","191","","35","","72","","3864",""
"Roscoe G. Bartlett","REP","U.S. Congress","06","","","6900","","443","","68","","97","","8445",""
"Nickolaus Mueller","LIB","U.S. Congress","06","","","320","","24","","5","","1","","387",""
"Other Write-Ins","BOT","U.S. Congress","06","","Y","4","","0","","0","","0","","4",""
"Lynne A. Battaglia","BOT","Appellate Judge","03","Y","","6590","1693","371","104","82","18","94","25","8039","2104"
"Stuart R. Berger","BOT","Judge Spec Appeal at Lg","","Y","","6543","1629","368","94","102","17","100","19","8013","2004"
"Gary L. Barlow","NON","Board of Ed at Large","","","","3320","","169","","30","","44","","3976",""
"Cindy Downton","NON","Board of Ed at Large","","Y","","4117","","228","","41","","46","","4965",""
"Darlena M. Grady","NON","Board of Ed at Large","","","","2902","","141","","17","","41","","3700",""
"Charlotte Sebold","NON","Board of Ed at Large","","Y","","5584","","359","","43","","82","","6801",""
"Other Write-Ins","NON","Board of Ed at Large","","","Y","65","","3","","1","","2","","80",""
