"Vote Type (FOR=1,AGAINST=2)","Candidate Name","Party","Office Name","Office District","Winner","Write-In?", CONC D,CONC B,CONC A,CONC C,CONC F,CONC E
1,"Barack Obama",DEM,President - Vice Pres,,Y,,5189,5760,8537,5123,7537,6534
1,"Mitt Romney",REP,President - Vice Pres,,,,14230,12944,6365,10856,8073,8664
1,"Gary Johnson",LIB,President - Vice Pres,,,,288,312,242,262,278,223
1,"Jill Stein",GRN,President - Vice Pres,,,,130,124,124,110,120,96
1,"Tiffany Renee Briscoe",DEM,President - Vice Pres,,,Y,0,0,0,0,0,0
1,"Dennis Knill",DEM,President - Vice Pres,,,Y,0,0,0,0,0,0
1,"Matthew Lydick",REP,President - Vice Pres,,,Y,0,0,0,0,0,0
1,"Barbara A. Prokopich",REP,President - Vice Pres,,,Y,0,0,0,0,0,0
1,"Santa Claus",IND,President - Vice Pres,,,Y,12,13,10,5,9,7
1,"Richard Duncan",IND,President - Vice Pres,,,Y,0,0,1,0,0,0
1,"Bruce Mlynski",IND,President - Vice Pres,,,Y,0,0,0,0,0,0
1,"Kevin M. Thorne",IND,President - Vice Pres,,,Y,0,0,0,0,0,0
1,"James Clymer",CON,President - Vice Pres,,,Y,1,0,0,0,7,0
1,"Virgil Goode",CON,President - Vice Pres,,,Y,5,7,6,1,0,1
1,"Ross C. Rocky Anderson",OTH,President - Vice Pres,,,Y,0,1,0,0,0,1
1,"Andre Barnett",OTH,President - Vice Pres,,,Y,0,0,0,0,0,0
1,"Roseanne Barr",OTH,President - Vice Pres,,,Y,0,0,0,0,0,0
1,"Will Christensen",OTH,President - Vice Pres,,,Y,0,0,0,0,0,0
1,"Stephen Durham",OTH,President - Vice Pres,,,Y,0,1,0,0,0,0
1,"Merlin Miller",OTH,President - Vice Pres,,,Y,1,1,0,0,0,0
1,"Leon Leo Ray",OTH,President - Vice Pres,,,Y,0,0,0,0,0,0
1,"Michael David Boyles",UNF,President - Vice Pres,,,Y,0,0,0,0,0,0
1,"Theodis (Ted) Brown, Sr.",UNF,President - Vice Pres,,,Y,0,0,0,0,0,0
1,"Paul Chehade",UNF,President - Vice Pres,,,Y,0,0,0,0,0,0
1,"David M. Crosby",UNF,President - Vice Pres,,,Y,0,0,0,0,0,0
1,"Fred Donald Dickson, Jr.",UNF,President - Vice Pres,,,Y,0,0,0,0,0,0
1,"Robert William Dietz",UNF,President - Vice Pres,,,Y,0,0,0,0,0,0
1,"Dwight Kenneth French",UNF,President - Vice Pres,,,Y,0,0,0,0,0,0
1,"Darrell Hykes",UNF,President - Vice Pres,,,Y,0,0,0,0,0,0
1,"Nelson Keyton",UNF,President - Vice Pres,,,Y,0,0,0,1,1,0
