"Candidate Name","Party","Office Name","Office District","Winner","Write-In?","Election Night Votes","Election Night Votes Against","Absentees Votes","Absentees Votes Against","Provisional Votes","Provisional Votes Against","2nd Absentees Votes","2nd Absentees Votes Against","Total Votes","Total Votes Against"
"Barack Obama","DEM","President - Vice Pres","","Y","","63025","","4025","","1924","","1375","","91393",""
"Mitt Romney","REP","President - Vice Pres","","","","45256","","2275","","707","","615","","57758",""
"Gary Johnson","LIB","President - Vice Pres","","","","1825","","89","","49","","39","","2242",""
"Jill Stein","GRN","President - Vice Pres","","","","852","","54","","16","","29","","1092",""
"Tiffany Renee Briscoe","DEM","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Dennis Knill","DEM","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Matthew Lydick","REP","President - Vice Pres","","","Y","7","0","0","","0","","0","","7",""
"Barbara A. Prokopich","REP","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Santa Claus","IND","President - Vice Pres","","","Y","36","0","0","","0","","0","","38",""
"Richard Duncan","IND","President - Vice Pres","","","Y","1","0","0","","0","","0","","1",""
"Bruce Mlynski","IND","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Kevin M. Thorne","IND","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"James Clymer","CON","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Virgil Goode","CON","President - Vice Pres","","","Y","35","0","0","","0","","0","","35",""
"Ross C. Rocky Anderson","OTH","President - Vice Pres","","","Y","6","0","0","","0","","1","","8",""
"Andre Barnett","OTH","President - Vice Pres","","","Y","3","0","0","","0","","0","","3",""
"Roseanne Barr","OTH","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Will Christensen","OTH","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Stephen Durham","OTH","President - Vice Pres","","","Y","3","0","0","","0","","0","","6",""
"Merlin Miller","OTH","President - Vice Pres","","","Y","0","0","0","","0","","0","","1",""
"Leon Leo Ray","OTH","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Michael David Boyles","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Theodis (Ted) Brown, Sr.","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Paul Chehade","UNF","President - Vice Pres","","","Y","1","0","0","","0","","0","","1",""
"David M. Crosby","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Fred Donald Dickson, Jr.","UNF","President - Vice Pres","","","Y","1","0","0","","0","","0","","1",""
"Robert William Dietz","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Dwight Kenneth French","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Darrell Hykes","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Nelson Keyton","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Dean Morstad","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Deonia Neveu","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Terrance James O'Hara","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0",""
"Jill Reed","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Cecil James Roth","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Sheila Tittle","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Other Write-Ins","BOT","President - Vice Pres","","","Y","413","0","30","","20","","10","","522",""
"Ben Cardin","DEM","U.S. Senator           ","","Y","","53953","","3895","","1570","","1235","","80265",""
"Daniel John Bongino","REP","U.S. Senator           ","","","","33098","","1816","","550","","513","","42892",""
"Dean Ahmad","LIB","U.S. Senator           ","","","","1956","","94","","69","","54","","2462",""
"S. Rob Sobhani","UNF","U.S. Senator           ","","","","19694","","496","","399","","113","","23815",""
"Lih Young","DEM","U.S. Senator           ","","","Y","9","0","0","","0","","0","","11",""
"Mary Podlesak","REP","U.S. Senator           ","","","Y","0","0","0","","0","","0","","0",""
"Brandy Baker","UNF","U.S. Senator           ","","","Y","1","0","0","","0","","0","","8",""
"Ed Tinus","UNF","U.S. Senator           ","","","Y","0","0","0","","0","","1","","1",""
"Other Write-Ins","BOT","U.S. Senator           ","","","Y","105","0","1","","3","","3","","128",""
"C. A. Dutch Ruppersberger","DEM","U.S. Congress","02","Y","","7571","","311","","177","","117","","10767",""
"Nancy C. Jacobs","REP","U.S. Congress","02","","","4144","","142","","71","","42","","5091",""
"Leo Wayne Dymowski","LIB","U.S. Congress","02","","","502","","15","","16","","5","","624",""
"Ray Bly","REP","U.S. Congress","02","","Y","2","0","0","","0","","0","","5",""
"Other Write-Ins","BOT","U.S. Congress","02","","Y","23","0","0","","0","","0","","28",""
"John Sarbanes","DEM","U.S. Congress","03","Y","","22458","","1391","","513","","395","","31212",""
"Eric Delano Knowles","REP","U.S. Congress","03","","","10868","","501","","141","","149","","13437",""
"Paul W. Drgos, Jr.","LIB","U.S. Congress","03","","","1243","","45","","24","","17","","1479",""
"Other Write-Ins","BOT","U.S. Congress","03","","Y","57","","6","","1","","2","","71",""
"Elijah Cummings","DEM","U.S. Congress","07","Y","","32154","","2358","","694","","767","","47874",""
"Frank C. Mirabile","REP","U.S. Congress","07","","","25507","","1367","","294","","339","","33049",""
"Ronald M. Owens-Bey","LIB","U.S. Congress","07","","","2041","","75","","38","","45","","2502",""
"Ty Glen Busch","DEM","U.S. Congress","07","","Y","3","0","0","","0","","0","","4",""
"Charles U. Smith","DEM","U.S. Congress","07","","Y","4","0","0","","0","","1","","8",""
"Other Write-Ins","BOT","U.S. Congress","07","","Y","90","0","2","","1","","5","","111",""
"Lenore R. Gelfman","BOT","Judge Circuit Court","05","Y","","72447","","4102","","1303","","1161","","100726",""
"William V. Tucker","BOT","Judge Circuit Court","05","Y","","65965","","3526","","1084","","1054","","91226",""
"Other Write-Ins","BOT","Judge Circuit Court","05","","Y","1040","","56","","24","","18","","1383",""
"Lynne A. Battaglia","BOT","Appellate Judge","03","Y","","76406","10848","4266","477","1612","211","1258","141","105662","14125"
"Stuart R. Berger","BOT","Judge Spec Appeal at Lg","","Y","","74561","11621","4203","528","1735","285","1216","156","103223","15277"
"Bob Ballinger","NON","Board of Education     ","","","","36344","","1607","","642","","491","","47350",""
"Ann DeLacy","NON","Board of Education     ","","Y","","37053","","1965","","749","","605","","51661",""
"David Gertler","NON","Board of Education     ","","","","33970","","1812","","500","","506","","46256",""
"Ellen Flynn Giles","NON","Board of Education     ","","Y","","36553","","2010","","606","","549","","50908",""
"Jackie Scott","NON","Board of Education     ","","","","30655","","1726","","592","","496","","44177",""
"Janet Siddiqui","NON","Board of Education     ","","Y","","49379","","2694","","963","","737","","68400",""
"Other Write-Ins","NON","Board of Education     ","","","Y","858","","63","","20","","34","","1221",""
