"Vote Type (FOR=1,AGAINST=2)","Candidate Name","Party","Office Name","Office District","Winner","Write-In?", CONC 005,CONC 004,CONC 002,CONC 001,CONC 003
1,"Barack Obama",DEM,President - Vice Pres,,Y,,11603,13830,13055,11663,12874
1,"Mitt Romney",REP,President - Vice Pres,,,,16121,6790,6125,10473,5747
1,"Gary Johnson",LIB,President - Vice Pres,,,,455,304,344,414,308
1,"Jill Stein",GRN,President - Vice Pres,,,,158,166,165,201,162
1,"Tiffany Renee Briscoe",DEM,President - Vice Pres,,,Y,0,0,0,0,0
1,"Dennis Knill",DEM,President - Vice Pres,,,Y,0,0,0,0,0
1,"Matthew Lydick",REP,President - Vice Pres,,,Y,2,0,2,0,3
1,"Barbara A. Prokopich",REP,President - Vice Pres,,,Y,0,0,0,0,0
1,"Santa Claus",IND,President - Vice Pres,,,Y,10,5,6,8,7
1,"Richard Duncan",IND,President - Vice Pres,,,Y,1,0,0,0,0
1,"Bruce Mlynski",IND,President - Vice Pres,,,Y,0,0,0,0,0
1,"Kevin M. Thorne",IND,President - Vice Pres,,,Y,0,0,0,0,0
1,"James Clymer",CON,President - Vice Pres,,,Y,0,0,0,0,0
1,"Virgil Goode",CON,President - Vice Pres,,,Y,9,3,6,8,9
1,"Ross C. Rocky Anderson",OTH,President - Vice Pres,,,Y,3,0,0,0,3
1,"Andre Barnett",OTH,President - Vice Pres,,,Y,0,1,0,0,2
1,"Roseanne Barr",OTH,President - Vice Pres,,,Y,0,0,0,0,0
1,"Will Christensen",OTH,President - Vice Pres,,,Y,0,0,0,0,0
1,"Stephen Durham",OTH,President - Vice Pres,,,Y,0,3,0,0,0
1,"Merlin Miller",OTH,President - Vice Pres,,,Y,0,0,0,0,0
1,"Leon Leo Ray",OTH,President - Vice Pres,,,Y,0,0,0,0,0
1,"Michael David Boyles",UNF,President - Vice Pres,,,Y,0,0,0,0,0
1,"Theodis (Ted) Brown, Sr.",UNF,President - Vice Pres,,,Y,0,0,0,0,0
1,"Paul Chehade",UNF,President - Vice Pres,,,Y,0,0,0,0,1
1,"David M. Crosby",UNF,President - Vice Pres,,,Y,0,0,0,0,0
1,"Fred Donald Dickson, Jr.",UNF,President - Vice Pres,,,Y,0,0,0,1,0
1,"Robert William Dietz",UNF,President - Vice Pres,,,Y,0,0,0,0,0
1,"Dwight Kenneth French",UNF,President - Vice Pres,,,Y,0,0,0,0,0
1,"Darrell Hykes",UNF,President - Vice Pres,,,Y,0,0,0,0,0
1,"Nelson Keyton",UNF,President - Vice Pres,,,Y,0,0,0,0,0
1,"Dean Morstad",UNF,President - Vice Pres,,,Y,0,0,0,0,0
1,"Deonia Neveu",UNF,President - Vice Pres,,,Y,0,0,0,0,0
1,"Terrance James O'Hara",UNF,President - Vice Pres,,,Y,0,0,0,0,0
1,"Jill Reed",UNF,President - Vice Pres,,,Y,0,0,0,0,0
1,"Cecil James Roth",UNF,President - Vice Pres,,,Y,0,0,0,0,0
1,"Sheila Tittle",UNF,President - Vice Pres,,,Y,0,0,0,0,0
1,"Other Write-Ins",BOT,President - Vice Pres,,,Y,75,77,75,107,79
1,"Ben Cardin",DEM,U.S. Senator           ,,Y,,9810,12083,11158,9979,10923
1,"Daniel John Bongino",REP,U.S. Senator           ,,,,12095,4966,4357,7480,4200
1,"Dean Ahmad",LIB,U.S. Senator           ,,,,427,377,339,460,353
1,"S. Rob Sobhani",UNF,U.S. Senator           ,,,,5476,3239,3353,4405,3221
1,"Lih Young",DEM,U.S. Senator           ,,,Y,0,2,4,0,3
1,"Mary Podlesak",REP,U.S. Senator           ,,,Y,0,0,0,0,0
1,"Brandy Baker",UNF,U.S. Senator           ,,,Y,0,1,0,0,0
1,"Ed Tinus",UNF,U.S. Senator           ,,,Y,0,0,0,0,0
1,"Other Write-Ins",BOT,U.S. Senator           ,,,Y,19,22,23,28,13
1,"C. A. Dutch Ruppersberger",DEM,U.S. Congress,02,Y,,,,2847,716,4008
1,"Nancy C. Jacobs",REP,U.S. Congress,02,,,,,1574,589,1981
1,"Leo Wayne Dymowski",LIB,U.S. Congress,02,,,,,193,70,239
1,"Ray Bly",REP,U.S. Congress,02,,Y,,,0,0,2
