"County","Election District","Election Precinct","Candidate Name","Party","Office Name","Office District","Winner","Write-In?","Election Night Votes","Election Night Votes Against"
"15","001","001","Barack Obama","DEM","President - Vice Pres","","Y","","275",""
"15","001","001","Mitt Romney","REP","President - Vice Pres","","","","344",""
"15","001","001","Gary Johnson","LIB","President - Vice Pres","","","","15",""
"15","001","001","Jill Stein","GRN","President - Vice Pres","","","","9",""
"15","001","001","Tiffany Renee Briscoe","DEM","President - Vice Pres","","","Y","0",""
"15","001","001","Dennis Knill","DEM","President - Vice Pres","","","Y","0",""
"15","001","001","Matthew Lydick","REP","President - Vice Pres","","","Y","0",""
"15","001","001","Barbara A. Prokopich","REP","President - Vice Pres","","","Y","0",""
"15","001","001","Santa Claus","IND","President - Vice Pres","","","Y","0",""
"15","001","001","Richard Duncan","IND","President - Vice Pres","","","Y","0",""
"15","001","001","Bruce Mlynski","IND","President - Vice Pres","","","Y","0",""
"15","001","001","Kevin M. Thorne","IND","President - Vice Pres","","","Y","0",""
"15","001","001","James Clymer","CON","President - Vice Pres","","","Y","0",""
"15","001","001","Virgil Goode","CON","President - Vice Pres","","","Y","0",""
"15","001","001","Ross C. Rocky Anderson","OTH","President - Vice Pres","","","Y","0",""
"15","001","001","Andre Barnett","OTH","President - Vice Pres","","","Y","0",""
"15","001","001","Roseanne Barr","OTH","President - Vice Pres","","","Y","0",""
"15","001","001","Will Christensen","OTH","President - Vice Pres","","","Y","0",""
"15","001","001","Stephen Durham","OTH","President - Vice Pres","","","Y","0",""
"15","001","001","Merlin Miller","OTH","President - Vice Pres","","","Y","0",""
"15","001","001","Leon Leo Ray","OTH","President - Vice Pres","","","Y","0",""
"15","001","001","Michael David Boyles","UNF","President - Vice Pres","","","Y","0",""
"15","001","001","Theodis (Ted) Brown, Sr.","UNF","President - Vice Pres","","","Y","0",""
"15","001","001","Paul Chehade","UNF","President - Vice Pres","","","Y","0",""
"15","001","001","David M. Crosby","UNF","President - Vice Pres","","","Y","0",""
"15","001","001","Fred Donald Dickson, Jr.","UNF","President - Vice Pres","","","Y","0",""
"15","001","001","Robert William Dietz","UNF","President - Vice Pres","","","Y","0",""
"15","001","001","Dwight Kenneth French","UNF","President - Vice Pres","","","Y","0",""
"15","001","001","Darrell Hykes","UNF","President - Vice Pres","","","Y","0",""
"15","001","001","Nelson Keyton","UNF","President - Vice Pres","","","Y","0",""
"15","001","001","Dean Morstad","UNF","President - Vice Pres","","","Y","0",""
"15","001","001","Deonia Neveu","UNF","President - Vice Pres","","","Y","0",""
"15","001","001","Terrance James O'Hara","UNF","President - Vice Pres","","","Y","0",""
"15","001","001","Jill Reed","UNF","President - Vice Pres","","","Y","0",""
"15","001","001","Cecil James Roth","UNF","President - Vice Pres","","","Y","0",""
"15","001","001","Sheila Tittle","UNF","President - Vice Pres","","","Y","0",""
"15","001","001","Other Write-Ins","BOT","President - Vice Pres","","","Y","2",""
"15","001","001","Ben Cardin","DEM","U.S. Senator           ","","Y","","236",""
"15","001","001","Daniel John Bongino","REP","U.S. Senator           ","","","","263",""
"15","001","001","Dean Ahmad","LIB","U.S. Senator           ","","","","8",""
"15","001","001","S. Rob Sobhani","UNF","U.S. Senator           ","","","","128",""
"15","001","001","Lih Young","DEM","U.S. Senator           ","","","Y","0",""
"15","001","001","Mary Podlesak","REP","U.S. Senator           ","","","Y","0",""
"15","001","001","Brandy Baker","UNF","U.S. Senator           ","","","Y","0",""
"15","001","001","Ed Tinus","UNF","U.S. Senator           ","","","Y","0",""
"15","001","001","Other Write-Ins","BOT","U.S. Senator           ","","","Y","1",""
"15","001","001","Wendy Rosen","DEM","U.S. Congress","01","","","187",""
"15","001","001","Andy Harris","REP","U.S. Congress","01","Y","","346",""
"15","001","001","Muir Wayne Boda","LIB","U.S. Congress","01","","","23",""
"15","001","001","John LaFerla","DEM","U.S. Congress","01","","Y","66",""
"15","001","001","Michael Calpino","UNF","U.S. Congress","01","","Y","1",""
"15","001","001","Douglas Dryden Rae","UNF","U.S. Congress","01","","Y","0",""
"15","001","001","Other Write-Ins","BOT","U.S. Congress","01","","Y","1",""
"15","001","001","Stuart R. Berger","BOT","Judge Spec Appeal at Lg","","Y","","425","106"
"15","001","001","Nivek Johnson","NON","Board of Education     ","","","","188",""
"15","001","001","J. Brian Kirby","NON","Board of Education     ","","Y","","395",""
"15","001","001","Bryan Williams","NON","Board of Education     ","","Y","","392",""
"15","001","001","Other Write-Ins","NON","Board of Education     ","","","Y","5",""
"15","001","002","Barack Obama","DEM","President - Vice Pres","","Y","","352",""
"15","001","002","Mitt Romney","REP","President - Vice Pres","","","","543",""
"15","001","002","Gary Johnson","LIB","President - Vice Pres","","","","14",""
"15","001","002","Jill Stein","GRN","President - Vice Pres","","","","10",""
"15","001","002","Tiffany Renee Briscoe","DEM","President - Vice Pres","","","Y","0",""
"15","001","002","Dennis Knill","DEM","President - Vice Pres","","","Y","0",""
"15","001","002","Matthew Lydick","REP","President - Vice Pres","","","Y","0",""
"15","001","002","Barbara A. Prokopich","REP","President - Vice Pres","","","Y","0",""
"15","001","002","Santa Claus","IND","President - Vice Pres","","","Y","0",""
"15","001","002","Richard Duncan","IND","President - Vice Pres","","","Y","0",""
"15","001","002","Bruce Mlynski","IND","President - Vice Pres","","","Y","0",""
"15","001","002","Kevin M. Thorne","IND","President - Vice Pres","","","Y","0",""
"15","001","002","James Clymer","CON","President - Vice Pres","","","Y","0",""
"15","001","002","Virgil Goode","CON","President - Vice Pres","","","Y","1",""
"15","001","002","Ross C. Rocky Anderson","OTH","President - Vice Pres","","","Y","0",""
"15","001","002","Andre Barnett","OTH","President - Vice Pres","","","Y","0",""
"15","001","002","Roseanne Barr","OTH","President - Vice Pres","","","Y","0",""
"15","001","002","Will Christensen","OTH","President - Vice Pres","","","Y","0",""
"15","001","002","Stephen Durham","OTH","President - Vice Pres","","","Y","0",""
"15","001","002","Merlin Miller","OTH","President - Vice Pres","","","Y","0",""
"15","001","002","Leon Leo Ray","OTH","President - Vice Pres","","","Y","0",""
"15","001","002","Michael David Boyles","UNF","President - Vice Pres","","","Y","0",""
"15","001","002","Theodis (Ted) Brown, Sr.","UNF","President - Vice Pres","","","Y","0",""
"15","001","002","Paul Chehade","UNF","President - Vice Pres","","","Y","0",""
"15","001","002","David M. Crosby","UNF","President - Vice Pres","","","Y","0",""
"15","001","002","Fred Donald Dickson, Jr.","UNF","President - Vice Pres","","","Y","0",""
"15","001","002","Robert William Dietz","UNF","President - Vice Pres","","","Y","0",""
"15","001","002","Dwight Kenneth French","UNF","President - Vice Pres","","","Y","0",""
"15","001","002","Darrell Hykes","UNF","President - Vice Pres","","","Y","0",""
"15","001","002","Nelson Keyton","UNF","President - Vice Pres","","","Y","0",""
"15","001","002","Dean Morstad","UNF","President - Vice Pres","","","Y","0",""
"15","001","002","Deonia Neveu","UNF","President - Vice Pres","","","Y","0",""
"15","001","002","Terrance James O'Hara","UNF","President - Vice Pres","","","Y","0",""
"15","001","002","Jill Reed","UNF","President - Vice Pres","","","Y","0",""
"15","001","002","Cecil James Roth","UNF","President - Vice Pres","","","Y","0",""
"15","001","002","Sheila Tittle","UNF","President - Vice Pres","","","Y","0",""
"15","001","002","Other Write-Ins","BOT","President - Vice Pres","","","Y","1",""
"15","001","002","Ben Cardin","DEM","U.S. Senator           ","","Y","","308",""
"15","001","002","Daniel John Bongino","REP","U.S. Senator           ","","","","389",""
"15","001","002","Dean Ahmad","LIB","U.S. Senator           ","","","","11",""
"15","001","002","S. Rob Sobhani","UNF","U.S. Senator           ","","","","196",""
"15","001","002","Lih Young","DEM","U.S. Senator           ","","","Y","0",""
"15","001","002","Mary Podlesak","REP","U.S. Senator           ","","","Y","0",""
"15","001","002","Brandy Baker","UNF","U.S. Senator           ","","","Y","0",""
"15","001","002","Ed Tinus","UNF","U.S. Senator           ","","","Y","0",""
"15","001","002","Other Write-Ins","BOT","U.S. Senator           ","","","Y","2",""
"15","001","002","Wendy Rosen","DEM","U.S. Congress","01","","","192",""
"15","001","002","Andy Harris","REP","U.S. Congress","01","Y","","540",""
"15","001","002","Muir Wayne Boda","LIB","U.S. Congress","01","","","34",""
"15","001","002","John LaFerla","DEM","U.S. Congress","01","","Y","108",""
