"Candidate Name","Party","Office Name","Office District","Winner","Write-In?","Election Night Votes","Election Night Votes Against","Absentees Votes","Absentees Votes Against","Provisional Votes","Provisional Votes Against","2nd Absentees Votes","2nd Absentees Votes Against","Total Votes","Total Votes Against"
"Barack Obama","DEM","President - Vice Pres","","Y","","3073","","272","","75","","42","","4842",""
"Mitt Romney","REP","President - Vice Pres","","","","3561","","263","","29","","45","","4870",""
"Gary Johnson","LIB","President - Vice Pres","","","","90","","4","","1","","0","","105",""
"Jill Stein","GRN","President - Vice Pres","","","","48","","3","","0","","0","","60",""
"Tiffany Renee Briscoe","DEM","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Dennis Knill","DEM","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Matthew Lydick","REP","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Barbara A. Prokopich","REP","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Santa Claus","IND","President - Vice Pres","","","Y","1","0","0","","0","","0","","1",""
"Richard Duncan","IND","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Bruce Mlynski","IND","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Kevin M. Thorne","IND","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"James Clymer","CON","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Virgil Goode","CON","President - Vice Pres","","","Y","1","0","0","","0","","0","","1",""
"Ross C. Rocky Anderson","OTH","President - Vice Pres","","","Y","3","0","0","","0","","0","","3",""
"Andre Barnett","OTH","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Roseanne Barr","OTH","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Will Christensen","OTH","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Stephen Durham","OTH","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Merlin Miller","OTH","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Leon Leo Ray","OTH","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Michael David Boyles","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Theodis (Ted) Brown, Sr.","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Paul Chehade","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"David M. Crosby","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Fred Donald Dickson, Jr.","UNF","President - Vice Pres","","","Y","1","0","0","","0","","0","","1",""
"Robert William Dietz","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Dwight Kenneth French","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Darrell Hykes","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Nelson Keyton","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Dean Morstad","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Deonia Neveu","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Terrance James O'Hara","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0",""
"Jill Reed","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Cecil James Roth","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Sheila Tittle","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Other Write-Ins","BOT","President - Vice Pres","","","Y","18","0","2","","0","","0","","21",""
"Ben Cardin","DEM","U.S. Senator           ","","Y","","2699","","277","","63","","38","","4312",""
"Daniel John Bongino","REP","U.S. Senator           ","","","","2544","","223","","23","","41","","3608",""
"Dean Ahmad","LIB","U.S. Senator           ","","","","72","","7","","1","","0","","88",""
"S. Rob Sobhani","UNF","U.S. Senator           ","","","","1308","","29","","14","","1","","1660",""
"Lih Young","DEM","U.S. Senator           ","","","Y","0","0","0","","0","","0","","0",""
"Mary Podlesak","REP","U.S. Senator           ","","","Y","1","0","0","","0","","0","","1",""
"Brandy Baker","UNF","U.S. Senator           ","","","Y","1","0","0","","0","","0","","1",""
"Ed Tinus","UNF","U.S. Senator           ","","","Y","0","0","0","","0","","0","","0",""
"Other Write-Ins","BOT","U.S. Senator           ","","","Y","20","0","0","","0","","1","","30",""
"Wendy Rosen","DEM","U.S. Congress","01","","","1608","","104","","46","","21","","2185",""
"Andy Harris","REP","U.S. Congress","01","Y","","3539","","259","","33","","48","","4799",""
"Muir Wayne Boda","LIB","U.S. Congress","01","","","201","","14","","3","","0","","265",""
"John LaFerla","DEM","U.S. Congress","01","","Y","1037","0","127","","7","","6","","1887",""
"Michael Calpino","UNF","U.S. Congress","01","","Y","5","0","0","","0","","0","","7",""
"Douglas Dryden Rae","UNF","U.S. Congress","01","","Y","11","0","1","","0","","1","","18",""
"Other Write-Ins","BOT","U.S. Congress","01","","Y","26","0","5","","4","","4","","196",""
"Stuart R. Berger","BOT","Judge Spec Appeal at Lg","","Y","","4428","993","330","73","75","12","53","7","6524","1371"
"Nivek Johnson","NON","Board of Education     ","","","","2034","","134","","26","","16","","3053",""
"J. Brian Kirby","NON","Board of Education     ","","Y","","4145","","298","","46","","41","","5795",""
"Bryan Williams","NON","Board of Education     ","","Y","","4269","","295","","42","","49","","6086",""
"Other Write-Ins","NON","Board of Education     ","","","Y","51","","4","","1","","0","","75",""
