"County","Election District","Election Precinct","Candidate Name","Party","Office Name","Office District","Winner","Write-In?","Election Night Votes","Election Night Votes Against"
"16","001","001","Barack Obama","DEM","President - Vice Pres","","Y","","521",""
"16","001","001","Mitt Romney","REP","President - Vice Pres","","","","752",""
"16","001","001","Gary Johnson","LIB","President - Vice Pres","","","","21",""
"16","001","001","Jill Stein","GRN","President - Vice Pres","","","","11",""
"16","001","001","Tiffany Renee Briscoe","DEM","President - Vice Pres","","","Y","0",""
"16","001","001","Dennis Knill","DEM","President - Vice Pres","","","Y","0",""
"16","001","001","Matthew Lydick","REP","President - Vice Pres","","","Y","0",""
"16","001","001","Barbara A. Prokopich","REP","President - Vice Pres","","","Y","0",""
"16","001","001","Santa Claus","IND","President - Vice Pres","","","Y","0",""
"16","001","001","Richard Duncan","IND","President - Vice Pres","","","Y","0",""
"16","001","001","Bruce Mlynski","IND","President - Vice Pres","","","Y","0",""
"16","001","001","Kevin M. Thorne","IND","President - Vice Pres","","","Y","0",""
"16","001","001","James Clymer","CON","President - Vice Pres","","","Y","0",""
"16","001","001","Virgil Goode","CON","President - Vice Pres","","","Y","0",""
"16","001","001","Ross C. Rocky Anderson","OTH","President - Vice Pres","","","Y","0",""
"16","001","001","Andre Barnett","OTH","President - Vice Pres","","","Y","0",""
"16","001","001","Roseanne Barr","OTH","President - Vice Pres","","","Y","0",""
"16","001","001","Will Christensen","OTH","President - Vice Pres","","","Y","0",""
"16","001","001","Stephen Durham","OTH","President - Vice Pres","","","Y","0",""
"16","001","001","Merlin Miller","OTH","President - Vice Pres","","","Y","0",""
"16","001","001","Leon Leo Ray","OTH","President - Vice Pres","","","Y","0",""
"16","001","001","Michael David Boyles","UNF","President - Vice Pres","","","Y","0",""
"16","001","001","Theodis (Ted) Brown, Sr.","UNF","President - Vice Pres","","","Y","0",""
"16","001","001","Paul Chehade","UNF","President - Vice Pres","","","Y","0",""
"16","001","001","David M. Crosby","UNF","President - Vice Pres","","","Y","0",""
"16","001","001","Fred Donald Dickson, Jr.","UNF","President - Vice Pres","","","Y","0",""
"16","001","001","Robert William Dietz","UNF","President - Vice Pres","","","Y","0",""
"16","001","001","Dwight Kenneth French","UNF","President - Vice Pres","","","Y","0",""
"16","001","001","Darrell Hykes","UNF","President - Vice Pres","","","Y","0",""
"16","001","001","Nelson Keyton","UNF","President - Vice Pres","","","Y","0",""
"16","001","001","Dean Morstad","UNF","President - Vice Pres","","","Y","0",""
"16","001","001","Deonia Neveu","UNF","President - Vice Pres","","","Y","0",""
"16","001","001","Terrance James O'Hara","UNF","President - Vice Pres","","","Y","0",""
"16","001","001","Jill Reed","UNF","President - Vice Pres","","","Y","0",""
"16","001","001","Cecil James Roth","UNF","President - Vice Pres","","","Y","0",""
"16","001","001","Sheila Tittle","UNF","President - Vice Pres","","","Y","0",""
"16","001","001","Other Write-Ins","BOT","President - Vice Pres","","","Y","4",""
"16","001","001","Ben Cardin","DEM","U.S. Senator           ","","Y","","437",""
"16","001","001","Daniel John Bongino","REP","U.S. Senator           ","","","","601",""
"16","001","001","Dean Ahmad","LIB","U.S. Senator           ","","","","19",""
"16","001","001","S. Rob Sobhani","UNF","U.S. Senator           ","","","","221",""
"16","001","001","Lih Young","DEM","U.S. Senator           ","","","Y","0",""
"16","001","001","Mary Podlesak","REP","U.S. Senator           ","","","Y","0",""
"16","001","001","Brandy Baker","UNF","U.S. Senator           ","","","Y","0",""
"16","001","001","Ed Tinus","UNF","U.S. Senator           ","","","Y","0",""
"16","001","001","Other Write-Ins","BOT","U.S. Senator           ","","","Y","0",""
"16","001","001","Chris Van Hollen","DEM","U.S. Congress","08","Y","","530",""
"16","001","001","Ken Timmerman","REP","U.S. Congress","08","","","668",""
"16","001","001","Mark Grannis","LIB","U.S. Congress","08","","","29",""
"16","001","001","George Gluck","GRN","U.S. Congress","08","","","23",""
"16","001","001","Other Write-Ins","BOT","U.S. Congress","08","","Y","3",""
"16","001","001","Anne K. Albright","BOT","Judge Circuit Court","06","Y","","720",""
"16","001","001","Michael D. Mason","BOT","Judge Circuit Court","06","Y","","688",""
"16","001","001","Louise G. Scrivener","BOT","Judge Circuit Court","06","Y","","640",""
"16","001","001","Other Write-Ins","BOT","Judge Circuit Court","06","","Y","18",""
"16","001","001","Stuart R. Berger","BOT","Judge Spec Appeal at Lg","","Y","","736","174"
"16","001","001","Phil Kauffman","NON","Board of Ed at Large","","Y","","555",""
"16","001","001","Morris Panner","NON","Board of Ed at Large","","","","266",""
"16","001","001","Other Write-Ins","NON","Board of Ed at Large","","","Y","11",""
"16","001","001","Fred Evans","NON","Board of Education     ","002","","","463",""
"16","001","001","Rebecca Smondrowski","NON","Board of Education     ","002","Y","","399",""
"16","001","001","Other Write-Ins","NON","Board of Education     ","002","","Y","8",""
"16","001","001","Christopher Barclay","NON","Board of Education     ","004","Y","","447",""
"16","001","001","Annita Seckinger","NON","Board of Education     ","004","","","358",""
"16","001","001","Other Write-Ins","NON","Board of Education     ","004","","Y","7",""
"16","001","002","Barack Obama","DEM","President - Vice Pres","","Y","","1038",""
