"Candidate Name","Party","Office Name","Office District","Winner","Write-In?","Election Night Votes","Election Night Votes Against","Absentees Votes","Absentees Votes Against","Provisional Votes","Provisional Votes Against","2nd Absentees Votes","2nd Absentees Votes Against","Total Votes","Total Votes Against"
"Barack Obama","DEM","President - Vice Pres","","Y","","224400","","5213","","8903","","22651","","323400",""
"Mitt Romney","REP","President - Vice Pres","","","","96568","","2070","","2183","","8129","","123353",""
"Gary Johnson","LIB","President - Vice Pres","","","","3467","","43","","124","","304","","4382",""
"Jill Stein","GRN","President - Vice Pres","","","","2418","","43","","96","","273","","3282",""
"Tiffany Renee Briscoe","DEM","President - Vice Pres","","","Y","0","0","0","","0","","0","","1",""
"Dennis Knill","DEM","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Matthew Lydick","REP","President - Vice Pres","","","Y","2","0","0","","0","","0","","2",""
"Barbara A. Prokopich","REP","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Santa Claus","IND","President - Vice Pres","","","Y","39","0","0","","0","","0","","43",""
"Richard Duncan","IND","President - Vice Pres","","","Y","1","0","0","","0","","0","","1",""
"Bruce Mlynski","IND","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Kevin M. Thorne","IND","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"James Clymer","CON","President - Vice Pres","","","Y","2","0","0","","0","","0","","2",""
"Virgil Goode","CON","President - Vice Pres","","","Y","43","0","1","","1","","0","","52",""
"Ross C. Rocky Anderson","OTH","President - Vice Pres","","","Y","42","0","1","","1","","8","","70",""
"Andre Barnett","OTH","President - Vice Pres","","","Y","2","0","1","","0","","1","","5",""
"Roseanne Barr","OTH","President - Vice Pres","","","Y","7","0","0","","0","","0","","7",""
"Will Christensen","OTH","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Stephen Durham","OTH","President - Vice Pres","","","Y","3","0","0","","0","","0","","3",""
"Merlin Miller","OTH","President - Vice Pres","","","Y","8","0","0","","0","","0","","8",""
"Leon Leo Ray","OTH","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Michael David Boyles","UNF","President - Vice Pres","","","Y","1","0","0","","0","","0","","1",""
