"Vote Type (FOR=1,AGAINST=2)","Candidate Name","Party","Office Name","Office District","Winner","Write-In?", CONC 005,CONC 004,CONC 002,CONC 001,CONC 003
1,"Barack Obama",DEM,President - Vice Pres,,Y,,44210,42833,40083,56517,40757
1,"Mitt Romney",REP,President - Vice Pres,,,,9782,19423,21671,26973,18719
1,"Gary Johnson",LIB,President - Vice Pres,,,,533,708,815,766,645
1,"Jill Stein",GRN,President - Vice Pres,,,,541,480,415,552,430
1,"Tiffany Renee Briscoe",DEM,President - Vice Pres,,,Y,0,0,0,0,0
1,"Dennis Knill",DEM,President - Vice Pres,,,Y,0,0,0,0,0
1,"Matthew Lydick",REP,President - Vice Pres,,,Y,1,0,0,0,1
1,"Barbara A. Prokopich",REP,President - Vice Pres,,,Y,0,0,0,0,0
1,"Santa Claus",IND,President - Vice Pres,,,Y,8,8,8,7,8
1,"Richard Duncan",IND,President - Vice Pres,,,Y,0,0,0,0,1
1,"Bruce Mlynski",IND,President - Vice Pres,,,Y,0,0,0,0,0
1,"Kevin M. Thorne",IND,President - Vice Pres,,,Y,0,0,0,0,0
1,"James Clymer",CON,President - Vice Pres,,,Y,0,1,0,0,1
1,"Virgil Goode",CON,President - Vice Pres,,,Y,4,7,8,9,15
1,"Ross C. Rocky Anderson",OTH,President - Vice Pres,,,Y,12,10,3,11,6
1,"Andre Barnett",OTH,President - Vice Pres,,,Y,0,1,0,0,1
1,"Roseanne Barr",OTH,President - Vice Pres,,,Y,1,0,3,2,1
1,"Will Christensen",OTH,President - Vice Pres,,,Y,0,0,0,0,0
1,"Stephen Durham",OTH,President - Vice Pres,,,Y,0,1,0,1,1
1,"Merlin Miller",OTH,President - Vice Pres,,,Y,1,2,2,1,2
1,"Leon Leo Ray",OTH,President - Vice Pres,,,Y,0,0,0,0,0
1,"Michael David Boyles",UNF,President - Vice Pres,,,Y,0,1,0,0,0
1,"Theodis (Ted) Brown, Sr.",UNF,President - Vice Pres,,,Y,0,0,0,0,0
1,"Paul Chehade",UNF,President - Vice Pres,,,Y,0,0,0,0,0
1,"David M. Crosby",UNF,President - Vice Pres,,,Y,0,1,0,0,0
1,"Fred Donald Dickson, Jr.",UNF,President - Vice Pres,,,Y,0,0,0,0,0
1,"Robert William Dietz",UNF,President - Vice Pres,,,Y,0,0,0,0,0
1,"Dwight Kenneth French",UNF,President - Vice Pres,,,Y,0,0,0,0,0
1,"Darrell Hykes",UNF,President - Vice Pres,,,Y,0,0,0,0,0
1,"Nelson Keyton",UNF,President - Vice Pres,,,Y,0,0,0,0,0
1,"Dean Morstad",UNF,President - Vice Pres,,,Y,0,0,0,0,0
1,"Deonia Neveu",UNF,President - Vice Pres,,,Y,0,0,0,0,0
1,"Terrance James O'Hara",UNF,President - Vice Pres,,,Y,0,0,0,0,0
1,"Jill Reed",UNF,President - Vice Pres,,,Y,0,0,0,0,1
1,"Cecil James Roth",UNF,President - Vice Pres,,,Y,0,0,0,0,0
1,"Sheila Tittle",UNF,President - Vice Pres,,,Y,0,0,0,0,0
1,"Other Write-Ins",BOT,President - Vice Pres,,,Y,184,246,239,220,195
1,"Ben Cardin",DEM,U.S. Senator           ,,Y,,40148,37917,33986,52478,36165
1,"Daniel John Bongino",REP,U.S. Senator           ,,,,7184,14704,17150,19625,14031
1,"Dean Ahmad",LIB,U.S. Senator           ,,,,776,939,1014,965,853
