"Vote Type (FOR=1,AGAINST=2)","Candidate Name","Party","Office Name","Office District","Winner","Write-In?", CONC 005,CONC 008,CONC 004,CONC 002,CONC 006,CONC 007,CONC 009,CONC 001,CONC 003
1,"Barack Obama",DEM,President - Vice Pres,,Y,,27732,31999,26127,15924,37160,28769,36442,24962,21638
1,"Mitt Romney",REP,President - Vice Pres,,,,1232,2372,8040,1431,1668,438,4387,6371,3503
1,"Gary Johnson",LIB,President - Vice Pres,,,,69,71,325,93,74,43,162,296,274
1,"Jill Stein",GRN,President - Vice Pres,,,,70,46,222,129,63,33,107,195,198
1,"Tiffany Renee Briscoe",DEM,President - Vice Pres,,,Y,0,1,0,1,0,1,0,1,0
1,"Dennis Knill",DEM,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0
1,"Matthew Lydick",REP,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0
1,"Barbara A. Prokopich",REP,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0
1,"Santa Claus",IND,President - Vice Pres,,,Y,1,0,4,1,0,0,3,3,2
1,"Richard Duncan",IND,President - Vice Pres,,,Y,0,0,1,0,0,0,0,0,0
1,"Bruce Mlynski",IND,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0
1,"Kevin M. Thorne",IND,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0
1,"James Clymer",CON,President - Vice Pres,,,Y,0,0,0,0,0,0,1,1,1
1,"Virgil Goode",CON,President - Vice Pres,,,Y,0,0,6,0,7,2,1,2,1
1,"Ross C. Rocky Anderson",OTH,President - Vice Pres,,,Y,3,0,1,1,0,0,0,2,0
1,"Andre Barnett",OTH,President - Vice Pres,,,Y,0,0,0,0,0,0,1,0,0
1,"Roseanne Barr",OTH,President - Vice Pres,,,Y,0,0,0,1,0,0,1,0,2
1,"Will Christensen",OTH,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0
1,"Stephen Durham",OTH,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0
1,"Merlin Miller",OTH,President - Vice Pres,,,Y,0,0,1,0,0,0,0,0,0
1,"Leon Leo Ray",OTH,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0
1,"Michael David Boyles",UNF,President - Vice Pres,,,Y,0,0,1,0,0,0,0,0,0
1,"Theodis (Ted) Brown, Sr.",UNF,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0
1,"Paul Chehade",UNF,President - Vice Pres,,,Y,0,3,0,0,0,0,0,1,0
1,"David M. Crosby",UNF,President - Vice Pres,,,Y,0,0,1,0,0,0,0,0,0
1,"Fred Donald Dickson, Jr.",UNF,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0
1,"Robert William Dietz",UNF,President - Vice Pres,,,Y,0,0,1,0,0,0,0,0,0
1,"Dwight Kenneth French",UNF,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0
1,"Darrell Hykes",UNF,President - Vice Pres,,,Y,0,1,0,0,0,1,1,0,0
1,"Nelson Keyton",UNF,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0
1,"Dean Morstad",UNF,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0
1,"Deonia Neveu",UNF,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0
1,"Terrance James O'Hara",UNF,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0
1,"Jill Reed",UNF,President - Vice Pres,,,Y,0,0,0,0,0,0,0,1,0
1,"Cecil James Roth",UNF,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0
1,"Sheila Tittle",UNF,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0
1,"Other Write-Ins",BOT,President - Vice Pres,,,Y,58,69,138,43,90,50,107,80,117
1,"Ben Cardin",DEM,U.S. Senator           ,,Y,,24215,27737,22806,14021,32465,24848,31420,21835,19083
1,"Daniel John Bongino",REP,U.S. Senator           ,,,,927,1497,5695,1063,1130,440,2611,4403,2439
1,"Dean Ahmad",LIB,U.S. Senator           ,,,,258,258,468,206,275,217,280,483,390
1,"S. Rob Sobhani",UNF,U.S. Senator           ,,,,2664,4065,4952,1521,4183,2663,5863,4113,2755
1,"Lih Young",DEM,U.S. Senator           ,,,Y,0,1,1,1,2,0,2,2,3
1,"Mary Podlesak",REP,U.S. Senator           ,,,Y,0,0,0,0,0,0,0,0,0
1,"Brandy Baker",UNF,U.S. Senator           ,,,Y,1,2,2,0,1,0,1,1,5
1,"Ed Tinus",UNF,U.S. Senator           ,,,Y,0,0,0,0,0,0,0,0,0
1,"Other Write-Ins",BOT,U.S. Senator           ,,,Y,19,24,30,24,31,26,33,23,25
1,"Donna F. Edwards",DEM,U.S. Congress,04,Y,,26209,20715,,13264,34340,26994,3034,16902,5709
1,"Faith M. Loudon",REP,U.S. Congress,04,,,1178,1245,,1009,1444,555,181,3735,443
