"Candidate Name","Party","Office Name","Office District","Winner","Write-In?","Election Night Votes","Election Night Votes Against","Absentees Votes","Absentees Votes Against","Provisional Votes","Provisional Votes Against","2nd Absentees Votes","2nd Absentees Votes Against","Total Votes","Total Votes Against"
"Barack Obama","DEM","President - Vice Pres","","Y","","6310","","344","","162","","152","","8556",""
"Mitt Romney","REP","President - Vice Pres","","","","12506","","530","","220","","194","","15823",""
"Gary Johnson","LIB","President - Vice Pres","","","","230","","5","","10","","12","","282",""
"Jill Stein","GRN","President - Vice Pres","","","","110","","1","","3","","1","","126",""
"Tiffany Renee Briscoe","DEM","President - Vice Pres","","","Y","1","0","0","","0","","0","","1",""
"Dennis Knill","DEM","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Matthew Lydick","REP","President - Vice Pres","","","Y","1","0","0","","0","","0","","1",""
"Barbara A. Prokopich","REP","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Santa Claus","IND","President - Vice Pres","","","Y","8","0","0","","0","","0","","8",""
"Richard Duncan","IND","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Bruce Mlynski","IND","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Kevin M. Thorne","IND","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"James Clymer","CON","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Virgil Goode","CON","President - Vice Pres","","","Y","7","0","0","","0","","0","","8",""
"Ross C. Rocky Anderson","OTH","President - Vice Pres","","","Y","1","0","0","","0","","0","","1",""
"Andre Barnett","OTH","President - Vice Pres","","","Y","0","0","0","","0","","1","","1",""
"Roseanne Barr","OTH","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Will Christensen","OTH","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Stephen Durham","OTH","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Merlin Miller","OTH","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Leon Leo Ray","OTH","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Michael David Boyles","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Theodis (Ted) Brown, Sr.","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Paul Chehade","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"David M. Crosby","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Fred Donald Dickson, Jr.","UNF","President - Vice Pres","","","Y","1","0","0","","0","","0","","1",""
"Robert William Dietz","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Dwight Kenneth French","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Darrell Hykes","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Nelson Keyton","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Dean Morstad","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Deonia Neveu","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Terrance James O'Hara","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0",""
"Jill Reed","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Cecil James Roth","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Sheila Tittle","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Other Write-Ins","BOT","President - Vice Pres","","","Y","67","0","1","","4","","4","","80",""
"Ben Cardin","DEM","U.S. Senator           ","","Y","","5316","","336","","131","","144","","7385",""
"Daniel John Bongino","REP","U.S. Senator           ","","","","9796","","435","","172","","165","","12540",""
"Dean Ahmad","LIB","U.S. Senator           ","","","","179","","5","","9","","10","","217",""
"S. Rob Sobhani","UNF","U.S. Senator           ","","","","3636","","82","","75","","30","","4344",""
"Lih Young","DEM","U.S. Senator           ","","","Y","3","0","0","","0","","0","","4",""
"Mary Podlesak","REP","U.S. Senator           ","","","Y","4","0","0","","0","","0","","4",""
"Brandy Baker","UNF","U.S. Senator           ","","","Y","1","0","0","","0","","0","","1",""
"Ed Tinus","UNF","U.S. Senator           ","","","Y","0","0","0","","0","","0","","1",""
"Other Write-Ins","BOT","U.S. Senator           ","","","Y","14","0","1","","1","","0","","18",""
"Wendy Rosen","DEM","U.S. Congress","01","","","4436","","200","","123","","93","","5744",""
"Andy Harris","REP","U.S. Congress","01","Y","","12281","","519","","217","","206","","15492",""
"Muir Wayne Boda","LIB","U.S. Congress","01","","","593","","32","","11","","13","","771",""
"John LaFerla","DEM","U.S. Congress","01","","Y","1001","0","70","","12","","33","","1375",""
"Michael Calpino","UNF","U.S. Congress","01","","Y","11","0","0","","0","","0","","14",""
"Douglas Dryden Rae","UNF","U.S. Congress","01","","Y","0","0","0","","0","","0","","0",""
"Other Write-Ins","BOT","U.S. Congress","01","","Y","97","0","0","","0","","3","","387",""
"Stuart R. Berger","BOT","Judge Spec Appeal at Lg","","Y","","13208","2410","577","99","270","46","215","44","17070","3109"
"Beverly G. Kelley","NON","Board of Education     ","003","Y","","14516","","570","","276","","237","","18587",""
"Other Write-Ins","NON","Board of Education     ","003","","Y","123","","6","","4","","5","","165",""
"Tammy Harper","NON","Board of Education     ","004","Y","","14665","","547","","272","","246","","18746",""
"Other Write-Ins","NON","Board of Education     ","004","","Y","104","","10","","3","","1","","149",""
