"Vote Type (FOR=1,AGAINST=2)","Candidate Name","Party","Office Name","Office District","Winner","Write-In?", CONC 004,CONC 002,CONC 001,CONC 003
1,"Barack Obama",DEM,President - Vice Pres,,Y,,1801,1216,1427,1866
1,"Mitt Romney",REP,President - Vice Pres,,,,3775,2308,2894,3529
1,"Gary Johnson",LIB,President - Vice Pres,,,,76,34,49,71
1,"Jill Stein",GRN,President - Vice Pres,,,,38,17,25,30
1,"Tiffany Renee Briscoe",DEM,President - Vice Pres,,,Y,0,0,0,1
1,"Dennis Knill",DEM,President - Vice Pres,,,Y,0,0,0,0
1,"Matthew Lydick",REP,President - Vice Pres,,,Y,1,0,0,0
1,"Barbara A. Prokopich",REP,President - Vice Pres,,,Y,0,0,0,0
1,"Santa Claus",IND,President - Vice Pres,,,Y,5,1,0,2
1,"Richard Duncan",IND,President - Vice Pres,,,Y,0,0,0,0
1,"Bruce Mlynski",IND,President - Vice Pres,,,Y,0,0,0,0
1,"Kevin M. Thorne",IND,President - Vice Pres,,,Y,0,0,0,0
1,"James Clymer",CON,President - Vice Pres,,,Y,0,0,0,0
1,"Virgil Goode",CON,President - Vice Pres,,,Y,1,1,5,0
1,"Ross C. Rocky Anderson",OTH,President - Vice Pres,,,Y,1,0,0,0
1,"Andre Barnett",OTH,President - Vice Pres,,,Y,0,0,0,0
1,"Roseanne Barr",OTH,President - Vice Pres,,,Y,0,0,0,0
1,"Will Christensen",OTH,President - Vice Pres,,,Y,0,0,0,0
1,"Stephen Durham",OTH,President - Vice Pres,,,Y,0,0,0,0
1,"Merlin Miller",OTH,President - Vice Pres,,,Y,0,0,0,0
1,"Leon Leo Ray",OTH,President - Vice Pres,,,Y,0,0,0,0
1,"Michael David Boyles",UNF,President - Vice Pres,,,Y,0,0,0,0
1,"Theodis (Ted) Brown, Sr.",UNF,President - Vice Pres,,,Y,0,0,0,0
1,"Paul Chehade",UNF,President - Vice Pres,,,Y,0,0,0,0
1,"David M. Crosby",UNF,President - Vice Pres,,,Y,0,0,0,0
1,"Fred Donald Dickson, Jr.",UNF,President - Vice Pres,,,Y,0,0,1,0
1,"Robert William Dietz",UNF,President - Vice Pres,,,Y,0,0,0,0
1,"Dwight Kenneth French",UNF,President - Vice Pres,,,Y,0,0,0,0
1,"Darrell Hykes",UNF,President - Vice Pres,,,Y,0,0,0,0
1,"Nelson Keyton",UNF,President - Vice Pres,,,Y,0,0,0,0
1,"Dean Morstad",UNF,President - Vice Pres,,,Y,0,0,0,0
1,"Deonia Neveu",UNF,President - Vice Pres,,,Y,0,0,0,0
1,"Terrance James O'Hara",UNF,President - Vice Pres,,,Y,0,0,0,0
1,"Jill Reed",UNF,President - Vice Pres,,,Y,0,0,0,0
1,"Cecil James Roth",UNF,President - Vice Pres,,,Y,0,0,0,0
1,"Sheila Tittle",UNF,President - Vice Pres,,,Y,0,0,0,0
1,"Other Write-Ins",BOT,President - Vice Pres,,,Y,14,17,16,20
1,"Ben Cardin",DEM,U.S. Senator           ,,Y,,1443,1007,1289,1577
1,"Daniel John Bongino",REP,U.S. Senator           ,,,,3085,1808,2025,2878
1,"Dean Ahmad",LIB,U.S. Senator           ,,,,47,32,46,54
1,"S. Rob Sobhani",UNF,U.S. Senator           ,,,,1045,676,995,920
1,"Lih Young",DEM,U.S. Senator           ,,,Y,0,0,2,1
1,"Mary Podlesak",REP,U.S. Senator           ,,,Y,2,1,1,0
1,"Brandy Baker",UNF,U.S. Senator           ,,,Y,0,1,0,0
1,"Ed Tinus",UNF,U.S. Senator           ,,,Y,0,0,0,0
1,"Other Write-Ins",BOT,U.S. Senator           ,,,Y,2,4,4,4
1,"Wendy Rosen",DEM,U.S. Congress,01,,,1311,853,942,1330
1,"Andy Harris",REP,U.S. Congress,01,Y,,3730,2238,2776,3537
1,"Muir Wayne Boda",LIB,U.S. Congress,01,,,182,90,142,179
1,"John LaFerla",DEM,U.S. Congress,01,,Y,205,216,362,218
1,"Michael Calpino",UNF,U.S. Congress,01,,Y,2,1,3,5
1,"Douglas Dryden Rae",UNF,U.S. Congress,01,,Y,0,0,0,0
1,"Other Write-Ins",BOT,U.S. Congress,01,,Y,38,14,28,17
1,"Stuart R. Berger",BOT,Judge Spec Appeal at Lg,,Y,,3932,2469,2995,3812
2,"Stuart R. Berger",BOT,Judge Spec Appeal at Lg,,Y,,725,401,616,668
1,"Beverly G. Kelley",NON,Board of Education     ,003,Y,,4334,2682,3317,4183
1,"Other Write-Ins",NON,Board of Education     ,003,,Y,38,19,31,35
1,"Tammy Harper",NON,Board of Education     ,004,Y,,4478,2674,3308,4205
1,"Other Write-Ins",NON,Board of Education     ,004,,Y,38,19,24,23
