"Candidate Name","Party","Office Name","Office District","Winner","Write-In?","Election Night Votes","Election Night Votes Against","Absentees Votes","Absentees Votes Against","Provisional Votes","Provisional Votes Against","2nd Absentees Votes","2nd Absentees Votes Against","Total Votes","Total Votes Against"
"Barack Obama","DEM","President - Vice Pres","","Y","","3552","","189","","538","","35","","5240",""
"Mitt Romney","REP","President - Vice Pres","","","","3996","","247","","72","","17","","5042",""
"Gary Johnson","LIB","President - Vice Pres","","","","53","","7","","3","","1","","71",""
"Jill Stein","GRN","President - Vice Pres","","","","24","","1","","1","","3","","33",""
"Tiffany Renee Briscoe","DEM","President - Vice Pres","","","Y","1","0","0","","0","","0","","1",""
"Dennis Knill","DEM","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Matthew Lydick","REP","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Barbara A. Prokopich","REP","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Santa Claus","IND","President - Vice Pres","","","Y","1","0","0","","0","","0","","2",""
"Richard Duncan","IND","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Bruce Mlynski","IND","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Kevin M. Thorne","IND","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"James Clymer","CON","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Virgil Goode","CON","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Ross C. Rocky Anderson","OTH","President - Vice Pres","","","Y","2","0","0","","0","","0","","2",""
"Andre Barnett","OTH","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Roseanne Barr","OTH","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Will Christensen","OTH","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Stephen Durham","OTH","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Merlin Miller","OTH","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Leon Leo Ray","OTH","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Michael David Boyles","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Theodis (Ted) Brown, Sr.","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Paul Chehade","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"David M. Crosby","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Fred Donald Dickson, Jr.","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Robert William Dietz","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Dwight Kenneth French","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Darrell Hykes","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Nelson Keyton","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Dean Morstad","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Deonia Neveu","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Terrance James O'Hara","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0",""
"Jill Reed","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Cecil James Roth","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Sheila Tittle","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Other Write-Ins","BOT","President - Vice Pres","","","Y","5","0","0","","0","","1","","8",""
"Ben Cardin","DEM","U.S. Senator           ","","Y","","3089","","196","","498","","34","","4686",""
"Daniel John Bongino","REP","U.S. Senator           ","","","","2801","","179","","54","","14","","3568",""
"Dean Ahmad","LIB","U.S. Senator           ","","","","60","","4","","7","","0","","86",""
"S. Rob Sobhani","UNF","U.S. Senator           ","","","","1387","","54","","35","","6","","1682",""
"Lih Young","DEM","U.S. Senator           ","","","Y","0","0","0","","0","","0","","2",""
"Mary Podlesak","REP","U.S. Senator           ","","","Y","0","0","0","","0","","0","","0",""
"Brandy Baker","UNF","U.S. Senator           ","","","Y","0","0","0","","0","","0","","0",""
"Ed Tinus","UNF","U.S. Senator           ","","","Y","1","0","0","","0","","0","","1",""
"Other Write-Ins","BOT","U.S. Senator           ","","","Y","6","0","1","","1","","1","","10",""
"Wendy Rosen","DEM","U.S. Congress","01","","","2705","","132","","224","","27","","3804",""
"Andy Harris","REP","U.S. Congress","01","Y","","3939","","247","","68","","19","","4978",""
"Muir Wayne Boda","LIB","U.S. Congress","01","","","303","","29","","7","","3","","400",""
"John LaFerla","DEM","U.S. Congress","01","","Y","208","0","12","","2","","2","","304",""
"Michael Calpino","UNF","U.S. Congress","01","","Y","0","0","0","","0","","0","","0",""
"Douglas Dryden Rae","UNF","U.S. Congress","01","","Y","0","0","0","","0","","0","","0",""
"Other Write-Ins","BOT","U.S. Congress","01","","Y","13","0","0","","0","","2","","22",""
"Stuart R. Berger","BOT","Judge Spec Appeal at Lg","","Y","","5042","1095","253","62","439","103","24","10","6865","1501"
"Warner Sumpter","NON","Board of Education     ","002","Y","","1010","","37","","31","","7","","1441",""
"Other Write-Ins","NON","Board of Education     ","002","","Y","13","","0","","0","","0","","15",""
"Dan Kuebler","NON","Board of Education     ","004","Y","","1240","","58","","6","","5","","1530",""
"H. DeWayne Whittington","NON","Board of Education     ","004","","","571","","32","","8","","6","","713",""
"Other Write-Ins","NON","Board of Education     ","004","","Y","4","","0","","0","","0","","4",""
