"Vote Type (FOR=1,AGAINST=2)","Candidate Name","Party","Office Name","Office District","Winner","Write-In?", CONC 005,CONC 004,CONC 002,CONC 001,CONC 003
1,"Barack Obama",DEM,President - Vice Pres,,Y,,703,691,780,665,713
1,"Mitt Romney",REP,President - Vice Pres,,,,1007,1262,513,230,984
1,"Gary Johnson",LIB,President - Vice Pres,,,,12,18,10,2,11
1,"Jill Stein",GRN,President - Vice Pres,,,,5,9,3,0,7
1,"Tiffany Renee Briscoe",DEM,President - Vice Pres,,,Y,0,0,0,1,0
1,"Dennis Knill",DEM,President - Vice Pres,,,Y,0,0,0,0,0
1,"Matthew Lydick",REP,President - Vice Pres,,,Y,0,0,0,0,0
1,"Barbara A. Prokopich",REP,President - Vice Pres,,,Y,0,0,0,0,0
1,"Santa Claus",IND,President - Vice Pres,,,Y,0,0,0,1,0
1,"Richard Duncan",IND,President - Vice Pres,,,Y,0,0,0,0,0
1,"Bruce Mlynski",IND,President - Vice Pres,,,Y,0,0,0,0,0
1,"Kevin M. Thorne",IND,President - Vice Pres,,,Y,0,0,0,0,0
1,"James Clymer",CON,President - Vice Pres,,,Y,0,0,0,0,0
1,"Virgil Goode",CON,President - Vice Pres,,,Y,0,0,0,0,0
1,"Ross C. Rocky Anderson",OTH,President - Vice Pres,,,Y,0,0,0,0,2
1,"Andre Barnett",OTH,President - Vice Pres,,,Y,0,0,0,0,0
1,"Roseanne Barr",OTH,President - Vice Pres,,,Y,0,0,0,0,0
1,"Will Christensen",OTH,President - Vice Pres,,,Y,0,0,0,0,0
1,"Stephen Durham",OTH,President - Vice Pres,,,Y,0,0,0,0,0
1,"Merlin Miller",OTH,President - Vice Pres,,,Y,0,0,0,0,0
1,"Leon Leo Ray",OTH,President - Vice Pres,,,Y,0,0,0,0,0
1,"Michael David Boyles",UNF,President - Vice Pres,,,Y,0,0,0,0,0
1,"Theodis (Ted) Brown, Sr.",UNF,President - Vice Pres,,,Y,0,0,0,0,0
1,"Paul Chehade",UNF,President - Vice Pres,,,Y,0,0,0,0,0
1,"David M. Crosby",UNF,President - Vice Pres,,,Y,0,0,0,0,0
1,"Fred Donald Dickson, Jr.",UNF,President - Vice Pres,,,Y,0,0,0,0,0
1,"Robert William Dietz",UNF,President - Vice Pres,,,Y,0,0,0,0,0
1,"Dwight Kenneth French",UNF,President - Vice Pres,,,Y,0,0,0,0,0
1,"Darrell Hykes",UNF,President - Vice Pres,,,Y,0,0,0,0,0
1,"Nelson Keyton",UNF,President - Vice Pres,,,Y,0,0,0,0,0
1,"Dean Morstad",UNF,President - Vice Pres,,,Y,0,0,0,0,0
1,"Deonia Neveu",UNF,President - Vice Pres,,,Y,0,0,0,0,0
1,"Terrance James O'Hara",UNF,President - Vice Pres,,,Y,0,0,0,0,0
1,"Jill Reed",UNF,President - Vice Pres,,,Y,0,0,0,0,0
1,"Cecil James Roth",UNF,President - Vice Pres,,,Y,0,0,0,0,0
1,"Sheila Tittle",UNF,President - Vice Pres,,,Y,0,0,0,0,0
1,"Other Write-Ins",BOT,President - Vice Pres,,,Y,0,1,3,0,1
1,"Ben Cardin",DEM,U.S. Senator           ,,Y,,603,577,692,565,652
1,"Daniel John Bongino",REP,U.S. Senator           ,,,,688,911,371,178,653
1,"Dean Ahmad",LIB,U.S. Senator           ,,,,14,22,6,6,12
1,"S. Rob Sobhani",UNF,U.S. Senator           ,,,,327,407,189,110,354
1,"Lih Young",DEM,U.S. Senator           ,,,Y,0,0,0,0,0
1,"Mary Podlesak",REP,U.S. Senator           ,,,Y,0,0,0,0,0
1,"Brandy Baker",UNF,U.S. Senator           ,,,Y,0,0,0,0,0
1,"Ed Tinus",UNF,U.S. Senator           ,,,Y,0,0,0,0,1
1,"Other Write-Ins",BOT,U.S. Senator           ,,,Y,0,2,4,0,0
1,"Wendy Rosen",DEM,U.S. Congress,01,,,486,469,629,565,556
1,"Andy Harris",REP,U.S. Congress,01,Y,,1012,1247,502,250,928
1,"Muir Wayne Boda",LIB,U.S. Congress,01,,,56,96,52,17,82
1,"John LaFerla",DEM,U.S. Congress,01,,Y,37,64,44,15,48
1,"Michael Calpino",UNF,U.S. Congress,01,,Y,0,0,0,0,0
1,"Douglas Dryden Rae",UNF,U.S. Congress,01,,Y,0,0,0,0,0
1,"Other Write-Ins",BOT,U.S. Congress,01,,Y,2,6,1,0,4
1,"Stuart R. Berger",BOT,Judge Spec Appeal at Lg,,Y,,1074,1292,911,638,1127
2,"Stuart R. Berger",BOT,Judge Spec Appeal at Lg,,Y,,262,277,171,127,258
1,"Warner Sumpter",NON,Board of Education     ,002,Y,,,,1010,,
1,"Other Write-Ins",NON,Board of Education     ,002,,Y,,,13,,
1,"Dan Kuebler",NON,Board of Education     ,004,Y,,,1240,,,
1,"H. DeWayne Whittington",NON,Board of Education     ,004,,,,571,,,
1,"Other Write-Ins",NON,Board of Education     ,004,,Y,,4,,,
