"Vote Type (FOR=1,AGAINST=2)","County","Candidate Name","Party","Office Name","Office District","Winner","Write-In?", LEGS 26,LEGS 47,LEGS 02A,LEGS 45,LEGS 37B,LEGS 08,LEGS 17,LEGS 34A,LEGS 28,LEGS 04B,LEGS 03B,LEGS 13,LEGS 12B,LEGS 29B,LEGS 07,LEGS 18,LEGS 21,LEGS 11,LEGS 34B,LEGS 04A,LEGS 38B,LEGS 19,LEGS 20,LEGS 23A,LEGS 22,LEGS 31,LEGS 44,LEGS 16,LEGS 02C,LEGS 39,LEGS 25,LEGS 32,LEGS 43,LEGS 10,LEGS 36,LEGS 09B,LEGS 03A,LEGS 09A,LEGS 29A,LEGS 42,LEGS 14,LEGS 46,LEGS 12A,LEGS 27B,LEGS 29C,LEGS 15,LEGS 01B,LEGS 35A,LEGS 24,LEGS 40,LEGS 41,LEGS 37A,LEGS 01A,LEGS 01C,LEGS 35B,LEGS 06,LEGS 27A,LEGS 30,LEGS 33A,LEGS 33B,LEGS 05A,LEGS 23B,LEGS 38A,LEGS 02B,LEGS 05B
1,00,"Barack Obama",DEM,President - Vice Pres,,Y,,38505,22239,6197,27863,11433,22760,27068,17209,35733,6051,11031,31435,10397,7973,19370,30264,28115,33218,5801,13032,13388,26224,24596,23879,26368,18301,25108,33847,6289,25470,37407,23896,28535,35531,17933,6566,18358,17620,6403,22594,26606,23531,14286,7761,6713,30325,4258,10811,36046,28612,26614,8148,2979,4312,5989,16344,30718,23384,15729,7121,10591,14942,6007,5746,7129
1,00,"Mitt Romney",REP,President - Vice Pres,,,,2513,1691,10988,2875,19245,22097,11142,13330,20269,12926,12785,17560,4100,9301,29401,9444,8691,18666,11044,22352,19804,12539,4214,7178,3924,26136,1683,13544,5253,10375,1385,19680,2971,5121,27784,13135,13407,20434,10457,20633,16551,8357,14260,9170,8876,18759,9127,28146,675,2130,4832,4186,10758,8847,11502,17045,7206,23103,21152,10486,23560,2037,7928,9555,14239
1,00,"Gary Johnson",LIB,President - Vice Pres,,,,76,93,240,167,373,822,448,471,551,346,379,811,229,361,780,460,512,629,287,543,388,389,287,254,242,757,145,432,200,488,75,794,213,315,656,412,599,641,208,747,462,636,582,223,269,501,187,604,57,280,179,102,176,216,303,503,196,729,593,198,685,76,132,227,367
1,00,"Jill Stein",GRN,President - Vice Pres,,,,53,123,126,123,141,358,275,228,272,131,143,399,110,127,377,340,272,323,131,273,184,268,376,127,275,385,143,311,97,269,51,342,266,184,306,150,263,267,123,390,252,293,313,120,97,327,112,249,53,420,158,64,95,133,132,372,124,319,248,108,313,61,53,131,168
1,00,"Tiffany Renee Briscoe",DEM,President - Vice Pres,,,Y,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1,00,"Dennis Knill",DEM,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,00,"Matthew Lydick",REP,President - Vice Pres,,,Y,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,00,"Barbara A. Prokopich",REP,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,00,"Santa Claus",IND,President - Vice Pres,,,Y,0,0,5,3,5,29,5,16,8,12,10,18,3,5,36,5,6,9,8,10,0,6,3,1,3,23,4,1,4,7,1,18,13,11,14,7,12,13,3,11,3,7,21,11,5,9,4,25,1,6,2,0,6,7,6,15,3,16,17,7,15,2,3,5,8
1,00,"Richard Duncan",IND,President - Vice Pres,,,Y,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0
1,00,"Bruce Mlynski",IND,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,00,"Kevin M. Thorne",IND,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
