"Candidate Name","Party","Office Name","Office District","Winner","Write-In?","Election Night Votes","Election Night Votes Against","Absentees Votes","Absentees Votes Against","Provisional Votes","Provisional Votes Against","2nd Absentees Votes","2nd Absentees Votes Against","Total Votes","Total Votes Against"
"Barack Obama","DEM","President - Vice Pres","","Y","","5225","","591","","133","","101","","8808",""
"Mitt Romney","REP","President - Vice Pres","","","","7326","","730","","102","","65","","11339",""
"Gary Johnson","LIB","President - Vice Pres","","","","153","","7","","1","","2","","187",""
"Jill Stein","GRN","President - Vice Pres","","","","58","","1","","5","","1","","76",""
"Tiffany Renee Briscoe","DEM","President - Vice Pres","","","Y","0","0","0","","0","","0","","1",""
"Dennis Knill","DEM","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Matthew Lydick","REP","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Barbara A. Prokopich","REP","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Santa Claus","IND","President - Vice Pres","","","Y","3","0","0","","0","","0","","3",""
"Richard Duncan","IND","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Bruce Mlynski","IND","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Kevin M. Thorne","IND","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"James Clymer","CON","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Virgil Goode","CON","President - Vice Pres","","","Y","0","0","1","","0","","0","","1",""
"Ross C. Rocky Anderson","OTH","President - Vice Pres","","","Y","2","0","0","","0","","0","","2",""
"Andre Barnett","OTH","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Roseanne Barr","OTH","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Will Christensen","OTH","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Stephen Durham","OTH","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Merlin Miller","OTH","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Leon Leo Ray","OTH","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Michael David Boyles","UNF","President - Vice Pres","","","Y","1","0","0","","0","","0","","1",""
"Theodis (Ted) Brown, Sr.","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Paul Chehade","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"David M. Crosby","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Fred Donald Dickson, Jr.","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Robert William Dietz","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Dwight Kenneth French","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Darrell Hykes","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Nelson Keyton","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Dean Morstad","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Deonia Neveu","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Terrance James O'Hara","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0",""
"Jill Reed","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Cecil James Roth","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Sheila Tittle","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Other Write-Ins","BOT","President - Vice Pres","","","Y","28","0","2","","0","","0","","41",""
"Ben Cardin","DEM","U.S. Senator           ","","Y","","4643","","586","","112","","91","","8100",""
"Daniel John Bongino","REP","U.S. Senator           ","","","","5678","","625","","75","","55","","8986",""
"Dean Ahmad","LIB","U.S. Senator           ","","","","136","","3","","1","","2","","173",""
"S. Rob Sobhani","UNF","U.S. Senator           ","","","","2051","","89","","39","","9","","2729",""
"Lih Young","DEM","U.S. Senator           ","","","Y","0","0","0","","0","","0","","3",""
"Mary Podlesak","REP","U.S. Senator           ","","","Y","0","0","0","","0","","0","","0",""
"Brandy Baker","UNF","U.S. Senator           ","","","Y","0","0","0","","0","","0","","1",""
"Ed Tinus","UNF","U.S. Senator           ","","","Y","0","0","0","","0","","0","","0",""
"Other Write-Ins","BOT","U.S. Senator           ","","","Y","16","0","3","","0","","0","","28",""
"Wendy Rosen","DEM","U.S. Congress","01","","","2861","","303","","95","","68","","4406",""
"Andy Harris","REP","U.S. Congress","01","Y","","7246","","706","","100","","65","","11068",""
"Muir Wayne Boda","LIB","U.S. Congress","01","","","648","","62","","11","","4","","963",""
"John LaFerla","DEM","U.S. Congress","01","","Y","1255","0","146","","8","","11","","2630",""
"Michael Calpino","UNF","U.S. Congress","01","","Y","0","0","0","","0","","0","","0",""
"Douglas Dryden Rae","UNF","U.S. Congress","01","","Y","0","0","0","","0","","0","","0",""
"Other Write-Ins","BOT","U.S. Congress","01","","Y","81","0","15","","0","","5","","147",""
"Stuart R. Berger","BOT","Judge Spec Appeal at Lg","","Y","","8811","1571","856","130","170","25","96","10","13969","2424"
"Juanita Sue Hopkins","NON","Board of Education     ","002","Y","","1361","","150","","2","","23","","2433",""
"Other Write-Ins","NON","Board of Education     ","002","","Y","35","","1","","0","","1","","44",""
"Jesse Gomez","NON","Board of Education     ","005","Y","","1592","","109","","11","","13","","2132",""
"Other Write-Ins","NON","Board of Education     ","005","","Y","16","","1","","2","","2","","27",""
"Greg Criniti","NON","Board of Education     ","006","Y","","819","","97","","11","","7","","1485",""
"Andrea Poe","NON","Board of Education     ","006","","","629","","72","","3","","11","","1022",""
