"Candidate Name","Party","Office Name","Office District","Winner","Write-In?","Election Night Votes","Election Night Votes Against","Absentees Votes","Absentees Votes Against","Provisional Votes","Provisional Votes Against","2nd Absentees Votes","2nd Absentees Votes Against","Total Votes","Total Votes Against"
"Barack Obama","DEM","President - Vice Pres","","Y","","14142","","1201","","714","","239","","19635",""
"Mitt Romney","REP","President - Vice Pres","","","","17169","","1078","","374","","176","","21764",""
"Gary Johnson","LIB","President - Vice Pres","","","","393","","26","","14","","9","","487",""
"Jill Stein","GRN","President - Vice Pres","","","","178","","10","","5","","5","","221",""
"Tiffany Renee Briscoe","DEM","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Dennis Knill","DEM","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Matthew Lydick","REP","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Barbara A. Prokopich","REP","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Santa Claus","IND","President - Vice Pres","","","Y","3","0","0","","1","","0","","4",""
"Richard Duncan","IND","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Bruce Mlynski","IND","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Kevin M. Thorne","IND","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"James Clymer","CON","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Virgil Goode","CON","President - Vice Pres","","","Y","7","0","0","","0","","0","","7",""
"Ross C. Rocky Anderson","OTH","President - Vice Pres","","","Y","2","0","0","","0","","0","","3",""
"Andre Barnett","OTH","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Roseanne Barr","OTH","President - Vice Pres","","","Y","2","0","0","","0","","0","","2",""
"Will Christensen","OTH","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Stephen Durham","OTH","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Merlin Miller","OTH","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Leon Leo Ray","OTH","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Michael David Boyles","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Theodis (Ted) Brown, Sr.","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Paul Chehade","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"David M. Crosby","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Fred Donald Dickson, Jr.","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Robert William Dietz","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Dwight Kenneth French","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Darrell Hykes","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Nelson Keyton","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Dean Morstad","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Deonia Neveu","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Terrance James O'Hara","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0",""
"Jill Reed","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Cecil James Roth","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Sheila Tittle","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Other Write-Ins","BOT","President - Vice Pres","","","Y","104","0","7","","5","","2","","136",""
"Ben Cardin","DEM","U.S. Senator           ","","Y","","11938","","1153","","621","","214","","16974",""
"Daniel John Bongino","REP","U.S. Senator           ","","","","11702","","769","","274","","134","","15072",""
"Dean Ahmad","LIB","U.S. Senator           ","","","","358","","23","","25","","12","","452",""
"S. Rob Sobhani","UNF","U.S. Senator           ","","","","6937","","298","","149","","51","","8426",""
"Lih Young","DEM","U.S. Senator           ","","","Y","1","0","0","","0","","0","","1",""
"Mary Podlesak","REP","U.S. Senator           ","","","Y","0","0","0","","0","","0","","0",""
"Brandy Baker","UNF","U.S. Senator           ","","","Y","0","0","0","","0","","0","","1",""
"Ed Tinus","UNF","U.S. Senator           ","","","Y","3","0","0","","0","","0","","3",""
"Other Write-Ins","BOT","U.S. Senator           ","","","Y","49","0","2","","2","","1","","58",""
"Wendy Rosen","DEM","U.S. Congress","01","","","10097","","703","","471","","178","","13532",""
"Andy Harris","REP","U.S. Congress","01","Y","","17053","","1034","","341","","178","","21484",""
"Muir Wayne Boda","LIB","U.S. Congress","01","","","1779","","154","","47","","27","","2337",""
"John LaFerla","DEM","U.S. Congress","01","","Y","1357","0","218","","20","","22","","2406",""
"Michael Calpino","UNF","U.S. Congress","01","","Y","8","0","0","","0","","0","","9",""
"Douglas Dryden Rae","UNF","U.S. Congress","01","","Y","3","0","0","","0","","0","","3",""
"Other Write-Ins","BOT","U.S. Congress","01","","Y","109","0","0","","3","","0","","144",""
"Leah J. Seaton","BOT","Judge Circuit Court","01","Y","","24262","","1534","","674","","300","","31615",""
"Other Write-Ins","BOT","Judge Circuit Court","01","","Y","166","","18","","12","","10","","243",""
"Stuart R. Berger","BOT","Judge Spec Appeal at Lg","","Y","","22637","3148","1498","182","767","138","286","38","29693","4126"
