"Vote Type (FOR=1,AGAINST=2)","Candidate Name","Party","Office Name","Office District","Winner","Write-In?", CONC 005,CONC 004,CONC 002,CONC 001,CONC 003
1,"Barack Obama",DEM,President - Vice Pres,,Y,,2550,2427,3244,3780,2141
1,"Mitt Romney",REP,President - Vice Pres,,,,3212,1921,5454,2288,4294
1,"Gary Johnson",LIB,President - Vice Pres,,,,88,65,113,46,81
1,"Jill Stein",GRN,President - Vice Pres,,,,38,37,47,29,27
1,"Tiffany Renee Briscoe",DEM,President - Vice Pres,,,Y,0,0,0,0,0
1,"Dennis Knill",DEM,President - Vice Pres,,,Y,0,0,0,0,0
1,"Matthew Lydick",REP,President - Vice Pres,,,Y,0,0,0,0,0
1,"Barbara A. Prokopich",REP,President - Vice Pres,,,Y,0,0,0,0,0
1,"Santa Claus",IND,President - Vice Pres,,,Y,0,0,2,0,1
1,"Richard Duncan",IND,President - Vice Pres,,,Y,0,0,0,0,0
1,"Bruce Mlynski",IND,President - Vice Pres,,,Y,0,0,0,0,0
1,"Kevin M. Thorne",IND,President - Vice Pres,,,Y,0,0,0,0,0
1,"James Clymer",CON,President - Vice Pres,,,Y,0,0,0,0,0
1,"Virgil Goode",CON,President - Vice Pres,,,Y,2,2,2,1,0
1,"Ross C. Rocky Anderson",OTH,President - Vice Pres,,,Y,0,0,1,1,0
1,"Andre Barnett",OTH,President - Vice Pres,,,Y,0,0,0,0,0
1,"Roseanne Barr",OTH,President - Vice Pres,,,Y,0,0,1,0,1
1,"Will Christensen",OTH,President - Vice Pres,,,Y,0,0,0,0,0
1,"Stephen Durham",OTH,President - Vice Pres,,,Y,0,0,0,0,0
1,"Merlin Miller",OTH,President - Vice Pres,,,Y,0,0,0,0,0
1,"Leon Leo Ray",OTH,President - Vice Pres,,,Y,0,0,0,0,0
1,"Michael David Boyles",UNF,President - Vice Pres,,,Y,0,0,0,0,0
1,"Theodis (Ted) Brown, Sr.",UNF,President - Vice Pres,,,Y,0,0,0,0,0
1,"Paul Chehade",UNF,President - Vice Pres,,,Y,0,0,0,0,0
1,"David M. Crosby",UNF,President - Vice Pres,,,Y,0,0,0,0,0
1,"Fred Donald Dickson, Jr.",UNF,President - Vice Pres,,,Y,0,0,0,0,0
1,"Robert William Dietz",UNF,President - Vice Pres,,,Y,0,0,0,0,0
1,"Dwight Kenneth French",UNF,President - Vice Pres,,,Y,0,0,0,0,0
1,"Darrell Hykes",UNF,President - Vice Pres,,,Y,0,0,0,0,0
1,"Nelson Keyton",UNF,President - Vice Pres,,,Y,0,0,0,0,0
1,"Dean Morstad",UNF,President - Vice Pres,,,Y,0,0,0,0,0
1,"Deonia Neveu",UNF,President - Vice Pres,,,Y,0,0,0,0,0
1,"Terrance James O'Hara",UNF,President - Vice Pres,,,Y,0,0,0,0,0
1,"Jill Reed",UNF,President - Vice Pres,,,Y,0,0,0,0,0
1,"Cecil James Roth",UNF,President - Vice Pres,,,Y,0,0,0,0,0
1,"Sheila Tittle",UNF,President - Vice Pres,,,Y,0,0,0,0,0
1,"Other Write-Ins",BOT,President - Vice Pres,,,Y,10,19,33,21,21
1,"Ben Cardin",DEM,U.S. Senator           ,,Y,,2127,2118,2745,3200,1748
1,"Daniel John Bongino",REP,U.S. Senator           ,,,,2153,1258,3859,1566,2866
1,"Dean Ahmad",LIB,U.S. Senator           ,,,,89,76,82,50,61
1,"S. Rob Sobhani",UNF,U.S. Senator           ,,,,1335,858,1970,1103,1671
1,"Lih Young",DEM,U.S. Senator           ,,,Y,0,0,0,1,0
1,"Mary Podlesak",REP,U.S. Senator           ,,,Y,0,0,0,0,0
1,"Brandy Baker",UNF,U.S. Senator           ,,,Y,0,0,0,0,0
1,"Ed Tinus",UNF,U.S. Senator           ,,,Y,0,0,1,1,1
1,"Other Write-Ins",BOT,U.S. Senator           ,,,Y,7,6,13,12,11
1,"Wendy Rosen",DEM,U.S. Congress,01,,,1897,1707,2245,2749,1499
1,"Andy Harris",REP,U.S. Congress,01,Y,,3165,1921,5332,2457,4178
1,"Muir Wayne Boda",LIB,U.S. Congress,01,,,341,295,509,255,379
1,"John LaFerla",DEM,U.S. Congress,01,,Y,195,267,397,297,201
1,"Michael Calpino",UNF,U.S. Congress,01,,Y,2,3,2,1,0
1,"Douglas Dryden Rae",UNF,U.S. Congress,01,,Y,0,0,3,0,0
1,"Other Write-Ins",BOT,U.S. Congress,01,,Y,14,25,30,18,22
1,"Leah J. Seaton",BOT,Judge Circuit Court,01,Y,,4492,3381,6738,4677,4974
1,"Other Write-Ins",BOT,Judge Circuit Court,01,,Y,22,34,48,19,43
1,"Stuart R. Berger",BOT,Judge Spec Appeal at Lg,,Y,,4183,3109,6289,4426,4630
2,"Stuart R. Berger",BOT,Judge Spec Appeal at Lg,,Y,,591,471,851,600,635
