"Vote Type (FOR=1,AGAINST=2)","Candidate Name","Party","Office Name","Office District","Winner","Write-In?", CONC 005,CONC 004,CONC 002,CONC 006,CONC 001,CONC 007,CONC 003
1,"Barack Obama",DEM,President - Vice Pres,,Y,,1329,862,1533,1172,1402,1111,1252
1,"Mitt Romney",REP,President - Vice Pres,,,,2103,1717,866,2104,1330,1995,2609
1,"Gary Johnson",LIB,President - Vice Pres,,,,42,27,23,24,21,45,45
1,"Jill Stein",GRN,President - Vice Pres,,,,16,14,8,13,9,23,22
1,"Tiffany Renee Briscoe",DEM,President - Vice Pres,,,Y,0,0,0,0,0,0,0
1,"Dennis Knill",DEM,President - Vice Pres,,,Y,0,0,0,0,0,0,0
1,"Matthew Lydick",REP,President - Vice Pres,,,Y,0,0,0,0,0,0,0
1,"Barbara A. Prokopich",REP,President - Vice Pres,,,Y,0,0,0,0,0,0,0
1,"Santa Claus",IND,President - Vice Pres,,,Y,0,0,0,0,0,0,0
1,"Richard Duncan",IND,President - Vice Pres,,,Y,0,0,0,0,0,0,0
1,"Bruce Mlynski",IND,President - Vice Pres,,,Y,0,0,0,0,0,0,0
1,"Kevin M. Thorne",IND,President - Vice Pres,,,Y,0,0,0,0,0,0,0
1,"James Clymer",CON,President - Vice Pres,,,Y,0,0,0,0,0,0,0
1,"Virgil Goode",CON,President - Vice Pres,,,Y,0,1,1,0,0,0,0
1,"Ross C. Rocky Anderson",OTH,President - Vice Pres,,,Y,0,0,0,0,0,0,0
1,"Andre Barnett",OTH,President - Vice Pres,,,Y,0,0,0,0,0,0,0
1,"Roseanne Barr",OTH,President - Vice Pres,,,Y,0,0,0,0,0,1,0
1,"Will Christensen",OTH,President - Vice Pres,,,Y,0,0,0,0,0,0,0
1,"Stephen Durham",OTH,President - Vice Pres,,,Y,0,0,0,0,0,0,0
1,"Merlin Miller",OTH,President - Vice Pres,,,Y,0,0,0,0,0,0,0
1,"Leon Leo Ray",OTH,President - Vice Pres,,,Y,0,0,0,0,0,0,0
1,"Michael David Boyles",UNF,President - Vice Pres,,,Y,0,0,0,0,0,0,0
1,"Theodis (Ted) Brown, Sr.",UNF,President - Vice Pres,,,Y,0,0,0,0,0,0,0
1,"Paul Chehade",UNF,President - Vice Pres,,,Y,0,0,0,0,0,0,0
1,"David M. Crosby",UNF,President - Vice Pres,,,Y,0,0,0,0,0,0,0
1,"Fred Donald Dickson, Jr.",UNF,President - Vice Pres,,,Y,0,0,0,0,0,0,0
1,"Robert William Dietz",UNF,President - Vice Pres,,,Y,0,0,0,0,0,0,0
